<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1.7572000;1.7572000;1.7572000;1.7572000;1000
20140109;000000;1.7504000;1.7504000;1.7500000;1.7501000;11000
20140110;000000;1.7400000;1.8000000;1.7304000;1.7899000;1628000
20140113;000000;1.7586000;1.7655000;1.7314000;1.7407000;132000
20140114;000000;1.7550000;1.7653000;1.7406000;1.7500000;151000
20140115;000000;1.7314000;1.7314000;1.7151000;1.7291000;1112000
20140116;000000;1.7152000;1.7632000;1.6821000;1.7000000;2088000
20140117;000000;1.6861000;1.7250000;1.6850000;1.7206000;1482000
20140120;000000;1.7050000;1.7280000;1.6850000;1.7000000;121000
20140121;000000;1.7021000;1.7750000;1.7020000;1.7346000;8050000
20140122;000000;1.7105000;1.7471000;1.7105000;1.7471000;284000
20140123;000000;1.8200000;1.8200000;1.7405000;1.7500000;1416000
20140124;000000;1.7308000;1.7596000;1.7307000;1.7596000;87000
20140127;000000;1.7223000;1.7499000;1.7215000;1.7216000;48000
20140128;000000;1.7499000;1.7515000;1.7304000;1.7400000;177000
20140129;000000;1.7400000;1.7646000;1.7250000;1.7250000;56000
20140130;000000;1.7231000;1.7392000;1.7222000;1.7222000;126000
20140131;000000;1.7222000;1.7498000;1.7055000;1.7236000;731000
20140203;000000;1.7399000;1.7531000;1.7181000;1.7531000;51000
20140204;000000;1.7300000;1.7472000;1.7222000;1.7472000;22000
20140205;000000;1.7156000;1.7400000;1.7011000;1.7108000;529000
20140206;000000;1.7300000;1.7350000;1.7295000;1.7350000;27000
20140207;000000;1.7399000;1.7449000;1.7300000;1.7449000;125000
20140210;000000;1.7400000;1.7401000;1.7400000;1.7401000;45000
20140211;000000;1.7399000;1.7400000;1.7162000;1.7289000;1361000
20140212;000000;1.8390000;1.8390000;1.7305000;1.7400000;1142000
20140213;000000;1.7310000;1.7409000;1.7310000;1.7351000;109000
20140214;000000;1.7051000;1.7201000;1.7020000;1.7200000;182000
20140217;000000;1.7395000;1.7499000;1.7151000;1.7210000;119000
20140218;000000;1.7162000;1.7390000;1.7162000;1.7222000;92000
20140219;000000;1.7300000;1.7400000;1.7224000;1.7386000;613000
20140220;000000;1.7109000;1.7433000;1.7109000;1.7433000;26000
20140221;000000;1.7310000;1.7499000;1.7303000;1.7499000;987000
20140224;000000;1.7176000;1.7353000;1.7176000;1.7306000;1147000
20140225;000000;1.7499000;1.7499000;1.7300000;1.7497000;957000
20140226;000000;1.7171000;1.7499000;1.7170000;1.7498000;597000
20140227;000000;1.7497000;1.7497000;1.7106000;1.7441000;791000
20140228;000000;1.7123000;1.7497000;1.7035000;1.7497000;774000
20140303;000000;1.6501000;1.6989000;1.5001000;1.6461000;2787000
20140304;000000;1.6051000;2.0000000;1.6050000;1.8900000;17064000
20140305;000000;1.8200000;1.8899000;1.7100000;1.7497000;923000
20140306;000000;1.7100000;1.7374000;1.7100000;1.7300000;318000
20140307;000000;1.7299000;1.7455000;1.7010000;1.7455000;568000
20140311;000000;1.7102000;1.7372000;1.7051000;1.7372000;206000
20140312;000000;1.7026000;1.7409000;1.6950000;1.7249000;864000
20140313;000000;1.6951000;1.7199000;1.6907000;1.7079000;340000
20140314;000000;1.6521000;1.6999000;1.6250000;1.6973000;654000
20140317;000000;1.6988000;1.8330000;1.6250000;1.7200000;13183000
20140318;000000;1.7200000;1.7200000;1.6823000;1.7098000;322000
20140319;000000;1.7000000;1.7100000;1.6820000;1.7100000;96000
20140320;000000;1.8491000;1.8491000;1.7110000;1.7151000;7230000
20140321;000000;1.7300000;1.7300000;1.7110000;1.7110000;1157000
20140324;000000;1.7200000;1.7200000;1.7051000;1.7125000;87000
20140325;000000;1.7290000;1.9500000;1.7130000;1.9000000;18978000
20140326;000000;1.8500000;1.8500000;1.7763000;1.7772000;51000
20140327;000000;1.7502000;1.7800000;1.7501000;1.7535000;130000
20140328;000000;1.7501000;1.7750000;1.7501000;1.7501000;8000
20140331;000000;1.7805000;1.8000000;1.7805000;1.8000000;19000
20140401;000000;1.7892000;1.7892000;1.7500000;1.7508000;171000
20140402;000000;1.7600000;1.7688000;1.7600000;1.7600000;17000
20140403;000000;1.7795000;1.8001000;1.7704000;1.8000000;79000
20140404;000000;1.7999000;1.8100000;1.7799000;1.8000000;629000
20140407;000000;1.7679000;1.8001000;1.7650000;1.8000000;122000
20140408;000000;1.7997000;1.8051000;1.7510000;1.7653000;360000
20140409;000000;1.7520000;1.7921000;1.7361000;1.7849000;3296000
20140410;000000;1.7501000;1.8000000;1.7501000;1.7901000;158000
20140411;000000;1.8501000;1.8990000;1.7600000;1.8990000;6423000
20140414;000000;1.8002000;1.8025000;1.8001000;1.8025000;3000
20140415;000000;1.8001000;1.8002000;1.8001000;1.8002000;5000
20140416;000000;1.7715000;1.8558000;1.7715000;1.8558000;750000
20140418;000000;1.8396000;1.8800000;1.7826000;1.8696000;86000
20140421;000000;1.7861000;1.8498000;1.7750000;1.8498000;283000
20140422;000000;1.7800000;1.8497000;1.7800000;1.8300000;26000
20140423;000000;1.7744000;1.8000000;1.7603000;1.7999000;236000
20140424;000000;1.7800000;1.8000000;1.7800000;1.8000000;369000
20140425;000000;1.8000000;1.8000000;1.7700000;1.7997000;127000
20140428;000000;1.7706000;1.7976000;1.7701000;1.7976000;40000
20140429;000000;1.8002000;1.8700000;1.8001000;1.8400000;1723000
20140430;000000;1.8022000;1.8649000;1.8002000;1.8649000;6000
20140505;000000;1.8300000;1.8300000;1.8200000;1.8299000;3000
20140506;000000;1.7999000;1.8350000;1.7999000;1.8350000;132000
20140507;000000;1.8300000;1.8324000;1.7700000;1.7850000;1284000
20140508;000000;1.7703000;1.7898000;1.7702000;1.7898000;3000
20140512;000000;1.7925000;1.8150000;1.7702000;1.7998000;18000
20140513;000000;1.7764000;1.8450000;1.7700000;1.8445000;3087000
20140514;000000;1.8397000;1.8400000;1.7935000;1.8100000;4574000
20140515;000000;1.8100000;1.8100000;1.7743000;1.7989000;148000
20140516;000000;1.7801000;1.8092000;1.7722000;1.7973000;302000
20140519;000000;1.7713000;1.8180000;1.7657000;1.7900000;357000
20140520;000000;1.7902000;1.7997000;1.7700000;1.7997000;784000
20140521;000000;1.7800000;1.8288000;1.7750000;1.7890000;229000
20140522;000000;1.7799000;1.7850000;1.7776000;1.7802000;287000
20140523;000000;1.8232000;1.8232000;1.7978000;1.7978000;2000
20140526;000000;1.7800000;1.8330000;1.7800000;1.7898000;940000
20140527;000000;1.8100000;2.0000000;1.7807000;1.9262000;6165000
20140528;000000;1.8799000;1.8900000;1.8300000;1.8300000;354000
20140529;000000;1.8450000;1.8450000;1.7997000;1.8398000;1926000
20140530;000000;1.8000000;1.8598000;1.7901000;1.8396000;1584000
20140602;000000;1.8000000;1.8299000;1.8000000;1.8299000;14000
20140603;000000;1.8297000;1.9499000;1.8100000;1.8202000;1726000
20140604;000000;1.8027000;1.8204000;1.8026000;1.8204000;124000
20140605;000000;1.8201000;1.8201000;1.8023000;1.8160000;19000
20140606;000000;1.8200000;1.8200000;1.7900000;1.8199000;2220000
20140609;000000;1.8000000;1.8138000;1.7999000;1.8138000;409000
20140610;000000;1.8000000;1.8002000;1.7899000;1.8000000;871000
20140611;000000;1.7999000;1.8001000;1.7901000;1.7901000;355000
20140616;000000;1.7841000;1.7903000;1.7840000;1.7901000;658000
20140617;000000;1.7989000;1.9001000;1.7989000;1.8612000;14127000
20140618;000000;1.8612000;1.8612000;1.8203000;1.8303000;490000
20140619;000000;1.8200000;1.8303000;1.8200000;1.8303000;533000
20140620;000000;1.8201000;1.8301000;1.8050000;1.8050000;715000
20140623;000000;1.8041000;1.8100000;1.8041000;1.8100000;4000
20140624;000000;1.8069000;1.8102000;1.8068000;1.8102000;988000
20140625;000000;1.8060000;1.8402000;1.8060000;1.8078000;421000
