<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;480.1200000;480.1200000;480.1100000;480.1100000;20
20140108;000000;480.5000000;480.5000000;480.5000000;480.5000000;10
20140109;000000;517.9600000;517.9600000;505.0000000;505.0000000;20
20140113;000000;499.9800000;500.0000000;499.9800000;500.0000000;60
20140114;000000;502.0000000;502.0000000;502.0000000;502.0000000;20
20140117;000000;515.0000000;515.0000000;515.0000000;515.0000000;10
20140120;000000;514.0000000;514.0000000;490.5100000;490.5100000;20
20140121;000000;492.0200000;492.0200000;492.0100000;492.0100000;20
20140122;000000;492.0000000;492.0000000;492.0000000;492.0000000;10
20140123;000000;516.4700000;516.5000000;516.4700000;516.5000000;30
20140124;000000;492.5200000;518.9800000;492.5200000;518.9800000;90
20140127;000000;455.6100000;490.1100000;455.6100000;490.1100000;40
20140128;000000;490.0100000;501.1000000;490.0000000;501.1000000;30
20140130;000000;513.9900000;513.9900000;490.0100000;490.0100000;20
20140131;000000;491.0000000;525.0000000;491.0000000;523.9900000;210
20140203;000000;524.9900000;524.9900000;500.0600000;515.1600000;80
20140204;000000;524.9000000;524.9000000;500.0400000;505.0500000;70
20140205;000000;523.9900000;523.9900000;522.9900000;522.9900000;60
20140207;000000;524.0000000;524.0000000;505.1100000;517.9700000;80
20140210;000000;539.9900000;539.9900000;500.0000000;510.0000000;180
20140211;000000;517.5900000;517.5900000;517.5900000;517.5900000;10
20140212;000000;517.4900000;517.4900000;517.4900000;517.4900000;40
20140213;000000;547.9900000;547.9900000;547.9900000;547.9900000;10
20140214;000000;505.0100000;574.9700000;505.0100000;518.0000000;110
20140217;000000;520.0000000;520.0000000;520.0000000;520.0000000;10
20140218;000000;521.0000000;637.0000000;521.0000000;599.0000000;1190
20140219;000000;550.0100000;630.0000000;550.0000000;575.0000000;1050
20140220;000000;553.0000000;553.0000000;525.0000000;525.0000000;90
20140221;000000;521.0000000;527.9900000;513.0000000;527.9900000;70
20140224;000000;520.0000000;520.0000000;512.0000000;512.0000000;40
20140225;000000;528.0000000;528.0000000;503.0000000;503.0000000;50
20140226;000000;503.0000000;539.9800000;500.0400000;537.0000000;120
20140227;000000;555.0000000;555.0000000;505.1700000;505.1700000;40
20140228;000000;544.9900000;544.9900000;500.0000000;500.0000000;160
20140303;000000;499.9900000;499.9900000;460.0000000;460.0000000;70
20140304;000000;529.9900000;529.9900000;490.0100000;490.0100000;20
20140305;000000;500.0000000;500.0000000;435.2300000;475.0000000;240
20140306;000000;480.0000000;480.0000000;480.0000000;480.0000000;10
20140307;000000;489.9800000;519.9600000;450.0000000;475.0300000;520
20140314;000000;457.0000000;457.0000000;411.0100000;425.0100000;270
20140317;000000;425.0100000;469.9900000;425.0100000;446.0100000;40
20140318;000000;451.0000000;451.0000000;450.0100000;450.3000000;30
20140320;000000;408.6100000;440.8000000;408.6000000;439.9800000;180
20140321;000000;412.5100000;438.9800000;411.0000000;418.0000000;120
20140324;000000;444.9900000;444.9900000;444.9900000;444.9900000;10
20140325;000000;468.9900000;484.9900000;450.0100000;484.9900000;150
20140326;000000;495.0000000;495.0000000;495.0000000;495.0000000;10
20140327;000000;437.9000000;494.9900000;437.9000000;494.9900000;50
20140328;000000;489.9900000;499.9900000;470.2800000;499.9700000;200
20140331;000000;499.0000000;499.0000000;475.5000000;475.5000000;40
20140401;000000;478.9900000;504.9600000;478.9900000;504.9600000;20
20140402;000000;500.9700000;500.9900000;469.9900000;485.0100000;380
20140403;000000;499.9900000;499.9900000;470.1500000;489.9900000;110
20140404;000000;499.0000000;530.0000000;480.0000000;494.9900000;290
20140407;000000;504.9800000;524.9200000;475.0000000;495.0100000;170
20140408;000000;475.0800000;515.0000000;475.0800000;485.0000000;120
20140409;000000;504.6900000;515.0000000;495.0100000;495.9900000;70
20140410;000000;460.0100000;484.0000000;460.0000000;483.0000000;100
20140411;000000;483.0000000;483.8800000;483.0000000;483.8800000;20
20140414;000000;480.0000000;481.0000000;480.0000000;481.0000000;250
20140415;000000;440.0000000;475.0000000;440.0000000;475.0000000;20
