<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140327;000000;0.3184000;0.3184000;0.3184000;0.3184000;10000
20140717;000000;0.4000000;0.4000000;0.4000000;0.4000000;10000
20140718;000000;0.4400000;0.4400000;0.4400000;0.4400000;10000
20140902;000000;0.5004000;0.5004000;0.5004000;0.5004000;10000
20140917;000000;0.5000000;0.5000000;0.5000000;0.5000000;10000
20141007;000000;0.4400000;0.4400000;0.4400000;0.4400000;10000
20141013;000000;0.2810000;0.2810000;0.2810000;0.2810000;10000
20141020;000000;0.2810000;0.2810000;0.2810000;0.2810000;10000
20141029;000000;0.3930000;0.3930000;0.3930000;0.3930000;10000
20141030;000000;0.4000000;0.4000000;0.4000000;0.4000000;10000
20141107;000000;0.4800000;0.4800000;0.4800000;0.4800000;10000
20141112;000000;0.4340000;0.4340000;0.4340000;0.4340000;10000
20141117;000000;0.4340000;0.4340000;0.4340000;0.4340000;10000
20141205;000000;0.3060000;0.3950000;0.3030000;0.3950000;40000
20141208;000000;0.3950000;0.3950000;0.3950000;0.3950000;10000
20141209;000000;0.4890000;0.4890000;0.4890000;0.4890000;10000
20141216;000000;0.3000000;0.3000000;0.3000000;0.3000000;10000
