<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;45.7700000;46.9800000;44.7500000;46.2200000;1143300
20130109;000000;46.0200000;47.8400000;46.0100000;47.1900000;3610700
20130110;000000;47.4500000;47.4800000;46.7100000;47.1600000;2249200
20130111;000000;46.7700000;48.2300000;46.6100000;48.0000000;7447800
20130114;000000;48.1300000;50.0000000;47.7500000;49.5300000;6892000
20130115;000000;49.3200000;50.6600000;49.2500000;49.4500000;6520300
20130116;000000;49.2500000;49.6800000;48.1600000;48.3400000;3212500
20130117;000000;48.4500000;49.9800000;48.1500000;49.8400000;2973400
20130118;000000;49.9600000;50.3400000;49.8000000;49.8800000;3822500
20130121;000000;50.0000000;50.7500000;49.8400000;50.5500000;4176500
20130122;000000;50.3000000;52.3800000;50.1400000;51.6000000;4026600
20130123;000000;51.6100000;52.9900000;51.6000000;52.6500000;3036900
20130124;000000;52.4000000;53.2900000;52.0200000;52.8800000;1627000
20130125;000000;52.9900000;53.9200000;52.8900000;53.3000000;1898400
20130128;000000;53.3400000;54.2900000;52.6600000;53.3000000;3372300
20130129;000000;53.2900000;53.3800000;50.8300000;51.6900000;3686100
20130130;000000;52.0000000;52.7000000;51.1000000;52.2200000;2970300
20130131;000000;52.1300000;54.1800000;51.9600000;53.5500000;3958000
20130201;000000;53.5000000;54.3500000;52.6400000;53.8000000;3143300
20130204;000000;53.9900000;53.9900000;51.5500000;52.6500000;3200000
20130205;000000;51.9900000;53.6800000;51.7900000;53.3700000;1956200
20130206;000000;53.7200000;54.6400000;53.4700000;54.0700000;2557900
20130207;000000;54.2400000;56.1000000;54.2400000;55.8200000;5643700
20130208;000000;55.9000000;56.9000000;55.0700000;55.9000000;4633400
20130211;000000;56.1000000;56.4300000;55.1100000;55.7200000;1055700
20130212;000000;55.7900000;55.9700000;54.5800000;55.0800000;1025200
20130213;000000;55.2500000;57.3700000;54.8300000;57.1000000;3347600
20130214;000000;57.0000000;58.1600000;56.7000000;57.0100000;3996000
20130215;000000;56.9200000;59.7700000;56.8400000;58.7000000;6093200
20130218;000000;58.7000000;59.8000000;56.6000000;58.7000000;2020800
20130219;000000;58.1100000;58.9000000;57.0100000;57.4900000;1536300
20130220;000000;57.5000000;58.1700000;55.7200000;55.7200000;2258200
20130221;000000;55.5100000;55.9900000;54.7800000;55.7800000;2145200
20130222;000000;56.0000000;56.5500000;55.2500000;55.3000000;1628300
20130225;000000;55.4900000;55.8100000;54.8000000;55.1900000;757000
20130226;000000;54.5900000;55.0000000;53.5000000;54.2500000;1191700
20130227;000000;53.9900000;54.5800000;53.0500000;53.7700000;1044900
20130228;000000;54.2000000;54.3300000;52.8100000;53.0000000;1201400
20130301;000000;52.9600000;52.9800000;50.8100000;52.4200000;2887500
20130304;000000;51.6500000;52.9800000;51.6100000;52.6000000;770500
20130305;000000;52.9700000;55.1000000;52.7000000;55.0000000;3628700
20130306;000000;55.3800000;56.0600000;54.7300000;55.8900000;3679000
20130307;000000;56.1900000;56.3100000;55.1200000;56.1000000;1500700
20130311;000000;56.3300000;56.8000000;55.8000000;56.3000000;2454800
20130312;000000;56.1000000;56.7500000;55.6000000;56.6000000;2533300
20130313;000000;56.3400000;57.8300000;56.0300000;56.5800000;4039300
20130314;000000;56.0700000;56.7600000;56.0700000;56.1500000;1160000
20130315;000000;56.3000000;56.9800000;54.1000000;54.3900000;2598000
20130318;000000;53.3000000;54.9300000;52.8000000;54.2500000;924400
20130319;000000;54.1800000;55.0400000;53.5000000;54.2500000;579400
20130320;000000;53.9900000;54.6600000;53.0600000;53.8500000;1389100
20130321;000000;53.9900000;54.5100000;53.7900000;54.2000000;1547300
20130322;000000;53.7600000;54.3400000;52.1100000;52.5000000;904900
20130325;000000;53.0000000;53.4900000;50.3300000;51.1100000;1644600
20130326;000000;51.3200000;51.8000000;49.2100000;50.0100000;2794200
20130327;000000;50.5100000;50.8000000;49.8000000;50.2500000;1041700
20130328;000000;50.0300000;53.4300000;50.0200000;52.1700000;2309100
20130329;000000;52.6600000;54.0000000;52.5000000;52.9900000;2391000
20130401;000000;52.8900000;53.0900000;51.3200000;52.0800000;1236900
20130402;000000;52.1700000;52.4700000;50.6200000;52.0400000;1659500
20130403;000000;52.1000000;52.9400000;51.7400000;52.6500000;1669400
20130404;000000;52.3400000;54.3500000;52.0500000;54.0600000;2911700
20130405;000000;54.1000000;54.9900000;53.5000000;54.8000000;3060000
20130408;000000;55.0000000;55.3300000;53.1200000;53.7500000;1938800
20130409;000000;53.9900000;55.0000000;52.8300000;53.0000000;1604700
20130410;000000;53.6000000;53.7500000;52.7000000;53.3200000;1866900
20130411;000000;53.5500000;54.5900000;51.8100000;52.0500000;1438300
20130412;000000;52.1500000;52.4700000;51.0500000;52.3000000;883800
20130415;000000;51.7300000;51.9900000;50.0200000;50.1800000;1220600
20130416;000000;50.0000000;50.5100000;49.0400000;49.9800000;1836900
20130417;000000;50.1300000;50.5000000;49.3000000;50.2100000;1305000
20130418;000000;50.2800000;52.4700000;49.8300000;52.4700000;1896100
20130419;000000;52.4500000;54.0400000;52.4500000;52.5100000;1379800
20130422;000000;53.0000000;53.7400000;51.5500000;51.7800000;977300
20130423;000000;51.6800000;52.4800000;51.1500000;52.0800000;1100500
20130424;000000;52.5100000;53.9900000;52.3900000;53.2800000;2489600
20130425;000000;53.4700000;53.8800000;52.4500000;52.9300000;966300
20130426;000000;52.9600000;53.3300000;51.5500000;52.7000000;1158200
20130429;000000;52.2200000;53.1400000;52.2200000;52.8100000;412700
20130430;000000;52.6200000;53.9900000;52.0500000;53.9000000;2285000
20130502;000000;53.0000000;53.9500000;52.7100000;53.2800000;426100
20130503;000000;53.4000000;53.6600000;52.8100000;53.0000000;337200
20130506;000000;53.4900000;53.4900000;52.5000000;52.8500000;1677500
20130507;000000;52.8300000;53.1900000;52.4800000;52.4900000;640800
20130508;000000;52.1100000;52.9400000;51.3100000;51.8900000;1238100
20130510;000000;51.8700000;51.9900000;51.3100000;51.7000000;225200
20130513;000000;51.3500000;51.6100000;50.2000000;51.0400000;1400800
20130514;000000;50.7100000;51.7700000;50.1000000;50.1500000;1472500
20130515;000000;50.4800000;50.6600000;50.0100000;50.5500000;774800
20130516;000000;50.5100000;51.2000000;50.0000000;50.2500000;1573800
20130517;000000;50.2500000;50.4700000;49.5600000;50.2200000;817600
20130520;000000;50.3900000;50.8800000;49.5000000;49.6600000;1284400
20130521;000000;49.6600000;51.6300000;49.5600000;51.5900000;1760800
20130522;000000;51.5000000;52.6300000;51.1200000;52.6000000;1762300
20130523;000000;51.7100000;51.7100000;48.8200000;49.0000000;2539500
20130524;000000;49.2500000;50.5000000;49.0300000;50.1000000;1693900
20130527;000000;50.2200000;50.6500000;50.0500000;50.5500000;718300
20130528;000000;50.5600000;52.3200000;50.3000000;52.0400000;1989000
20130529;000000;51.8000000;52.3000000;51.0300000;51.1500000;2537300
20130530;000000;50.9100000;51.9900000;50.5600000;51.6000000;932000
20130531;000000;52.0000000;52.3000000;51.1000000;52.3000000;1977000
20130603;000000;51.7300000;51.9900000;50.4000000;50.5000000;1079900
20130604;000000;50.9600000;52.3400000;50.5400000;51.9900000;2035500
20130605;000000;51.8000000;52.1700000;51.4900000;52.0900000;799700
20130606;000000;51.9500000;52.4600000;51.6100000;52.4500000;727700
20130607;000000;52.4000000;53.5000000;52.2600000;53.4700000;2704900
20130610;000000;53.0200000;53.9000000;52.1100000;52.6300000;739500
20130611;000000;52.3000000;52.4100000;50.1100000;50.8000000;1394600
20130613;000000;50.0000000;51.9600000;49.6800000;51.2500000;2475900
20130614;000000;51.4000000;53.5000000;51.3500000;53.4600000;2248900
20130617;000000;53.2000000;54.8800000;53.0700000;53.6100000;1843400
20130618;000000;53.6100000;54.5900000;53.4900000;54.3000000;1023400
20130619;000000;54.1400000;54.8400000;53.5000000;54.4000000;717200
20130620;000000;53.6100000;54.1800000;52.1500000;52.5500000;1271600
20130621;000000;52.5000000;54.3800000;52.3400000;54.3500000;904500
20130624;000000;53.9900000;55.5000000;53.0200000;53.4100000;962500
20130625;000000;53.7700000;54.9600000;53.1000000;54.2400000;622600
20130626;000000;53.9600000;55.3000000;53.9300000;55.3000000;1269600
20130627;000000;55.2200000;56.1500000;54.6300000;56.1500000;3138500
20130628;000000;56.0600000;56.8600000;55.8700000;56.7000000;1557600
20130701;000000;56.3000000;56.7700000;55.0100000;55.7000000;941600
20130702;000000;55.9900000;58.6500000;55.7500000;58.0000000;5339300
20130703;000000;57.6900000;59.0000000;57.5100000;57.8600000;2333800
20130704;000000;57.8000000;58.6000000;57.8000000;58.2200000;525700
20130705;000000;58.1900000;58.6000000;57.7000000;58.0500000;1819600
20130708;000000;58.1100000;59.4900000;57.6000000;58.9700000;1653800
20130709;000000;59.1800000;59.6900000;58.7700000;58.8900000;437000
20130710;000000;59.1800000;59.2500000;58.2000000;58.6300000;653400
20130711;000000;59.1900000;59.4000000;57.6000000;58.0800000;861300
20130712;000000;58.3000000;58.6900000;56.8600000;57.9000000;2457200
20130715;000000;58.1800000;59.8900000;58.0000000;58.5900000;1852500
20130716;000000;58.8000000;59.4200000;57.5700000;57.8000000;1189100
20130717;000000;57.8900000;58.1900000;57.3400000;57.7100000;975700
20130718;000000;57.7200000;57.9000000;56.1400000;57.5500000;1338900
20130719;000000;57.5500000;57.5500000;56.5600000;57.0300000;432800
20130722;000000;56.7600000;57.4300000;56.7000000;56.9900000;1046500
20130723;000000;57.1200000;57.1200000;56.2900000;56.6500000;715300
20130724;000000;56.8900000;56.9000000;54.8500000;55.4900000;1634000
20130725;000000;55.4900000;55.9400000;54.4400000;55.0700000;857800
20130726;000000;55.1800000;55.4600000;54.6100000;55.1100000;814600
20130729;000000;55.0000000;56.3900000;54.6100000;56.0000000;1348900
20130730;000000;56.2600000;57.0000000;55.5300000;56.4100000;1603500
20130731;000000;56.4000000;57.3600000;56.0200000;57.3600000;1863100
20130801;000000;57.4000000;58.8700000;57.3800000;58.4000000;998100
20130802;000000;58.2400000;58.5000000;57.0100000;57.0100000;341700
20130805;000000;57.5500000;57.5500000;55.7100000;56.1300000;637800
20130806;000000;56.1000000;56.6300000;55.7500000;56.0000000;542800
20130807;000000;56.0000000;56.2900000;54.7000000;55.3900000;368000
20130808;000000;55.4100000;56.5500000;53.7300000;56.0000000;2118200
20130809;000000;56.1400000;56.1400000;55.5300000;55.9600000;346600
20130812;000000;56.2100000;57.3900000;55.7100000;56.5000000;699700
20130813;000000;56.7500000;57.2000000;56.3300000;56.5100000;508500
20130814;000000;56.7900000;57.2000000;56.0000000;56.1000000;511400
20130815;000000;56.1800000;56.1800000;55.1100000;55.2200000;604800
20130816;000000;55.1000000;55.6500000;53.7000000;53.9100000;808600
20130819;000000;53.9200000;55.1000000;53.3300000;54.1900000;655800
20130820;000000;54.0200000;54.0200000;53.2100000;53.9700000;470100
20130821;000000;54.1700000;54.2000000;52.4800000;52.8600000;756800
20130822;000000;52.7000000;53.8600000;51.4300000;53.8500000;3456400
20130823;000000;53.9900000;54.7500000;53.5300000;54.0000000;1034000
20130826;000000;54.2800000;54.6600000;52.5900000;53.6000000;837800
20130827;000000;53.1300000;53.4600000;52.5300000;52.6100000;920400
20130828;000000;52.4500000;52.4500000;51.8000000;52.1700000;1575800
20130829;000000;51.9700000;52.4000000;50.1700000;50.5100000;2842700
20130830;000000;50.5600000;51.2400000;47.8300000;48.8200000;5434300
20130902;000000;49.3300000;49.8800000;48.5000000;48.5000000;1811600
20130903;000000;48.7000000;49.1900000;47.5300000;47.7100000;1794300
20130904;000000;47.7100000;47.7400000;46.4400000;47.7400000;4012100
20130905;000000;47.7300000;49.4000000;47.5600000;49.3800000;3264900
20130906;000000;49.4400000;49.7800000;48.6100000;49.4700000;2203500
20130909;000000;49.5000000;50.3300000;49.3700000;50.1000000;2144000
20130910;000000;50.4500000;51.2500000;50.1100000;50.7700000;1921200
20130911;000000;50.8500000;51.7500000;50.7200000;51.5100000;1925600
20130912;000000;51.3900000;51.7400000;50.7300000;51.1000000;949800
20130913;000000;50.9200000;51.5800000;50.7500000;51.2400000;757600
20130916;000000;51.5000000;53.3800000;51.2800000;52.8700000;2985200
20130917;000000;52.7100000;54.4900000;52.5500000;53.9000000;2622100
20130918;000000;54.0800000;54.7900000;53.5000000;53.5200000;1978900
20130919;000000;54.0800000;54.8700000;53.6000000;54.3300000;3027800
20130920;000000;54.2600000;54.9700000;53.9100000;54.9700000;1986100
20130923;000000;54.9000000;55.9500000;54.4300000;54.9600000;2220500
20130924;000000;54.8000000;55.3600000;54.2500000;54.7800000;1139900
20130925;000000;54.5900000;55.4000000;54.1000000;55.4000000;2116300
20130926;000000;55.3900000;55.7400000;54.1000000;54.2700000;1151400
20130927;000000;54.2400000;54.9100000;54.1400000;54.6400000;887800
20130930;000000;54.2200000;54.5000000;54.0100000;54.4400000;703900
20131001;000000;54.4200000;55.9000000;54.2500000;55.3500000;2145300
20131002;000000;55.2000000;55.4700000;54.5500000;54.5600000;594900
20131003;000000;54.6200000;55.4000000;54.6000000;55.2500000;973400
20131004;000000;55.2500000;55.3300000;54.5000000;55.2000000;488100
20131007;000000;55.1600000;55.3000000;54.8900000;55.2000000;295100
20131008;000000;55.2200000;55.5800000;54.7500000;55.1400000;1806400
20131009;000000;55.1500000;55.2500000;54.6500000;55.0000000;918600
20131010;000000;54.9900000;55.4900000;54.9000000;55.1700000;1895700
