<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130212;000000;20.0000000;20.8000000;20.0000000;20.8000000;4000
20130213;000000;20.5000000;20.5000000;20.5000000;20.5000000;6000
20130313;000000;20.2000000;20.2000000;20.2000000;20.2000000;13000
20130314;000000;20.2000000;20.2000000;20.2000000;20.2000000;2300
20130320;000000;20.2000000;20.2000000;20.2000000;20.2000000;10000
20130322;000000;20.1500000;20.1500000;20.1500000;20.1500000;45000
20130529;000000;20.1700000;20.1700000;20.1700000;20.1700000;1500
20130531;000000;20.1800000;20.1800000;20.1800000;20.1800000;30000
20130610;000000;20.1800000;20.1800000;20.1800000;20.1800000;31500
20130621;000000;20.2000000;20.2000000;20.2000000;20.2000000;17100
20130625;000000;20.1000000;20.2000000;20.1000000;20.2000000;6000
20130724;000000;20.1100000;20.1100000;20.1100000;20.1100000;10000
20130920;000000;20.1400000;20.1500000;20.1400000;20.1500000;50800
20130927;000000;20.1300000;20.1300000;20.1300000;20.1300000;2100
20131023;000000;20.1100000;20.1200000;20.1100000;20.1200000;3900
20131114;000000;20.6040000;20.6040000;20.6040000;20.6040000;3900
20131203;000000;21.6000000;21.6000000;21.5000000;21.5000000;22100
20131217;000000;20.3000000;20.3000000;20.3000000;20.3000000;17100
