<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130114;000000;55000.0000000;56000.0000000;54500.0000000;55000.0000000;5
20130117;000000;55000.0000000;55000.0000000;55000.0000000;55000.0000000;39
20130118;000000;54835.0000000;56499.0000000;54835.0000000;56499.0000000;36
20130121;000000;56500.0000000;56500.0000000;56001.0000000;56301.0000000;7
20130123;000000;59000.0000000;59000.0000000;57000.0000000;57000.0000000;34
20130124;000000;56830.0000000;56830.0000000;56830.0000000;56830.0000000;33
20130125;000000;57000.0000000;57000.0000000;57000.0000000;57000.0000000;1
20130128;000000;57500.0000000;57500.0000000;57000.0000000;57500.0000000;7
20130129;000000;57300.0000000;57300.0000000;57300.0000000;57300.0000000;1
20130130;000000;57250.0000000;57300.0000000;56701.0000000;57256.0000000;39
20130131;000000;57130.0000000;57130.0000000;56999.0000000;57000.0000000;35
20130201;000000;56750.0000000;56750.0000000;56000.0000000;56000.0000000;6
20130205;000000;59000.0000000;60000.0000000;59000.0000000;60000.0000000;14
20130206;000000;58775.0000000;58775.0000000;58775.0000000;58775.0000000;321
20130207;000000;59000.0000000;59000.0000000;59000.0000000;59000.0000000;1
20130208;000000;59000.0000000;59500.0000000;59000.0000000;59000.0000000;6
20130213;000000;57500.0000000;57500.0000000;57500.0000000;57500.0000000;1
20130215;000000;57100.0000000;57100.0000000;57100.0000000;57100.0000000;1
20130218;000000;58000.0000000;58000.0000000;58000.0000000;58000.0000000;60
20130219;000000;57810.0000000;57810.0000000;57300.0000000;57300.0000000;66
20130220;000000;57200.0000000;57200.0000000;57000.0000000;57000.0000000;2
20130221;000000;57500.0000000;57500.0000000;56000.0000000;56000.0000000;55
20130222;000000;57300.0000000;58000.0000000;57300.0000000;58000.0000000;55
20130225;000000;57900.0000000;57999.0000000;57700.0000000;57700.0000000;61
20130226;000000;57700.0000000;57700.0000000;57700.0000000;57700.0000000;58
20130227;000000;57000.0000000;58000.0000000;57000.0000000;58000.0000000;68
20130228;000000;57750.0000000;57750.0000000;56701.0000000;56701.0000000;65
20130305;000000;57300.0000000;57300.0000000;57300.0000000;57300.0000000;60
20130306;000000;57100.0000000;57100.0000000;52000.0000000;55897.0000000;97
20130307;000000;57000.0000000;57000.0000000;56984.0000000;56984.0000000;32
20130311;000000;56700.0000000;56700.0000000;56600.0000000;56600.0000000;31
