<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6.2950000;6.4970000;6.2950000;6.4610000;74200
20130109;000000;6.4890000;6.4890000;6.4000000;6.4520000;35500
20130110;000000;6.4000000;6.4700000;6.3590000;6.4700000;2300
20130111;000000;6.4200000;6.5680000;6.3510000;6.4990000;31000
20130114;000000;6.4170000;6.8000000;6.3500000;6.8000000;132700
20130115;000000;6.7990000;6.9000000;6.7500000;6.7500000;24300
20130116;000000;6.6720000;6.6720000;6.6710000;6.6710000;1900
20130117;000000;6.6500000;6.6500000;6.5010000;6.6000000;222300
20130118;000000;6.6680000;6.7490000;6.5000000;6.7490000;55600
20130121;000000;6.3700000;6.8000000;6.3700000;6.7770000;24100
20130122;000000;6.5410000;6.7800000;6.5400000;6.7720000;21900
20130123;000000;6.6120000;6.7700000;6.6120000;6.7100000;1900
20130124;000000;6.7000000;6.7000000;6.6000000;6.6450000;2200
20130125;000000;6.6000000;6.6950000;6.5340000;6.6950000;30500
20130128;000000;6.7970000;6.7970000;6.5290000;6.7960000;174300
20130129;000000;6.6610000;6.7000000;6.6000000;6.6000000;35800
20130130;000000;6.6600000;6.6600000;6.4220000;6.5130000;36300
20130131;000000;6.4110000;6.6000000;6.3120000;6.5010000;92000
20130201;000000;6.5100000;6.5950000;6.3510000;6.5950000;24300
20130204;000000;6.4900000;6.6510000;6.4500000;6.4510000;7700
20130205;000000;6.4210000;6.4360000;6.2540000;6.3610000;24400
20130206;000000;6.4000000;6.4070000;6.3000000;6.3010000;11400
20130207;000000;6.3500000;6.3500000;6.2800000;6.3490000;28800
20130208;000000;6.2860000;6.3120000;6.2580000;6.2670000;14100
20130211;000000;6.3500000;6.3770000;6.1560000;6.2470000;15400
20130212;000000;6.2560000;6.3100000;6.1410000;6.2780000;41200
20130213;000000;6.3060000;6.4360000;6.2260000;6.4210000;15400
20130214;000000;6.3020000;6.3960000;6.2030000;6.3370000;26800
20130215;000000;6.4360000;6.4360000;6.2180000;6.3300000;9600
20130218;000000;6.3300000;6.4370000;6.3300000;6.3500000;9100
20130219;000000;6.3900000;6.5000000;6.3900000;6.4290000;64300
20130220;000000;6.4110000;6.4340000;6.2300000;6.2300000;43000
20130221;000000;6.2000000;6.2000000;6.1200000;6.1200000;31800
20130222;000000;6.1500000;6.2000000;6.1300000;6.1300000;9500
20130225;000000;6.1220000;6.1500000;6.1110000;6.1200000;79400
20130226;000000;6.1000000;6.1000000;6.0150000;6.0170000;23000
20130227;000000;6.1890000;6.1890000;6.0900000;6.1310000;600
20130228;000000;6.1000000;6.1850000;6.0800000;6.1680000;3900
20130301;000000;6.0320000;6.0960000;6.0100000;6.0950000;25400
20130304;000000;6.0860000;6.0860000;5.9940000;6.0540000;8000
20130305;000000;5.9810000;6.3350000;5.9100000;6.2000000;48900
20130306;000000;6.1010000;6.1640000;6.0230000;6.1300000;3200
20130307;000000;6.1940000;6.1980000;6.1940000;6.1980000;2500
20130311;000000;6.0600000;6.1610000;6.0600000;6.1610000;4800
20130312;000000;6.0440000;6.1200000;6.0300000;6.1200000;5100
