<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;32.4000000;32.9000000;32.2100000;32.5400000;81950
20130109;000000;32.5400000;32.7500000;32.1000000;32.6300000;211080
20130110;000000;32.7500000;33.3000000;32.5000000;32.8500000;145240
20130111;000000;32.7900000;33.2800000;32.6000000;33.0300000;92190
20130114;000000;33.2300000;34.3900000;33.1300000;33.5000000;250470
20130115;000000;33.5800000;33.9200000;33.0000000;33.4000000;94350
20130116;000000;33.3000000;33.5000000;32.6100000;33.2200000;71740
20130117;000000;33.1100000;33.2000000;32.6700000;33.0600000;114980
20130118;000000;33.0900000;33.4200000;32.2000000;33.0600000;104870
20130121;000000;32.9800000;33.2900000;32.8000000;33.0800000;56310
20130122;000000;33.0000000;33.3300000;32.5100000;32.9700000;93760
20130123;000000;33.0000000;33.1600000;32.8100000;33.1000000;92440
20130124;000000;33.1000000;33.1000000;32.6700000;32.9000000;78540
20130125;000000;32.9000000;33.0400000;32.6600000;32.8800000;63340
20130128;000000;32.8900000;32.9900000;32.6000000;32.8000000;125510
20130129;000000;33.5000000;36.9900000;33.5000000;35.8500000;3019330
20130130;000000;35.7500000;37.3700000;34.0300000;34.1500000;1893700
20130131;000000;34.1000000;34.6000000;33.2300000;33.7000000;450100
20130201;000000;33.7000000;34.0000000;33.3300000;33.6100000;188170
20130204;000000;33.7900000;34.3400000;33.4600000;33.7400000;166260
20130205;000000;33.4100000;34.4700000;33.4100000;34.1500000;136540
20130206;000000;33.9000000;34.3000000;33.0700000;33.5500000;191290
20130207;000000;33.6500000;33.6500000;33.0500000;33.2900000;106250
20130208;000000;33.1300000;33.3400000;32.8200000;33.0600000;67030
20130211;000000;32.9100000;33.2800000;32.3300000;32.6000000;142460
20130212;000000;32.5500000;32.5500000;32.1100000;32.2500000;92370
20130213;000000;32.1600000;33.2500000;32.0700000;32.9100000;116550
20130214;000000;33.8000000;33.9900000;32.2000000;32.3800000;234030
20130215;000000;32.3800000;32.5800000;31.8200000;32.3100000;169810
20130218;000000;32.3100000;32.3100000;31.9000000;32.0000000;96080
20130219;000000;32.1000000;32.1000000;31.6200000;31.9300000;85030
20130220;000000;31.8000000;31.9400000;30.8800000;31.0700000;255520
20130221;000000;30.8700000;30.8700000;29.5500000;29.8300000;261330
20130222;000000;29.9900000;30.3400000;29.8200000;30.1500000;139960
20130225;000000;30.1500000;30.4000000;29.9700000;30.2400000;71210
20130226;000000;29.9900000;29.9900000;29.5100000;29.7000000;69280
20130227;000000;29.6600000;29.7900000;29.5400000;29.7000000;22450
20130228;000000;29.8000000;29.9400000;29.2300000;29.5000000;128580
20130301;000000;29.2100000;29.7800000;28.7800000;28.9800000;140850
20130304;000000;28.8200000;29.0700000;28.5100000;28.9100000;104680
20130305;000000;28.9200000;29.4800000;28.5100000;29.3000000;190920
20130306;000000;29.3000000;29.4900000;29.0100000;29.0300000;122490
20130307;000000;28.8800000;29.2900000;28.8800000;29.2000000;49140
20130311;000000;29.0200000;29.3600000;28.9500000;28.9600000;95130
20130312;000000;29.0600000;29.2600000;27.1600000;28.2000000;230940
20130313;000000;29.5100000;30.1500000;28.6200000;29.0000000;555140
20130314;000000;28.8300000;29.1400000;28.3000000;28.6700000;162870
20130315;000000;28.8000000;30.3100000;28.3100000;29.9500000;611320
20130318;000000;29.8700000;31.4500000;29.5000000;30.5000000;585770
20130319;000000;30.4800000;31.3000000;30.0000000;30.5700000;147170
20130320;000000;30.3000000;32.3100000;30.3000000;31.9000000;431810
20130321;000000;32.0800000;32.4300000;31.2500000;31.7900000;211370
20130322;000000;31.8800000;32.4700000;30.5000000;30.9400000;127880
20130325;000000;31.2100000;31.2100000;29.5100000;29.7900000;173870
20130326;000000;29.7800000;29.7800000;28.4200000;28.8400000;157870
20130327;000000;29.1900000;29.1900000;28.1400000;29.0600000;76790
20130328;000000;29.0500000;29.2500000;28.3900000;29.2500000;53240
20130329;000000;29.3000000;29.4600000;29.0800000;29.3400000;32480
20130401;000000;29.4500000;30.5500000;29.4500000;29.9400000;121300
20130402;000000;29.9000000;30.3900000;29.1600000;29.3700000;67080
20130403;000000;29.5700000;29.6700000;28.5900000;28.7800000;60150
20130404;000000;28.9100000;28.9100000;28.0300000;28.5900000;71610
20130405;000000;28.8800000;28.9700000;28.2300000;28.5900000;112220
20130408;000000;28.7300000;28.9700000;27.7200000;28.1000000;47990
20130409;000000;28.1600000;28.4300000;27.8000000;28.1600000;53500
20130410;000000;28.2000000;28.9700000;28.0000000;28.4700000;42430
20130411;000000;28.4000000;28.7900000;27.8300000;27.9500000;103310
20130412;000000;27.9400000;28.0000000;26.5200000;26.8000000;134400
20130415;000000;26.6100000;26.6100000;23.9200000;25.2000000;231890
20130416;000000;25.0200000;25.8900000;24.7000000;24.9800000;88230
20130417;000000;24.8800000;25.4700000;23.9800000;24.0900000;92190
20130418;000000;24.2800000;24.9000000;23.5100000;23.5200000;87120
20130419;000000;23.7600000;23.8900000;22.6100000;22.7800000;166550
20130422;000000;22.9600000;23.4600000;22.8200000;22.9500000;54300
20130423;000000;22.9000000;23.1900000;22.6000000;23.0000000;86260
20130424;000000;23.2500000;23.9200000;23.1800000;23.9000000;165540
20130425;000000;23.9000000;24.4600000;23.5100000;24.1400000;131320
20130426;000000;24.0000000;24.0000000;23.3200000;23.8100000;48510
20130429;000000;23.8800000;23.9000000;23.5000000;23.5300000;51920
20130430;000000;23.7300000;24.9500000;23.5200000;24.0000000;273890
20130502;000000;24.6800000;28.4400000;24.6800000;25.6300000;535590
20130503;000000;26.0000000;26.3300000;25.0600000;25.4400000;123540
20130506;000000;25.2500000;26.9700000;25.2500000;25.9300000;124310
20130507;000000;25.9100000;26.1200000;25.1100000;25.7700000;166650
20130508;000000;25.8800000;26.2000000;25.4500000;25.7000000;44390
20130510;000000;25.5600000;25.8800000;25.3200000;25.4800000;27450
20130513;000000;25.4100000;25.4100000;24.6000000;24.8900000;81300
20130514;000000;24.7700000;25.0900000;24.1800000;24.4500000;101800
20130515;000000;24.4500000;24.6700000;23.7000000;23.9800000;88460
20130516;000000;23.6200000;23.8600000;22.8000000;23.1900000;168730
20130517;000000;23.2900000;23.7900000;22.5500000;23.4800000;125900
20130520;000000;23.6700000;24.3200000;23.1500000;23.4000000;133040
20130521;000000;23.2600000;23.8000000;23.0500000;23.3500000;140300
20130522;000000;23.4600000;23.6800000;23.2400000;23.5400000;93750
20130523;000000;23.1500000;23.3000000;22.5700000;22.8900000;86000
20130524;000000;22.9200000;23.0000000;22.6000000;22.8000000;86860
20130527;000000;22.7700000;22.9900000;22.3200000;22.4900000;53520
20130528;000000;22.6000000;22.8900000;22.3200000;22.7500000;106000
20130529;000000;22.7800000;23.6000000;22.1300000;22.2600000;96330
20130530;000000;22.1600000;22.4400000;22.0300000;22.2500000;70110
20130531;000000;22.2900000;22.4000000;21.6400000;21.7900000;54220
20130603;000000;21.6200000;21.8200000;20.8300000;21.7500000;229930
20130604;000000;21.5000000;21.9200000;21.0000000;21.5300000;68490
20130605;000000;21.3400000;21.4100000;20.5500000;20.7400000;96100
20130606;000000;20.8400000;20.8400000;20.0400000;20.1100000;47330
20130607;000000;20.1200000;20.6900000;20.0200000;20.6800000;45850
20130610;000000;20.6800000;21.2000000;20.3000000;20.6600000;44280
20130611;000000;20.6500000;20.7600000;19.9400000;20.4200000;86150
20130613;000000;20.1900000;20.1900000;18.7500000;19.4400000;204450
20130614;000000;19.5800000;19.7000000;19.2000000;19.4900000;85650
20130617;000000;19.5400000;20.0000000;19.2800000;19.8900000;149430
20130618;000000;19.8000000;20.1800000;19.6600000;19.8100000;74160
20130619;000000;19.9400000;20.0500000;19.5200000;19.9000000;32030
20130620;000000;19.5800000;20.2000000;19.3200000;20.0500000;78780
