<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;213.1100000;218.0000000;213.1100000;216.9900000;2460
20130109;000000;217.3600000;219.8900000;217.3600000;218.0000000;21950
20130110;000000;221.7000000;221.7000000;213.0100000;217.0000000;24400
20130111;000000;217.2800000;217.8700000;214.3500000;217.8700000;50230
20130114;000000;218.7600000;218.7600000;214.0000000;215.1300000;7680
20130115;000000;216.0000000;216.0000000;214.0800000;214.9900000;1170
20130116;000000;213.0000000;216.9400000;210.1100000;216.9400000;1590
20130117;000000;211.0400000;214.5200000;210.0000000;213.9100000;1230
20130118;000000;217.9300000;218.5000000;213.5000000;217.0000000;3310
20130121;000000;215.0000000;216.1500000;213.0000000;215.0000000;3810
20130122;000000;215.9400000;215.9400000;212.0000000;212.0000000;750
20130123;000000;212.7700000;216.0000000;211.9900000;214.5700000;5380
20130124;000000;212.6800000;215.2200000;212.0500000;212.0500000;2220
20130125;000000;212.0500000;214.9700000;212.0300000;214.5500000;1130
20130128;000000;215.9900000;215.9900000;213.0100000;215.0000000;9960
20130129;000000;213.4400000;213.4400000;212.0000000;212.4900000;3380
20130130;000000;210.0600000;210.0600000;206.6200000;206.6200000;4030
20130131;000000;206.6300000;206.6300000;204.0300000;206.0000000;13650
20130201;000000;204.3700000;205.9000000;150.0000000;202.6100000;22370
20130204;000000;200.0000000;203.9800000;198.1500000;199.9900000;1050
20130205;000000;198.0000000;199.5700000;197.8000000;199.4800000;120
20130206;000000;197.0100000;197.0100000;184.9900000;186.9600000;10950
20130207;000000;183.6000000;187.0200000;177.1000000;179.7700000;8270
20130208;000000;179.0000000;181.0000000;175.0000000;178.7000000;2560
20130211;000000;181.0100000;184.5500000;179.0000000;180.0000000;960
20130212;000000;181.8000000;181.8900000;178.0300000;181.8800000;320
20130213;000000;181.0000000;187.0000000;180.0100000;182.0000000;7290
20130214;000000;183.9900000;187.4000000;166.9700000;175.0000000;13170
20130215;000000;180.0100000;182.6900000;175.0700000;179.2500000;8810
20130218;000000;176.0000000;178.0000000;174.5000000;176.9900000;1030
20130219;000000;177.0000000;180.0000000;174.1500000;178.0000000;5790
20130220;000000;176.3200000;185.7900000;176.0600000;181.1000000;7320
20130221;000000;184.2900000;187.9000000;178.6300000;183.4600000;77110
20130222;000000;184.9600000;189.9000000;184.6200000;189.5000000;36700
20130225;000000;191.4000000;191.4000000;188.2500000;190.0000000;6340
20130226;000000;188.4000000;189.1500000;186.5000000;188.9700000;4910
20130227;000000;189.6000000;189.6000000;185.9100000;189.0000000;4300
20130228;000000;189.9400000;190.0000000;187.0000000;189.5000000;7970
20130301;000000;189.0000000;189.0000000;188.0000000;188.2000000;2880
20130304;000000;188.9600000;188.9600000;185.0000000;186.1000000;20330
20130305;000000;187.8800000;207.0000000;186.8800000;205.1900000;54400
20130306;000000;205.8400000;213.0000000;204.1100000;206.9400000;60140
20130307;000000;203.0400000;207.1800000;201.5000000;207.0000000;7290
20130311;000000;207.4000000;212.0000000;207.4000000;207.5000000;68540
20130312;000000;207.4300000;209.9600000;207.4300000;207.5800000;20490
20130313;000000;208.4900000;213.8900000;207.1000000;210.0100000;38030
20130314;000000;211.0000000;219.6600000;210.0200000;218.0000000;91840
20130315;000000;218.0000000;220.0000000;215.5100000;219.8900000;47980
20130318;000000;214.0000000;216.7700000;191.0000000;214.0000000;21240
20130319;000000;215.0000000;218.0000000;201.9900000;205.9700000;139640
20130320;000000;206.0700000;207.9900000;194.2100000;196.0600000;77200
20130321;000000;197.0000000;207.9900000;196.6000000;205.4500000;112050
20130322;000000;200.8500000;209.0000000;200.4100000;204.9200000;26390
20130325;000000;207.4300000;208.7900000;199.5000000;200.0000000;19110
20130326;000000;202.4600000;202.4700000;192.0000000;195.0000000;21240
