<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130115;000000;0.5350000;0.5350000;0.5244000;0.5350000;63000
20130116;000000;0.5250000;0.5250000;0.5242000;0.5242000;13000
20130123;000000;0.5139000;0.5200000;0.5100000;0.5200000;10000
20130124;000000;0.5044000;0.5100000;0.5036000;0.5100000;12000
20130128;000000;0.5001000;0.5100000;0.4805000;0.5100000;532000
20130131;000000;0.4830000;0.5099000;0.4814000;0.5099000;3000
20130201;000000;0.5099000;0.5099000;0.4901000;0.4937000;3000
20130204;000000;0.4802000;0.4936000;0.4799000;0.4936000;492000
20130206;000000;0.5032000;0.5100000;0.4700000;0.4810000;9000
20130207;000000;0.5030000;0.5030000;0.5030000;0.5030000;1000
20130208;000000;0.4427000;0.4791000;0.4131000;0.4670000;367000
20130212;000000;0.4550000;0.4728000;0.4550000;0.4728000;6000
20130215;000000;0.4636000;0.4636000;0.4636000;0.4636000;1000
20130221;000000;0.4500000;0.4942000;0.4500000;0.4760000;632000
20130225;000000;0.4338000;0.4400000;0.4100000;0.4400000;35000
20130227;000000;0.4544000;0.4544000;0.4544000;0.4544000;1000
20130228;000000;0.4550000;0.4650000;0.4050000;0.4452000;1191000
20130301;000000;0.4500000;0.4500000;0.4362000;0.4362000;2000
20130305;000000;0.4448000;0.4448000;0.4448000;0.4448000;1000
20130306;000000;0.4500000;0.4536000;0.4500000;0.4536000;52000
20130312;000000;0.4446000;0.4446000;0.4446000;0.4446000;1000
20130321;000000;0.4356000;0.4356000;0.4094000;0.4262000;34000
20130322;000000;0.4176000;0.4176000;0.4000000;0.4162000;14000
20130325;000000;0.4174000;0.4174000;0.4100000;0.4100000;83000
20130326;000000;0.4000000;0.4001000;0.4000000;0.4000000;404000
20130329;000000;0.4100000;0.4100000;0.4100000;0.4100000;2000
20130401;000000;0.4005000;0.4005000;0.4005000;0.4005000;1000
20130415;000000;0.3935000;0.3935000;0.3785000;0.3785000;2000
20130424;000000;0.3800000;0.3950000;0.3800000;0.3950000;3000
20130426;000000;0.3455000;0.3999000;0.3455000;0.3999000;3000
20130429;000000;0.3742000;0.3742000;0.3742000;0.3742000;1000
20130507;000000;0.3900000;0.3900000;0.3900000;0.3900000;3000
20130514;000000;0.3998000;0.4000000;0.3998000;0.4000000;19000
20130517;000000;0.4000000;0.4000000;0.4000000;0.4000000;10000
20130522;000000;0.4000000;0.4001000;0.3999000;0.3999000;11000
20130523;000000;0.3999000;0.4000000;0.3999000;0.4000000;3000
20130527;000000;0.4000000;0.5599000;0.4000000;0.4700000;319000
20130528;000000;0.4624000;0.4624000;0.4150000;0.4252000;62000
20130529;000000;0.4499000;0.4499000;0.4499000;0.4499000;2000
20130530;000000;0.4200000;0.4293000;0.3857000;0.4215000;25000
20130607;000000;0.3878000;0.3878000;0.3878000;0.3878000;1000
20130610;000000;0.4000000;0.4000000;0.4000000;0.4000000;1000
20130613;000000;0.3793000;0.3793000;0.3793000;0.3793000;1000
20130624;000000;0.4300000;0.4300000;0.4300000;0.4300000;1000
20130625;000000;0.3860000;0.3900000;0.3575000;0.3800000;12000
20130626;000000;0.3855000;0.3855000;0.3855000;0.3855000;2000
20130708;000000;0.3968000;0.3969000;0.3968000;0.3969000;13000
20130814;000000;0.3855000;0.3855000;0.3855000;0.3855000;2000
20130819;000000;0.4999000;0.4999000;0.4500000;0.4500000;9000
20130823;000000;0.4498000;0.4498000;0.4498000;0.4498000;2000
20130828;000000;0.4000000;0.4000000;0.3828000;0.3828000;3000
20130829;000000;0.3928000;0.3928000;0.3928000;0.3928000;1000
20130830;000000;0.3810000;0.4200000;0.3746000;0.4190000;6000
20131024;000000;0.3999000;0.3999000;0.3999000;0.3999000;1000
20131025;000000;0.3780000;0.4000000;0.3780000;0.4000000;31000
20131028;000000;0.3660000;0.4210000;0.3213000;0.3700000;1239000
20131029;000000;0.3231000;0.3600000;0.3215000;0.3600000;30000
20131031;000000;0.3500000;0.3500000;0.3500000;0.3500000;1000
20131105;000000;0.3500000;0.3990000;0.2914000;0.3299000;623000
20131107;000000;0.3001000;0.3001000;0.2937000;0.3000000;614000
20131108;000000;0.3200000;0.3200000;0.3000000;0.3000000;23000
20131114;000000;0.2940000;0.3290000;0.2940000;0.3290000;6000
20131115;000000;0.3100000;0.3394000;0.3100000;0.3394000;4000
20131119;000000;0.3300000;0.3400000;0.3300000;0.3400000;10000
20131120;000000;0.3398000;0.3398000;0.3398000;0.3398000;1000
20131121;000000;0.3000000;0.3002000;0.3000000;0.3002000;1000000
20131122;000000;0.3100000;0.3100000;0.3100000;0.3100000;1000
20131127;000000;0.3200000;0.3201000;0.3000000;0.3200000;462000
20131128;000000;0.3000000;0.3000000;0.3000000;0.3000000;12000
20131129;000000;0.2936000;0.2936000;0.2850000;0.2850000;588000
20131202;000000;0.2898000;0.2898000;0.2898000;0.2898000;1000
20131204;000000;0.2999000;0.3000000;0.2999000;0.3000000;2000
20131213;000000;0.2850000;0.3000000;0.2850000;0.3000000;51000
20131223;000000;0.2900000;0.2900000;0.1961000;0.2807000;2671000
20131226;000000;0.2600000;0.2720000;0.2600000;0.2720000;4000
20131230;000000;0.2730000;0.2740000;0.2450000;0.2550000;559000
