<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130211;000000;290.0100000;290.0100000;290.0000000;290.0000000;30
20130222;000000;406.0000000;406.0000000;307.9900000;307.9900000;20
20130311;000000;304.0200000;304.0200000;304.0100000;304.0100000;30
20130410;000000;348.9900000;348.9900000;251.0000000;251.0000000;20
20130507;000000;264.0000000;264.0000000;264.0000000;264.0000000;10
20130531;000000;298.3100000;298.3100000;298.3100000;298.3100000;10
20130611;000000;288.0000000;288.0000000;288.0000000;288.0000000;10
20130812;000000;248.4200000;248.4200000;248.4200000;248.4200000;10
20131107;000000;282.8200000;300.0000000;282.8200000;300.0000000;20
20131120;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20131205;000000;300.0000000;300.0000000;300.0000000;300.0000000;200
20131211;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20131223;000000;200.0100000;200.0100000;200.0100000;200.0100000;10
