<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;16.3000000;16.3000000;15.9000000;16.1630000;345000
20130109;000000;16.0210000;16.1940000;15.8540000;16.0400000;172500
20130110;000000;16.1000000;16.1000000;15.8500000;15.8500000;198600
20130111;000000;15.8210000;15.8210000;14.4010000;15.6700000;513800
20130114;000000;15.4800000;15.7260000;15.4800000;15.7250000;274800
20130115;000000;15.7490000;16.4970000;15.7490000;15.9500000;907500
20130116;000000;16.0000000;16.0000000;15.6910000;15.7300000;213200
20130117;000000;15.7990000;15.9500000;15.7260000;15.7830000;114800
20130118;000000;15.9590000;15.9750000;15.7300000;15.7800000;133800
20130121;000000;15.8130000;15.8130000;15.5430000;15.7990000;136100
20130122;000000;15.7990000;15.8000000;15.4910000;15.5470000;125700
20130123;000000;15.4000000;15.7820000;15.2030000;15.4500000;499700
20130124;000000;15.4250000;15.4280000;15.1520000;15.3990000;143400
20130125;000000;15.2210000;15.4250000;15.1020000;15.2990000;106600
20130128;000000;15.3770000;15.4540000;15.2320000;15.3550000;143800
20130129;000000;15.3900000;15.4000000;15.1490000;15.1490000;248600
20130130;000000;15.3640000;15.3640000;15.0270000;15.0570000;147800
20130131;000000;15.1850000;15.1850000;14.4000000;14.5490000;687900
20130201;000000;14.6500000;14.9700000;14.5500000;14.6900000;176300
20130204;000000;14.8620000;14.8900000;14.4530000;14.5800000;92800
20130205;000000;14.4610000;14.5000000;14.2130000;14.5000000;126900
20130206;000000;14.5690000;14.6000000;14.2860000;14.3750000;130000
20130207;000000;14.4750000;14.4750000;14.1750000;14.3300000;102600
20130208;000000;14.3950000;14.5790000;14.1930000;14.4490000;105000
20130211;000000;14.5000000;14.5600000;14.2000000;14.3000000;47900
20130212;000000;14.3000000;14.5940000;14.0350000;14.1500000;472300
20130213;000000;14.1500000;14.3400000;14.0900000;14.3100000;219800
20130214;000000;14.2600000;14.4590000;14.0900000;14.2000000;160200
20130215;000000;14.2300000;14.3000000;14.0800000;14.0950000;115500
20130218;000000;14.2950000;14.2990000;14.1000000;14.2000000;37900
20130219;000000;14.2990000;14.2990000;13.9160000;14.0700000;110600
20130220;000000;14.1000000;14.5740000;14.1000000;14.3830000;252300
20130221;000000;14.1500000;14.3290000;14.0300000;14.0300000;215100
20130222;000000;14.1290000;14.2360000;14.0510000;14.0870000;141700
20130225;000000;14.1980000;14.1990000;14.0610000;14.1050000;95500
20130226;000000;14.0450000;14.1870000;13.8810000;14.0000000;153800
20130227;000000;14.0940000;14.1780000;13.9910000;14.0010000;50400
20130228;000000;13.9840000;14.1840000;13.9840000;14.0500000;84800
20130301;000000;14.0120000;14.0950000;13.8790000;13.9970000;83400
20130304;000000;13.9980000;13.9980000;13.6000000;13.6760000;58900
20130305;000000;13.6110000;13.9000000;13.6000000;13.9000000;69500
20130306;000000;13.9800000;14.0420000;13.8650000;13.9000000;57200
20130307;000000;13.9580000;14.0400000;13.7360000;13.8000000;115000
20130311;000000;13.9900000;13.9900000;13.5000000;13.5980000;433700
20130312;000000;13.5240000;13.6830000;13.1990000;13.2880000;392500
20130313;000000;13.2740000;13.4390000;13.0130000;13.0230000;368600
20130314;000000;13.0230000;13.1530000;12.7000000;12.7070000;452300
20130315;000000;12.7800000;13.1000000;12.6350000;12.6350000;583300
20130318;000000;12.5520000;12.5520000;12.2600000;12.3390000;360800
20130319;000000;12.5000000;12.5000000;12.1660000;12.2400000;303500
20130320;000000;12.1760000;12.2370000;12.0100000;12.1500000;225000
20130321;000000;12.2000000;12.2580000;12.1500000;12.2550000;449900
20130322;000000;12.2300000;12.3440000;12.1080000;12.1950000;220400
20130325;000000;12.3950000;12.4500000;12.0100000;12.0890000;112000
20130326;000000;12.0200000;12.0200000;11.3140000;11.6720000;561100
20130327;000000;11.7950000;11.8940000;11.4500000;11.7500000;147000
20130328;000000;11.8090000;11.9000000;11.5000000;11.7300000;266100
20130329;000000;12.0570000;12.8790000;11.7210000;12.4050000;737200
20130401;000000;12.4980000;12.5960000;12.1200000;12.3570000;137200
20130402;000000;12.3570000;12.4300000;12.2010000;12.3400000;111300
20130403;000000;12.3120000;12.3120000;11.7990000;11.9970000;218400
20130404;000000;11.5990000;12.5970000;11.5090000;11.7960000;476900
20130405;000000;11.7960000;11.9880000;11.6070000;11.6110000;62400
20130408;000000;11.8100000;11.9260000;11.3000000;11.3490000;300100
20130409;000000;11.4000000;11.4000000;10.7290000;11.0880000;597800
20130410;000000;11.1960000;11.1960000;10.8110000;10.8500000;342200
20130411;000000;10.9570000;10.9990000;10.4010000;10.4010000;246800
20130412;000000;10.4170000;10.7500000;9.9900000;10.5320000;446500
20130415;000000;10.3220000;10.3230000;9.9030000;10.0000000;319200
20130416;000000;9.9490000;10.2940000;9.9490000;10.2090000;127600
20130417;000000;10.4870000;10.6500000;10.0000000;10.0940000;463200
20130418;000000;10.0100000;10.6990000;9.9600000;10.4460000;347900
20130419;000000;10.5500000;11.1500000;10.5500000;10.8000000;269700
20130422;000000;10.4240000;11.0000000;10.2930000;10.8000000;54200
20130423;000000;10.9530000;10.9950000;10.5950000;10.7300000;35300
20130424;000000;10.9490000;10.9500000;10.7030000;10.7180000;183600
20130425;000000;10.7570000;10.9630000;10.5540000;10.5990000;138800
20130426;000000;10.3830000;10.6840000;10.3830000;10.5000000;89300
20130429;000000;10.3860000;10.6880000;10.3860000;10.5950000;55100
20130430;000000;10.5500000;10.6500000;10.4250000;10.5990000;95200
20130502;000000;10.8770000;10.8770000;10.2700000;10.7030000;60800
20130503;000000;10.8500000;10.8920000;10.5800000;10.7360000;48300
20130506;000000;10.7390000;11.3100000;10.5540000;11.1260000;217800
20130507;000000;11.2200000;11.5000000;10.8910000;11.0640000;344300
20130508;000000;11.0730000;11.0730000;10.7260000;10.9470000;110600
20130510;000000;10.9470000;11.2940000;10.8530000;11.1800000;259100
20130513;000000;11.2210000;11.2290000;10.5020000;10.7950000;208200
20130514;000000;10.7430000;11.0100000;10.5970000;10.9640000;110700
20130515;000000;10.7860000;10.8700000;10.5640000;10.7000000;73300
20130516;000000;10.7450000;10.7450000;10.4130000;10.5470000;111200
20130517;000000;10.5500000;10.7510000;10.4020000;10.7510000;37500
20130520;000000;10.6010000;10.8800000;10.5000000;10.6800000;97100
20130521;000000;10.5510000;10.7130000;10.5510000;10.6900000;39000
20130522;000000;10.7340000;10.8850000;10.6000000;10.8000000;91800
20130523;000000;10.5000000;10.7380000;10.4390000;10.4760000;70800
20130524;000000;10.5000000;11.0000000;10.5000000;10.5100000;223800
20130527;000000;10.5120000;10.7880000;10.5060000;10.5330000;84800
20130528;000000;10.6850000;10.6970000;10.5440000;10.6100000;38400
20130529;000000;10.5520000;10.6020000;10.2140000;10.2580000;111900
20130530;000000;10.2010000;10.3900000;10.0510000;10.1800000;70900
20130531;000000;10.2820000;10.2900000;10.0000000;10.0010000;134900
20130603;000000;10.0010000;10.2410000;9.9000000;9.9860000;161000
20130604;000000;10.1590000;10.1590000;9.8020000;9.9920000;97800
20130605;000000;9.9920000;9.9920000;9.6110000;9.7000000;110300
20130606;000000;9.8260000;9.8260000;9.4110000;9.4550000;212600
20130607;000000;9.5990000;9.6780000;9.4200000;9.5100000;107300
20130610;000000;9.6400000;9.6500000;9.4000000;9.4490000;63200
