<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;10.9110000;10.9110000;10.9100000;10.9100000;1000
20130109;000000;10.9080000;10.9090000;10.5000000;10.5000000;4500
20130114;000000;10.5900000;11.3000000;9.5550000;10.4680000;8700
20130115;000000;10.4000000;10.4000000;10.4000000;10.4000000;100
20130117;000000;10.3410000;10.3410000;10.3410000;10.3410000;500
20130118;000000;10.3450000;10.3450000;10.3450000;10.3450000;100
20130121;000000;10.4860000;10.4860000;10.2000000;10.2000000;1000
20130123;000000;10.1000000;10.1000000;10.1000000;10.1000000;100
20130124;000000;10.8040000;10.8040000;10.3320000;10.5230000;2200
20130125;000000;10.4910000;10.6790000;10.1000000;10.6790000;700
20130129;000000;10.5990000;10.5990000;9.9990000;9.9990000;7000
20130130;000000;10.2000000;10.2000000;10.0000000;10.0000000;900
20130131;000000;10.0000000;10.0000000;10.0000000;10.0000000;200
20130201;000000;10.0000000;10.0000000;10.0000000;10.0000000;200
20130204;000000;10.0000000;10.7820000;10.0000000;10.7820000;300
20130206;000000;10.0000000;10.0020000;9.9500000;9.9970000;1200
20130207;000000;10.0000000;10.0000000;10.0000000;10.0000000;100
20130212;000000;9.9200000;9.9200000;9.8010000;9.8980000;700
20130213;000000;9.8510000;9.8510000;9.6990000;9.7000000;28500
20130220;000000;9.6950000;9.6950000;9.6000000;9.6000000;300
20130221;000000;9.7000000;9.7000000;9.7000000;9.7000000;100
20130226;000000;10.7070000;10.7070000;9.5990000;9.5990000;8300
20130228;000000;9.6030000;9.6030000;8.6770000;9.4180000;4500
20130301;000000;8.9000000;8.9000000;8.9000000;8.9000000;100
20130304;000000;9.1490000;9.8500000;9.1490000;9.8500000;3200
20130306;000000;9.2420000;9.9970000;9.2420000;9.9930000;900
20130311;000000;9.9930000;9.9930000;9.9930000;9.9930000;100
20130312;000000;9.5340000;9.5340000;9.5340000;9.5340000;100
20130313;000000;9.5330000;9.5340000;9.2030000;9.3000000;4300
20130314;000000;9.1200000;9.1200000;9.0000000;9.0000000;200
20130315;000000;9.6810000;9.6810000;9.6810000;9.6810000;100
20130320;000000;9.1990000;9.1990000;9.1990000;9.1990000;1100
20130322;000000;9.0710000;9.0710000;9.0700000;9.0700000;300
20130325;000000;9.0000000;9.0000000;9.0000000;9.0000000;100
20130326;000000;9.0010000;9.0010000;9.0000000;9.0000000;5700
20130329;000000;7.9120000;7.9120000;7.9120000;7.9120000;100
20130401;000000;8.8960000;8.9000000;8.7990000;8.7990000;500
20130402;000000;9.1000000;9.1000000;8.7240000;8.7250000;400
20130403;000000;8.6680000;8.6680000;8.6680000;8.6680000;200
20130408;000000;8.8000000;8.8000000;8.8000000;8.8000000;100
20130410;000000;8.9000000;8.9000000;8.7000000;8.8770000;2900
20130411;000000;8.9890000;8.9890000;8.4300000;8.9630000;700
20130412;000000;8.9400000;8.9400000;8.4200000;8.6860000;600
