<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;5.9990000;5.9990000;5.9970000;5.9970000;3000
20130109;000000;5.9000000;6.4380000;5.7630000;5.9500000;45000
20130110;000000;6.3800000;6.3800000;5.9850000;6.3000000;20000
20130111;000000;6.3400000;6.3400000;6.3400000;6.3400000;1000
20130114;000000;6.3350000;6.3350000;6.2000000;6.2000000;5000
20130115;000000;6.3000000;6.3000000;6.2110000;6.2110000;3000
20130116;000000;6.2970000;6.3200000;6.1800000;6.1800000;70000
20130117;000000;6.2440000;6.2440000;6.1000000;6.2440000;99000
20130118;000000;6.1440000;6.3200000;6.1440000;6.2020000;24000
20130121;000000;6.2000000;6.2000000;6.1150000;6.1150000;8000
20130122;000000;6.2000000;6.2270000;6.2000000;6.2270000;10000
20130123;000000;6.0990000;6.2170000;6.0990000;6.2170000;11000
20130124;000000;6.1000000;6.1000000;6.1000000;6.1000000;1000
20130125;000000;6.2790000;6.2790000;6.1540000;6.1540000;2000
20130128;000000;6.1010000;6.1510000;6.1010000;6.1510000;4000
20130129;000000;6.1790000;6.1800000;6.1300000;6.1300000;8000
20130130;000000;6.0040000;6.1280000;6.0040000;6.1280000;12000
20130131;000000;6.1250000;6.1250000;6.0620000;6.0620000;21000
20130201;000000;6.1260000;6.1270000;6.0600000;6.0600000;39000
20130204;000000;6.0210000;6.0220000;5.9020000;5.9020000;214000
20130205;000000;5.9890000;5.9890000;5.9890000;5.9890000;18000
20130206;000000;5.9600000;5.9600000;5.9290000;5.9290000;3000
20130211;000000;5.9840000;5.9840000;5.9840000;5.9840000;10000
20130212;000000;5.7500000;5.7500000;5.7500000;5.7500000;2000
20130213;000000;5.9950000;6.1380000;5.6900000;5.7510000;17000
20130215;000000;5.8060000;5.8060000;5.8060000;5.8060000;7000
20130218;000000;5.8990000;5.8990000;5.8990000;5.8990000;9000
20130222;000000;5.7510000;5.7510000;5.7500000;5.7500000;17000
20130226;000000;5.8840000;5.8840000;5.8840000;5.8840000;3000
20130301;000000;5.6000000;5.6000000;5.6000000;5.6000000;1000
20130305;000000;5.6000000;5.6000000;5.6000000;5.6000000;1000
20130313;000000;5.6000000;5.6000000;5.6000000;5.6000000;1000
20130314;000000;5.1410000;5.1500000;5.1400000;5.1500000;16000
20130318;000000;5.1930000;5.2000000;5.1930000;5.2000000;36000
20130321;000000;5.3850000;5.3850000;5.3850000;5.3850000;1000
20130325;000000;5.3000000;5.3000000;5.3000000;5.3000000;1000
20130326;000000;5.3200000;5.3200000;5.3200000;5.3200000;1000
20130327;000000;5.3840000;5.3840000;5.1460000;5.1460000;2000
20130329;000000;5.1510000;5.4000000;5.1510000;5.4000000;18000
20130409;000000;5.3100000;5.3100000;5.3000000;5.3000000;7000
20130410;000000;5.2800000;5.2800000;5.2800000;5.2800000;4000
20130411;000000;5.3850000;5.4000000;5.3850000;5.4000000;36000
20130412;000000;5.4000000;5.4100000;5.4000000;5.4100000;5000
20130415;000000;5.6000000;5.6000000;5.6000000;5.6000000;2000
20130416;000000;5.2000000;5.4000000;5.2000000;5.4000000;18000
20130419;000000;6.1960000;6.1960000;5.1150000;5.1150000;2000
20130422;000000;5.0140000;5.0140000;5.0140000;5.0140000;1000
20130423;000000;5.3000000;5.3000000;5.3000000;5.3000000;1000
20130424;000000;5.3550000;5.6200000;5.3550000;5.4700000;14000
20130425;000000;5.5590000;5.5600000;5.4620000;5.4620000;17000
20130426;000000;5.0230000;5.2160000;5.0230000;5.2160000;3000
20130430;000000;5.2070000;5.2070000;5.2070000;5.2070000;2000
20130503;000000;5.5650000;5.9500000;5.5650000;5.9500000;2000
20130508;000000;5.3000000;5.3000000;5.3000000;5.3000000;1000
20130513;000000;5.2210000;5.2210000;5.1000000;5.1000000;2000
20130515;000000;5.4340000;5.4340000;5.4340000;5.4340000;1000
20130523;000000;5.3030000;5.3030000;5.3030000;5.3030000;1000
20130531;000000;5.2730000;5.2730000;5.2730000;5.2730000;2000
20130603;000000;5.0110000;5.0110000;5.0110000;5.0110000;1000
20130606;000000;5.2450000;5.2450000;5.2450000;5.2450000;1000
20130613;000000;5.0110000;5.0110000;5.0110000;5.0110000;1000
20130614;000000;5.0040000;5.0040000;4.8000000;4.8000000;15000
20130617;000000;4.5110000;4.8840000;4.5030000;4.7600000;7000
20130715;000000;4.8010000;4.8010000;4.8010000;4.8010000;1000
20130724;000000;4.9650000;4.9770000;4.9650000;4.9770000;11000
20130726;000000;5.1000000;5.2500000;5.1000000;5.2500000;2000
20130730;000000;5.1350000;5.1350000;5.1350000;5.1350000;1000
20130731;000000;5.0440000;5.0440000;5.0440000;5.0440000;1000
20130802;000000;5.0010000;5.2500000;5.0010000;5.2500000;13000
20130806;000000;4.9800000;4.9800000;4.9800000;4.9800000;7000
20130812;000000;4.8750000;4.8750000;4.8750000;4.8750000;1000
20130821;000000;5.0500000;5.0500000;5.0500000;5.0500000;1000
20130823;000000;5.4500000;5.7990000;5.4500000;5.7990000;5000
20130826;000000;5.5980000;5.7000000;5.5980000;5.7000000;40000
20130830;000000;5.0520000;5.0520000;5.0130000;5.0130000;9000
20130903;000000;5.4500000;5.4500000;5.4500000;5.4500000;1000
20130909;000000;5.2500000;5.2500000;5.2500000;5.2500000;1000
20130910;000000;5.3000000;5.3000000;5.2500000;5.2500000;10000
20130916;000000;5.4700000;5.4700000;5.4700000;5.4700000;1000
20130918;000000;5.1010000;5.1010000;5.1000000;5.1000000;4000
20130923;000000;5.0780000;5.0780000;5.0490000;5.0500000;9000
20130924;000000;5.0470000;5.1140000;4.8620000;5.1140000;24000
20130925;000000;4.9010000;5.0970000;4.9010000;5.0970000;6000
20130926;000000;5.1140000;5.1140000;5.1140000;5.1140000;6000
20130927;000000;5.1470000;5.1470000;5.1470000;5.1470000;10000
20130930;000000;5.5700000;5.5700000;5.5700000;5.5700000;2000
20131002;000000;5.5000000;5.5000000;5.5000000;5.5000000;1000
20131003;000000;5.5000000;5.5000000;5.5000000;5.5000000;1000
20131015;000000;5.5000000;5.5830000;5.5000000;5.5830000;3000
20131016;000000;5.2500000;5.2500000;5.2500000;5.2500000;1000
20131018;000000;5.6050000;5.6140000;5.6050000;5.6140000;5000
20131021;000000;5.6070000;5.6070000;5.6070000;5.6070000;2000
20131025;000000;5.1700000;5.1700000;5.1700000;5.1700000;1000
20131029;000000;5.1700000;5.1700000;5.1700000;5.1700000;5000
20131030;000000;5.1710000;5.1710000;5.1710000;5.1710000;1000
20131106;000000;5.1670000;5.1670000;5.1670000;5.1670000;1000
20131112;000000;5.1020000;5.1020000;5.1020000;5.1020000;1000
20131114;000000;5.2400000;5.2450000;5.2400000;5.2450000;4000
20131203;000000;5.4980000;5.5000000;5.4980000;5.4990000;3000
20131204;000000;5.4870000;5.4880000;5.2150000;5.4860000;6000
20131224;000000;5.4990000;5.4990000;5.4990000;5.4990000;1000
20131225;000000;5.4000000;5.5250000;5.4000000;5.5250000;2000
20131227;000000;5.4040000;5.4040000;5.4030000;5.4030000;2000
