<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6.1600000;6.1600000;6.0400000;6.0500000;69800
20130109;000000;6.0960000;6.3000000;6.0960000;6.2390000;396000
20130110;000000;6.2400000;6.3500000;6.1790000;6.2900000;259300
20130111;000000;6.3460000;6.3460000;6.1820000;6.1980000;97300
20130114;000000;6.2800000;6.4610000;6.2500000;6.3850000;365400
20130115;000000;6.4010000;6.4410000;6.2710000;6.2750000;80500
20130116;000000;6.3000000;6.3700000;6.1590000;6.1590000;177800
20130117;000000;6.1830000;6.2670000;6.0500000;6.1340000;263200
20130118;000000;6.1590000;6.2770000;6.1590000;6.1960000;166500
20130121;000000;6.2000000;6.2850000;6.1400000;6.2490000;119400
20130122;000000;6.2100000;6.2870000;6.2000000;6.2530000;53600
20130123;000000;6.2500000;6.3390000;6.2200000;6.2710000;245100
20130124;000000;6.2560000;6.2780000;6.2320000;6.2350000;25400
20130125;000000;6.2790000;6.3850000;6.2560000;6.3300000;208200
20130128;000000;6.3460000;6.9760000;6.3460000;6.8600000;1053000
20130129;000000;6.8950000;6.9890000;6.5500000;6.6550000;380300
20130130;000000;6.6580000;6.6790000;6.3900000;6.3900000;239800
20130131;000000;6.4240000;6.5630000;6.3800000;6.4700000;103900
20130201;000000;6.5190000;6.7800000;6.5120000;6.5800000;106400
20130204;000000;6.5790000;6.9190000;6.5190000;6.5820000;220900
20130205;000000;6.5120000;6.7630000;6.4300000;6.5440000;103500
20130206;000000;6.6960000;6.7530000;6.4990000;6.6060000;286900
20130207;000000;6.6320000;6.9000000;6.4800000;6.5010000;132400
20130208;000000;6.6060000;6.7750000;6.3830000;6.5960000;320200
20130211;000000;6.6000000;6.6400000;6.5010000;6.5010000;28300
20130212;000000;6.5000000;6.5950000;6.3050000;6.5950000;40900
20130213;000000;6.5010000;6.6940000;6.3090000;6.5010000;115800
20130214;000000;6.5050000;6.6950000;6.4140000;6.4920000;88000
20130215;000000;6.4270000;6.5320000;6.3820000;6.3820000;35300
20130218;000000;6.4690000;6.4690000;6.1760000;6.3970000;87900
20130219;000000;6.3130000;6.4100000;6.3100000;6.3280000;19800
20130220;000000;6.3320000;6.3530000;6.2570000;6.2570000;28700
20130221;000000;6.2410000;6.2660000;6.1600000;6.2040000;71900
20130222;000000;6.2770000;6.6700000;6.1430000;6.2270000;55300
20130225;000000;6.2130000;6.3000000;6.1500000;6.1800000;77000
20130226;000000;6.2000000;6.2010000;6.1000000;6.1190000;21300
20130227;000000;6.1830000;6.1830000;6.0900000;6.1000000;61600
20130228;000000;6.1340000;6.2050000;6.0670000;6.1500000;86500
20130301;000000;6.1120000;6.1860000;6.0800000;6.0830000;34900
20130304;000000;6.0880000;6.0880000;5.9200000;5.9200000;171400
20130305;000000;5.9480000;6.0250000;5.9200000;5.9500000;43100
20130306;000000;5.9510000;6.1990000;5.9510000;6.0210000;69000
20130307;000000;6.0250000;6.1950000;5.9430000;5.9920000;73400
20130311;000000;5.9800000;6.1970000;5.9600000;6.0000000;48200
20130312;000000;6.0170000;6.0300000;5.9400000;6.0010000;85200
20130313;000000;6.0000000;6.0500000;5.9410000;6.0190000;249800
20130314;000000;5.9990000;6.0100000;5.9450000;5.9690000;56400
20130315;000000;6.0000000;6.0350000;5.9200000;5.9200000;211900
20130318;000000;5.8250000;5.9000000;5.3300000;5.8000000;392000
20130319;000000;5.8960000;5.8960000;5.6510000;5.6560000;30500
20130320;000000;5.7400000;5.7400000;5.5120000;5.6200000;84100
20130321;000000;5.6490000;5.7900000;5.5580000;5.6960000;52400
20130322;000000;5.6120000;5.6980000;5.4980000;5.5210000;61300
20130325;000000;5.5990000;5.7000000;5.3030000;5.4000000;100100
20130326;000000;5.3130000;5.3400000;5.1000000;5.1700000;331100
20130327;000000;5.1000000;5.1800000;5.0120000;5.0980000;69700
