<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;664.9000000;675.0000000;646.4000000;650.0000000;1720
20130109;000000;640.1000000;679.2000000;640.0000000;674.9000000;890
20130110;000000;679.9000000;684.9000000;650.0000000;666.6000000;870
20130111;000000;684.9000000;684.9000000;650.0000000;650.3000000;540
20130114;000000;650.0000000;672.9000000;650.0000000;666.0000000;520
20130115;000000;651.3000000;673.2000000;650.0000000;650.0000000;1030
20130116;000000;650.0000000;672.7000000;650.0000000;650.3000000;460
20130117;000000;650.1000000;672.0000000;636.8000000;669.5000000;890
20130118;000000;650.0000000;669.5000000;636.2000000;636.2000000;430
20130121;000000;630.2000000;636.6000000;625.0000000;636.6000000;80
20130122;000000;622.4000000;622.4000000;590.4000000;600.0000000;930
20130123;000000;600.1000000;614.8000000;590.2000000;609.1000000;660
20130124;000000;600.1000000;600.1000000;600.1000000;600.1000000;90
20130125;000000;595.0000000;604.3000000;591.0000000;595.0000000;1140
20130128;000000;592.0000000;592.0000000;592.0000000;592.0000000;60
20130129;000000;611.0000000;612.0000000;611.0000000;611.0000000;150
20130130;000000;601.0000000;603.3000000;601.0000000;603.3000000;140
20130131;000000;604.2000000;629.2000000;580.0000000;600.0000000;2450
20130201;000000;590.1000000;590.1000000;590.0000000;590.0000000;20
20130204;000000;590.0000000;599.3000000;580.0000000;580.0000000;100
20130205;000000;580.0000000;580.0000000;580.0000000;580.0000000;20
20130206;000000;570.1000000;580.0000000;570.1000000;580.0000000;20
20130207;000000;599.9000000;609.7000000;599.9000000;609.7000000;40
20130208;000000;570.1000000;580.0000000;560.1000000;580.0000000;220
20130211;000000;580.0000000;590.0000000;580.0000000;590.0000000;40
20130212;000000;557.7000000;585.0000000;557.7000000;585.0000000;20
20130213;000000;584.9000000;585.0000000;584.9000000;584.9000000;100
20130214;000000;557.4000000;570.0000000;557.3000000;561.0000000;50
20130218;000000;560.0000000;560.5000000;520.1000000;560.5000000;550
20130219;000000;560.0000000;575.0000000;560.0000000;575.0000000;30
20130220;000000;537.3000000;560.0000000;537.3000000;560.0000000;40
20130221;000000;565.7000000;565.7000000;565.7000000;565.7000000;10
20130222;000000;599.9000000;599.9000000;599.9000000;599.9000000;10
20130225;000000;545.0000000;545.0000000;545.0000000;545.0000000;10
20130226;000000;546.0000000;546.0000000;545.0000000;545.0000000;40
20130228;000000;550.1000000;608.9000000;550.0000000;608.9000000;620
20130301;000000;600.0000000;600.0000000;555.1000000;555.1000000;20
20130304;000000;560.3000000;560.3000000;560.3000000;560.3000000;10
20130305;000000;535.0000000;599.9000000;535.0000000;559.9000000;400
20130306;000000;549.0000000;549.0000000;539.1000000;539.1000000;20
20130312;000000;534.1000000;534.1000000;530.0000000;530.0000000;200
20130313;000000;521.0000000;565.0000000;511.0000000;565.0000000;340
20130314;000000;566.0000000;566.0000000;532.6000000;543.0000000;130
20130315;000000;535.8000000;555.8000000;535.0000000;555.8000000;60
20130319;000000;565.0000000;565.0000000;565.0000000;565.0000000;10
20130321;000000;540.1000000;547.0000000;540.1000000;546.0000000;50
20130322;000000;545.0000000;545.0000000;545.0000000;545.0000000;30
20130325;000000;538.0000000;538.0000000;532.0000000;532.0000000;100
20130326;000000;520.0000000;520.0000000;513.0000000;513.0000000;20
20130327;000000;510.0000000;510.0000000;510.0000000;510.0000000;10
20130329;000000;539.9000000;539.9000000;539.9000000;539.9000000;100
20130401;000000;534.9000000;534.9000000;528.0000000;528.7000000;220
20130402;000000;513.1000000;513.1000000;513.1000000;513.1000000;80
20130403;000000;506.0000000;518.9000000;485.1000000;500.0000000;1220
20130404;000000;495.0000000;495.0000000;495.0000000;495.0000000;370
20130405;000000;495.0000000;500.0000000;490.0000000;500.0000000;60
20130409;000000;548.8000000;548.8000000;485.1000000;485.1000000;30
20130410;000000;479.0000000;499.0000000;463.1000000;480.0000000;230
20130411;000000;468.1000000;477.7000000;450.0000000;460.0000000;310
20130412;000000;470.0000000;470.0000000;465.0000000;465.0000000;20
20130415;000000;460.1000000;460.1000000;410.0000000;430.0000000;910
20130416;000000;405.0000000;410.0000000;401.0000000;407.5000000;530
20130417;000000;405.0000000;405.0000000;370.0000000;400.0000000;920
20130418;000000;377.1000000;390.0000000;360.0000000;360.0000000;680
20130419;000000;370.1000000;420.0000000;370.1000000;400.0000000;150
20130422;000000;400.0000000;400.0000000;400.0000000;400.0000000;10
20130423;000000;405.0000000;405.0000000;390.0000000;400.0000000;280
20130424;000000;400.0000000;400.0000000;400.0000000;400.0000000;90
20130426;000000;415.0000000;415.0000000;415.0000000;415.0000000;10
20130429;000000;450.0000000;469.7000000;450.0000000;463.9000000;30
20130430;000000;488.9000000;559.9000000;460.0000000;559.9000000;1910
20130502;000000;549.0000000;565.0000000;549.0000000;550.0000000;100
20130503;000000;525.1000000;525.1000000;525.1000000;525.1000000;80
20130508;000000;460.0000000;460.0000000;439.0000000;450.0000000;240
20130510;000000;480.0000000;480.0000000;480.0000000;480.0000000;10
20130513;000000;435.2000000;450.0000000;435.2000000;450.0000000;150
20130514;000000;561.8000000;561.8000000;445.0000000;450.0000000;80
20130515;000000;449.9000000;483.0000000;449.9000000;483.0000000;130
20130516;000000;460.0000000;470.0000000;460.0000000;470.0000000;30
20130517;000000;450.0000000;470.0000000;449.9000000;465.0000000;70
20130520;000000;549.7000000;549.7000000;420.0000000;501.0000000;360
20130521;000000;432.0000000;461.1000000;430.2000000;450.4000000;250
20130522;000000;432.1000000;450.0000000;432.0000000;450.0000000;170
20130523;000000;440.2000000;449.8000000;440.1000000;449.8000000;110
20130524;000000;422.3000000;440.0000000;422.2000000;440.0000000;30
20130527;000000;440.0000000;454.9000000;440.0000000;454.9000000;110
20130529;000000;445.0000000;445.0000000;438.4000000;445.0000000;90
20130530;000000;440.1000000;450.0000000;440.0000000;450.0000000;180
20130531;000000;459.9000000;549.0000000;442.4000000;549.0000000;170
20130603;000000;463.0000000;500.0000000;463.0000000;500.0000000;30
20130604;000000;499.9000000;499.9000000;499.0000000;499.0000000;30
20130605;000000;462.4000000;475.0000000;462.4000000;475.0000000;100
20130606;000000;461.4000000;461.4000000;460.7000000;460.7000000;40
20130610;000000;489.3000000;489.3000000;470.0000000;480.0000000;30
20130617;000000;441.0000000;470.0000000;441.0000000;470.0000000;20
20130618;000000;475.1000000;475.3000000;475.1000000;475.3000000;20
20130619;000000;475.0000000;475.0000000;475.0000000;475.0000000;20
20130621;000000;473.6000000;475.0000000;473.6000000;473.7000000;280
20130624;000000;478.9000000;480.0000000;478.9000000;480.0000000;300
20130625;000000;470.2000000;477.9000000;470.2000000;477.9000000;20
20130626;000000;465.3000000;465.3000000;465.0000000;465.0000000;230
20130627;000000;470.0000000;474.7000000;465.0000000;474.7000000;1110
20130628;000000;475.0000000;475.0000000;475.0000000;475.0000000;10
20130701;000000;478.0000000;479.0000000;478.0000000;479.0000000;30
20130702;000000;480.1000000;489.8000000;430.0000000;489.8000000;200
20130705;000000;470.0000000;474.7000000;470.0000000;474.7000000;70
20130708;000000;474.0000000;474.0000000;464.6000000;469.9000000;100
20130710;000000;469.9000000;469.9000000;465.0000000;465.0000000;380
20130712;000000;465.0000000;465.0000000;465.0000000;465.0000000;10
20130715;000000;465.0000000;465.0000000;465.0000000;465.0000000;10
20130718;000000;436.0000000;461.4000000;436.0000000;461.4000000;20
20130719;000000;435.0000000;449.8000000;432.0000000;449.8000000;50
20130722;000000;474.9000000;514.9000000;474.9000000;514.9000000;190
20130723;000000;462.1000000;462.1000000;455.1000000;455.1000000;40
20130724;000000;471.7000000;471.7000000;450.1000000;468.7000000;290
20130726;000000;464.0000000;464.0000000;464.0000000;464.0000000;10
20130730;000000;460.0000000;479.9000000;460.0000000;479.9000000;60
20130801;000000;465.0000000;529.0000000;455.8000000;469.9000000;380
20130802;000000;430.2000000;458.9000000;430.0000000;458.9000000;170
20130805;000000;459.0000000;472.0000000;459.0000000;472.0000000;150
20130807;000000;450.3000000;468.4000000;450.0000000;468.4000000;60
20130812;000000;492.9000000;492.9000000;466.9000000;466.9000000;40
20130813;000000;451.0000000;459.0000000;449.9000000;459.0000000;150
20130814;000000;451.0000000;469.0000000;451.0000000;469.0000000;30
20130815;000000;470.0000000;470.0000000;440.0000000;465.0000000;100
20130816;000000;438.1000000;458.8000000;427.0000000;458.8000000;160
20130822;000000;430.0000000;450.0000000;430.0000000;449.9000000;110
