<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;50.7900000;51.5000000;50.5300000;50.5300000;24220
20130109;000000;50.5300000;50.9000000;50.1300000;50.9000000;19730
20130110;000000;50.9000000;50.9000000;50.0000000;50.2000000;96080
20130111;000000;50.4900000;50.8300000;50.2000000;50.2500000;60710
20130114;000000;50.1500000;51.4300000;49.9900000;50.4000000;172620
20130115;000000;50.3000000;50.8300000;49.6300000;50.0000000;150960
20130116;000000;49.9000000;50.4800000;49.5500000;49.5500000;72800
20130117;000000;49.5600000;49.5600000;49.2600000;49.4000000;94090
20130118;000000;49.4600000;49.9900000;48.5400000;49.7900000;496170
20130121;000000;49.6000000;51.7500000;49.5000000;50.0000000;485850
20130122;000000;50.0200000;50.4600000;49.6300000;49.7100000;48470
20130123;000000;49.7100000;51.7400000;49.5500000;51.5000000;150190
20130124;000000;51.1500000;55.4400000;50.2200000;54.2400000;204450
20130125;000000;54.2400000;55.9500000;53.8000000;54.9000000;180960
20130128;000000;55.7000000;56.0000000;54.0000000;54.4400000;58270
20130129;000000;54.6400000;55.0000000;52.5000000;53.8500000;111500
20130130;000000;53.7500000;53.9300000;52.5000000;52.9100000;50250
20130131;000000;52.9700000;53.1500000;52.0300000;52.2200000;14470
20130201;000000;52.5300000;52.5300000;51.6200000;51.8900000;39390
20130204;000000;52.0300000;52.1400000;51.3000000;51.7700000;27380
20130205;000000;51.7600000;51.7600000;50.5000000;51.3500000;109590
20130206;000000;51.3000000;51.7500000;50.4500000;50.6900000;54750
20130207;000000;50.6500000;50.8500000;50.0000000;50.2300000;94030
20130208;000000;50.2300000;50.2300000;49.7300000;49.9000000;29840
20130211;000000;50.0000000;50.2400000;49.1500000;49.9000000;117750
20130212;000000;49.5600000;49.8400000;49.5000000;49.7000000;24670
20130213;000000;49.8900000;50.3900000;49.8400000;50.1000000;66790
20130214;000000;50.2300000;50.4900000;49.4500000;49.8000000;34850
