<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2010.1000000;2014.0000000;1981.2000000;2001.0000000;40
20130109;000000;1994.6000000;2000.1000000;1976.9000000;2000.0000000;23
20130110;000000;1999.9000000;2000.0000000;1983.9000000;2000.0000000;8
20130111;000000;2020.0000000;2020.0000000;2020.0000000;2020.0000000;1
20130114;000000;1955.2000000;1955.2000000;1955.2000000;1955.2000000;1
20130115;000000;1980.1000000;2000.0000000;1950.0000000;2000.0000000;24
20130116;000000;2000.0000000;2037.9000000;2000.0000000;2037.6000000;5
20130117;000000;2110.0000000;2110.0000000;2110.0000000;2110.0000000;25
20130121;000000;2050.0000000;2050.0000000;2050.0000000;2050.0000000;1
20130125;000000;2065.0000000;2200.0000000;2065.0000000;2200.0000000;11
20130214;000000;2007.1000000;2007.1000000;2007.0000000;2007.0000000;3
20130218;000000;2099.0000000;2099.0000000;2099.0000000;2099.0000000;1
20130219;000000;2087.9000000;2130.0000000;2087.9000000;2130.0000000;5
20130222;000000;2092.6000000;2094.9000000;2092.6000000;2094.9000000;4
20130227;000000;2000.1000000;2000.1000000;2000.1000000;2000.1000000;1
20130228;000000;2090.0000000;2090.0000000;2076.9000000;2076.9000000;2
20130305;000000;2000.1000000;2000.1000000;2000.0000000;2000.0000000;15
20130306;000000;2068.0000000;2210.0000000;2064.9000000;2101.5000000;13
20130307;000000;2104.1000000;2104.1000000;2104.1000000;2104.1000000;1
20130311;000000;2105.0000000;2149.9000000;2105.0000000;2149.9000000;2
20130320;000000;2005.1000000;2005.1000000;2005.0000000;2005.0000000;8
20130321;000000;2049.0000000;2049.0000000;2049.0000000;2049.0000000;1
20130322;000000;2044.0000000;2044.0000000;2044.0000000;2044.0000000;1
20130325;000000;2080.0000000;2377.4000000;2055.0000000;2188.0000000;87
20130404;000000;2000.1000000;2100.0000000;2000.1000000;2000.1000000;7
20130405;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;4
20130409;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;28
20130410;000000;2250.0000000;2250.0000000;2250.0000000;2250.0000000;1
20130412;000000;1800.3000000;2100.0000000;1800.3000000;2100.0000000;2
20130415;000000;1800.0000000;1800.1000000;1800.0000000;1800.1000000;2
20130418;000000;1732.5000000;1732.5000000;1732.5000000;1732.5000000;2
20130422;000000;1697.8000000;1697.8000000;1697.8000000;1697.8000000;1
20130502;000000;1682.1000000;1682.1000000;1682.1000000;1682.1000000;1
20130515;000000;1800.0000000;1899.9000000;1800.0000000;1880.0000000;14
20130520;000000;2000.0000000;2000.0000000;1900.0000000;2000.0000000;6
20130522;000000;1900.0000000;2197.9000000;1900.0000000;2197.9000000;93
20130523;000000;2052.0000000;2052.0000000;2052.0000000;2052.0000000;1
20130527;000000;2055.0000000;2055.0000000;2055.0000000;2055.0000000;2
20130528;000000;2200.0000000;2200.0000000;2200.0000000;2200.0000000;11
20130603;000000;1960.6000000;1960.6000000;1960.6000000;1960.6000000;2
20130604;000000;1977.0000000;2044.1000000;1977.0000000;2044.1000000;3
20130605;000000;2044.0000000;2099.9000000;2025.1000000;2025.1000000;3
20130607;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;1
20130619;000000;2100.0000000;2100.0000000;2100.0000000;2100.0000000;1
20130710;000000;2353.7000000;2353.7000000;1952.8000000;2009.9000000;17
20130715;000000;1900.0000000;2257.1000000;1840.0000000;2200.0000000;56
20130717;000000;2072.1000000;2104.1000000;2072.1000000;2104.1000000;2
20130718;000000;2000.1000000;2000.1000000;2000.0000000;2000.0000000;10
20130722;000000;2000.1000000;2000.1000000;2000.1000000;2000.1000000;4
20130726;000000;2001.0000000;2001.0000000;2001.0000000;2001.0000000;2
20130731;000000;2000.9000000;2195.0000000;2000.9000000;2000.9000000;44
20130805;000000;2421.9000000;2421.9000000;2250.0000000;2250.0000000;9
20130809;000000;2000.4000000;2000.4000000;2000.4000000;2000.4000000;1
20130812;000000;2010.4000000;2010.4000000;2010.4000000;2010.4000000;1
20130814;000000;2000.0000000;2160.0000000;2000.0000000;2160.0000000;33
20130816;000000;2517.4000000;2518.0000000;2001.0000000;2200.0000000;17
20130822;000000;2000.3000000;2000.3000000;2000.2000000;2000.2000000;3
20130826;000000;2097.5000000;2098.0000000;2097.5000000;2098.0000000;3
20130903;000000;2000.2000000;2000.2000000;2000.0000000;2000.0000000;12
20130905;000000;2000.6000000;2000.6000000;2000.0000000;2000.0000000;2
20130917;000000;2000.1000000;2000.1000000;2000.0000000;2000.0000000;2
20131014;000000;2000.0000000;2150.0000000;2000.0000000;2150.0000000;3
20131016;000000;2100.0000000;2149.0000000;2100.0000000;2149.0000000;8
20131030;000000;2000.0000000;2000.0000000;2000.0000000;2000.0000000;1
20131118;000000;1701.0000000;1701.0000000;1701.0000000;1701.0000000;2
20131209;000000;2000.0000000;2100.0000000;2000.0000000;2100.0000000;21
