<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1868.0000000;1954.0000000;1868.0000000;1905.0000000;189
20130109;000000;1929.0000000;2494.0000000;1904.0000000;1956.0000000;1842
20130110;000000;1942.0000000;1983.0000000;1934.0000000;1968.0000000;230
20130111;000000;1973.0000000;2000.0000000;1973.0000000;1987.0000000;45
20130114;000000;1983.0000000;2060.0000000;1983.0000000;1994.0000000;57
20130115;000000;2043.0000000;2043.0000000;1944.0000000;1994.0000000;121
20130116;000000;2017.0000000;2029.0000000;1965.0000000;1993.0000000;176
20130117;000000;1990.0000000;2014.0000000;1965.0000000;1981.0000000;177
20130118;000000;1979.0000000;2014.0000000;1979.0000000;1980.0000000;124
20130121;000000;2002.0000000;2002.0000000;1975.0000000;1986.0000000;37
20130122;000000;1986.0000000;2010.0000000;1980.0000000;2000.0000000;41
20130123;000000;2007.0000000;2007.0000000;1986.0000000;1986.0000000;11
20130124;000000;2024.0000000;2024.0000000;1968.0000000;1968.0000000;33
20130125;000000;2000.0000000;2050.0000000;2000.0000000;2014.0000000;72
20130128;000000;1972.0000000;2015.0000000;1972.0000000;2014.0000000;56
20130129;000000;2098.0000000;2098.0000000;1994.0000000;1994.0000000;31
20130130;000000;1995.0000000;2027.0000000;1994.0000000;1994.0000000;40
20130131;000000;1986.0000000;1989.0000000;1975.0000000;1976.0000000;21
20130201;000000;1998.0000000;2037.0000000;1987.0000000;1987.0000000;29
20130204;000000;1981.0000000;1994.0000000;1968.0000000;1968.0000000;15
20130205;000000;1951.0000000;1977.0000000;1917.0000000;1977.0000000;68
20130206;000000;1977.0000000;1980.0000000;1955.0000000;1980.0000000;30
20130207;000000;1940.0000000;1970.0000000;1930.0000000;1933.0000000;17
20130208;000000;1967.0000000;1969.0000000;1937.0000000;1950.0000000;7
20130211;000000;1933.0000000;1969.0000000;1919.0000000;1969.0000000;26
20130212;000000;1977.0000000;1977.0000000;1924.0000000;1969.0000000;14
20130213;000000;1969.0000000;1995.0000000;1950.0000000;1965.0000000;33
20130214;000000;1941.0000000;1961.0000000;1920.0000000;1946.0000000;115
20130215;000000;1914.0000000;2000.0000000;1914.0000000;1990.0000000;198
20130218;000000;2017.0000000;2296.0000000;2017.0000000;2163.0000000;1140
20130219;000000;2142.0000000;2165.0000000;2045.0000000;2061.0000000;117
20130220;000000;2111.0000000;2111.0000000;2042.0000000;2050.0000000;43
20130221;000000;2001.0000000;2048.0000000;1902.0000000;2048.0000000;144
20130222;000000;2046.0000000;2143.0000000;2041.0000000;2057.0000000;292
