<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;79.5200000;83.3300000;79.5200000;82.8200000;540
20130109;000000;80.0800000;82.0100000;80.0800000;81.6500000;1120
20130110;000000;81.3300000;85.0000000;80.1100000;82.5000000;4530
20130111;000000;82.5000000;86.0000000;82.5000000;83.9000000;4130
20130114;000000;83.2800000;88.7800000;83.1000000;86.8800000;8600
20130115;000000;86.0000000;86.0000000;85.7000000;85.7000000;1530
20130116;000000;84.2400000;85.9000000;83.9200000;84.5500000;1400
20130117;000000;83.9200000;86.4900000;83.9200000;86.0900000;13390
20130118;000000;86.5000000;89.6200000;86.0000000;86.0000000;8250
20130121;000000;86.3500000;88.9700000;86.1000000;86.2200000;2540
20130122;000000;86.9800000;87.0100000;86.0000000;86.2300000;12040
20130123;000000;86.9700000;87.8800000;86.0000000;86.4400000;860
20130124;000000;86.9400000;86.9400000;85.8000000;86.3700000;890
20130125;000000;85.8100000;86.3900000;85.8000000;86.3700000;1030
20130128;000000;87.3000000;87.5000000;85.5300000;86.3700000;360
20130129;000000;86.4100000;86.4100000;80.1300000;86.0000000;62130
20130130;000000;86.5000000;87.7000000;86.0000000;86.1900000;1840
20130131;000000;85.7600000;85.7600000;84.0000000;84.5500000;2860
20130201;000000;84.5500000;86.3100000;84.5500000;85.9900000;4180
20130204;000000;85.7000000;86.0000000;85.5000000;85.5000000;9540
20130205;000000;85.5000000;85.9700000;84.5000000;85.5500000;4770
20130206;000000;86.0000000;87.3000000;84.6100000;85.0000000;10390
20130207;000000;85.0100000;85.5000000;84.5600000;85.3700000;7370
20130208;000000;85.0000000;85.3700000;85.0000000;85.3700000;12280
20130211;000000;85.3000000;86.2200000;85.3000000;86.0000000;1970
20130212;000000;85.8600000;86.2000000;85.3000000;86.2000000;8360
20130213;000000;86.4700000;87.5900000;85.3000000;87.0000000;1900
20130214;000000;87.9900000;89.0000000;86.1600000;86.2300000;90
20130215;000000;86.0100000;86.0100000;83.5700000;85.0000000;3100
20130218;000000;86.5600000;88.3300000;83.5100000;84.9900000;1330
20130219;000000;85.2900000;85.2900000;85.1300000;85.1300000;320
20130220;000000;85.0000000;85.1300000;84.0100000;85.0000000;5300
20130221;000000;85.0000000;85.2000000;83.0000000;84.8600000;5360
20130222;000000;85.0800000;85.9900000;84.9900000;85.3700000;6360
20130225;000000;85.5600000;85.8500000;85.0000000;85.4800000;1580
20130226;000000;85.1200000;85.1200000;85.0000000;85.0000000;6280
20130227;000000;85.0600000;85.3500000;84.8800000;85.3500000;15430
20130228;000000;85.5400000;85.5400000;85.0000000;85.1000000;5650
20130301;000000;85.1500000;87.8900000;85.0000000;87.8900000;7670
20130304;000000;87.1500000;87.2000000;85.9900000;86.2500000;14660
20130305;000000;86.3700000;86.4500000;86.0000000;86.4500000;2940
20130306;000000;86.1600000;87.0300000;86.1600000;87.0300000;3010
20130307;000000;86.2300000;86.6500000;86.0000000;86.5100000;3180
20130311;000000;87.0000000;87.4800000;87.0000000;87.3000000;350
20130312;000000;86.9300000;87.0000000;86.9300000;86.9300000;3620
20130313;000000;86.6100000;87.3400000;86.6000000;87.3400000;1930
20130314;000000;86.8900000;88.9700000;86.8900000;87.5000000;2730
20130315;000000;87.3800000;88.0000000;87.3000000;87.9900000;350
20130318;000000;87.9900000;87.9900000;86.0200000;87.2000000;12420
20130319;000000;87.0100000;87.1800000;87.0000000;87.0000000;32320
20130320;000000;87.0100000;93.0000000;87.0000000;92.8000000;44760
20130321;000000;89.9000000;97.3400000;89.9000000;95.7100000;33430
20130322;000000;97.2500000;97.2500000;95.7000000;95.7100000;10170
20130325;000000;95.2600000;95.5700000;95.2500000;95.2500000;18190
20130326;000000;95.9500000;95.9500000;88.6600000;95.5100000;26890
20130327;000000;95.5100000;95.5100000;95.5000000;95.5000000;5140
