<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;0.1990000;0.1990000;0.1961100;0.1961100;30000
20130110;000000;0.1999400;0.1999700;0.1999000;0.1999500;120000
20130111;000000;0.1999600;0.1999600;0.1958400;0.1958400;290000
20130114;000000;0.1970100;0.1970100;0.1920000;0.1969800;2090000
20130115;000000;0.2000000;0.2000000;0.2000000;0.2000000;10000
20130117;000000;0.2099900;0.2099900;0.1935800;0.2028500;780000
20130118;000000;0.1950100;0.1950100;0.1950000;0.1950000;20000
20130121;000000;0.1950400;0.2000000;0.1950400;0.2000000;40000
20130122;000000;0.1960000;0.1960000;0.1960000;0.1960000;10000
20130124;000000;0.1956000;0.1956000;0.1956000;0.1956000;10000
20130128;000000;0.1950300;0.2097000;0.1884100;0.2097000;2090000
20130131;000000;0.2087800;0.2088800;0.2025500;0.2079700;2500000
20130201;000000;0.1988700;0.1988700;0.1988700;0.1988700;30000
20130204;000000;0.2079500;0.2100000;0.2032900;0.2032900;520000
20130206;000000;0.2001500;0.2001500;0.2000000;0.2000000;150000
20130207;000000;0.2097800;0.2097800;0.2097800;0.2097800;10000
20130213;000000;0.1999200;0.2072400;0.1938000;0.2072400;490000
20130214;000000;0.1950700;0.1951200;0.1950700;0.1951200;40000
20130215;000000;0.1950300;0.1950300;0.1950000;0.1950000;220000
20130220;000000;0.1955000;0.2032300;0.1955000;0.2032300;20000
20130225;000000;0.1911600;0.1999400;0.1899800;0.1999400;1040000
20130226;000000;0.1900000;0.1900100;0.1850000;0.1867700;1520000
20130227;000000;0.1880000;0.1880000;0.1880000;0.1880000;10000
20130228;000000;0.1880000;0.1979900;0.1880000;0.1979900;250000
20130304;000000;0.1900100;0.1900100;0.1801100;0.1899000;380000
20130306;000000;0.1700000;0.1834700;0.1700000;0.1834700;780000
20130307;000000;0.1839600;0.1839600;0.1839600;0.1839600;10000
20130311;000000;0.1839600;0.1839600;0.1820000;0.1820000;510000
20130312;000000;0.1800000;0.1800000;0.1800000;0.1800000;300000
20130313;000000;0.1819900;0.1819900;0.1819900;0.1819900;10000
20130314;000000;0.1819800;0.1819800;0.1740300;0.1740300;20000
20130318;000000;0.1750000;0.1818500;0.1720200;0.1800000;70000
20130319;000000;0.1750100;0.1818900;0.1750000;0.1750000;370000
20130320;000000;0.1770000;0.1770000;0.1700200;0.1700200;520000
20130322;000000;0.1700400;0.1700400;0.1700000;0.1700000;70000
20130325;000000;0.1626100;0.1817700;0.1626000;0.1817700;230000
20130326;000000;0.1600100;0.1696300;0.1400000;0.1696300;840000
20130327;000000;0.1690000;0.1699800;0.1350000;0.1699800;1300000
20130328;000000;0.1690000;0.1690000;0.1406200;0.1655000;2120000
20130329;000000;0.1573100;0.1573100;0.1573100;0.1573100;20000
20130401;000000;0.1649900;0.1650000;0.1649900;0.1650000;540000
20130402;000000;0.1465800;0.1639900;0.1465800;0.1639900;50000
20130403;000000;0.1620000;0.1620000;0.1620000;0.1620000;500000
20130408;000000;0.1500500;0.1550000;0.1500500;0.1550000;100000
20130409;000000;0.1639900;0.1799500;0.1639900;0.1799500;150000
20130410;000000;0.1799600;0.1799600;0.1799600;0.1799600;10000
20130411;000000;0.1600400;0.1610700;0.1600400;0.1610000;270000
20130412;000000;0.1720000;0.1720000;0.1699700;0.1699700;270000
20130415;000000;0.1512300;0.1679800;0.1400100;0.1440300;1580000
20130416;000000;0.1629500;0.1819000;0.1603400;0.1680000;1040000
20130417;000000;0.1650700;0.1650700;0.1240000;0.1320000;3580000
20130418;000000;0.1300100;0.1300100;0.1300000;0.1300000;30000
20130419;000000;0.1347800;0.1349900;0.1347800;0.1349900;30000
20130422;000000;0.1300100;0.1300100;0.1140000;0.1290000;980000
20130423;000000;0.1355500;0.1390000;0.1355500;0.1390000;30000
20130424;000000;0.1520000;0.1520000;0.1520000;0.1520000;10000
20130425;000000;0.1520000;0.1520000;0.1520000;0.1520000;20000
20130506;000000;0.1541100;0.1541100;0.1541100;0.1541100;10000
20130507;000000;0.1598800;0.1598800;0.1598800;0.1598800;30000
20130508;000000;0.1694300;0.1694300;0.1453200;0.1453200;30000
20130510;000000;0.1457200;0.1457500;0.1457200;0.1457500;120000
20130517;000000;0.1210700;0.1519000;0.1210600;0.1250400;50000
20130522;000000;0.1370000;0.1370000;0.1370000;0.1370000;20000
20130528;000000;0.1330000;0.1330000;0.1011200;0.1330000;60000
20130530;000000;0.1102100;0.1299600;0.1002200;0.1299600;230000
20130531;000000;0.1199300;0.1199300;0.1199300;0.1199300;20000
20130606;000000;0.1100200;0.1100200;0.1100200;0.1100200;10000
20130611;000000;0.1200000;0.1200000;0.1200000;0.1200000;10000
20130613;000000;0.1052500;0.1259500;0.0990000;0.1259500;220000
20130620;000000;0.1199900;0.1199900;0.1199900;0.1199900;40000
20130701;000000;0.1050000;0.1155000;0.1050000;0.1155000;20000
20130705;000000;0.1140000;0.1500000;0.1140000;0.1500000;2060000
20130708;000000;0.1105800;0.1105800;0.1105800;0.1105800;10000
20130709;000000;0.1200400;0.1200400;0.1200400;0.1200400;10000
20130710;000000;0.1399400;0.1399400;0.1399400;0.1399400;10000
20130716;000000;0.1100300;0.1323000;0.1100200;0.1323000;440000
20130717;000000;0.1350000;0.1350000;0.1114700;0.1350000;3430000
20130719;000000;0.1210100;0.1225000;0.0902500;0.1225000;170000
20130722;000000;0.1100100;0.1224700;0.1100100;0.1224700;20000
20130723;000000;0.1011500;0.1189000;0.1011300;0.1189000;30000
20130724;000000;0.1189000;0.1360000;0.1189000;0.1266800;420000
20130731;000000;0.1299500;0.1299500;0.1299500;0.1299500;10000
20130805;000000;0.1074500;0.1200000;0.1074500;0.1200000;20000
20130806;000000;0.1052200;0.1052200;0.1052200;0.1052200;10000
20130807;000000;0.1167800;0.1167800;0.1052600;0.1052600;60000
20130808;000000;0.1070000;0.1070000;0.1070000;0.1070000;10000
20130809;000000;0.1052500;0.1052500;0.1050000;0.1050000;300000
20130812;000000;0.1198700;0.1198700;0.1198700;0.1198700;10000
20130813;000000;0.1050000;0.1098800;0.1049900;0.1091100;270000
20130814;000000;0.1011300;0.1011300;0.1000000;0.1010000;400000
20130819;000000;0.1009800;0.1010000;0.1009800;0.1010000;180000
20130828;000000;0.0965100;0.1104900;0.0965100;0.1104900;20000
20130904;000000;0.1099900;0.1099900;0.1099900;0.1099900;10000
20130916;000000;0.0845500;0.1109900;0.0831000;0.1099600;680000
20130919;000000;0.1089900;0.1089900;0.1089900;0.1089900;30000
20130924;000000;0.0900100;0.0999900;0.0900000;0.0999900;30000
20130925;000000;0.1109900;0.1109900;0.1109900;0.1109900;10000
20130926;000000;0.1109700;0.1109700;0.1109700;0.1109700;10000
20130927;000000;0.0903500;0.1110000;0.0903500;0.1110000;40000
20130930;000000;0.1117800;0.1117800;0.1117800;0.1117800;10000
20131001;000000;0.0904000;0.1009700;0.0904000;0.1009700;100000
20131003;000000;0.1039400;0.1039900;0.1039400;0.1039900;30000
20131004;000000;0.1048400;0.1048400;0.0903000;0.1029800;30000
20131007;000000;0.1000700;0.1000700;0.1000700;0.1000700;10000
20131008;000000;0.1057600;0.1057600;0.0890100;0.1006000;130000
20131010;000000;0.0990000;0.1099800;0.0990000;0.1080000;280000
20131011;000000;0.1109900;0.1110000;0.1109500;0.1109500;130000
20131016;000000;0.0921800;0.0921800;0.0921800;0.0921800;90000
20131017;000000;0.1049700;0.1049800;0.1049700;0.1049800;20000
20131018;000000;0.1089900;0.1089900;0.1089900;0.1089900;30000
20131025;000000;0.0920700;0.0920700;0.0920400;0.0920400;50000
20131028;000000;0.1055100;0.1055100;0.1055100;0.1055100;20000
20131029;000000;0.1000000;0.1000000;0.1000000;0.1000000;50000
20131030;000000;0.0999800;0.1000000;0.0999800;0.1000000;1000000
20131115;000000;0.0920100;0.0920100;0.0900000;0.0900000;70000
20131118;000000;0.0866100;0.0866100;0.0866100;0.0866100;10000
20131119;000000;0.0866000;0.0866000;0.0866000;0.0866000;10000
20131120;000000;0.0949900;0.1099900;0.0900000;0.1099900;2220000
20131125;000000;0.0955000;0.1099800;0.0900200;0.1099800;470000
20131129;000000;0.0959900;0.0959900;0.0959900;0.0959900;100000
20131203;000000;0.0950100;0.0950100;0.0950000;0.0950000;500000
20131204;000000;0.0950000;0.0970000;0.0950000;0.0960100;450000
20131210;000000;0.0907100;0.0907100;0.0907000;0.0907000;30000
20131217;000000;0.0900400;0.0900400;0.0900400;0.0900400;10000
20131218;000000;0.0900300;0.0940000;0.0700100;0.0940000;640000
20131219;000000;0.0830000;0.0900000;0.0830000;0.0900000;140000
20131223;000000;0.0805700;0.0990000;0.0805500;0.0990000;540000
20131224;000000;0.0890600;0.0890600;0.0888000;0.0888000;70000
