<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.1950100;0.2121000;0.1950000;0.2121000;120000
20130109;000000;0.1980000;0.2049900;0.1950000;0.2019900;210000
20130110;000000;0.2045000;0.2089700;0.1941000;0.1980000;510000
20130111;000000;0.1950000;0.1999900;0.1940000;0.1999900;320000
20130114;000000;0.1950700;0.1989700;0.1940200;0.1975000;130000
20130115;000000;0.1979900;0.2089300;0.1979900;0.2089300;160000
20130116;000000;0.1990100;0.2040000;0.1990000;0.2040000;60000
20130117;000000;0.2050000;0.2077800;0.1957600;0.2019000;1150000
20130118;000000;0.2020000;0.2020000;0.1955000;0.1985000;340000
20130121;000000;0.2000000;0.2000000;0.1960200;0.1980000;270000
20130122;000000;0.1990000;0.1990000;0.1960600;0.1965000;250000
20130123;000000;0.1963000;0.1980000;0.1960100;0.1979900;200000
20130124;000000;0.1970000;0.1989900;0.1965000;0.1983000;250000
20130125;000000;0.1975000;0.1999700;0.1965000;0.1999700;260000
20130128;000000;0.1999900;0.2000000;0.1900000;0.1960000;2750000
20130129;000000;0.1954000;0.1980000;0.1900000;0.1929100;1790000
20130130;000000;0.1974900;0.1974900;0.1920000;0.1920000;310000
20130131;000000;0.1929800;0.2080000;0.1900000;0.2043900;2280000
20130201;000000;0.1901600;0.1959900;0.1901600;0.1912000;130000
20130204;000000;0.1940000;0.1950000;0.1900000;0.1930000;1180000
20130205;000000;0.1919900;0.1929000;0.1900500;0.1929000;70000
20130206;000000;0.1900100;0.1934900;0.1900000;0.1910000;730000
20130207;000000;0.1910000;0.1910000;0.1910000;0.1910000;10000
20130208;000000;0.1898700;0.1904900;0.1861000;0.1900000;300000
20130211;000000;0.1935400;0.1935400;0.1935400;0.1935400;10000
20130212;000000;0.1890200;0.1900000;0.1860000;0.1900000;260000
20130213;000000;0.1899900;0.1900000;0.1860500;0.1900000;670000
20130215;000000;0.1880500;0.1907500;0.1800000;0.1848000;2790000
20130218;000000;0.1899000;0.1920000;0.1880000;0.1880000;300000
20130219;000000;0.1933000;0.1933000;0.1933000;0.1933000;10000
20130220;000000;0.1861600;0.1937400;0.1830500;0.1937400;270000
20130221;000000;0.1830500;0.1851400;0.1780300;0.1839000;260000
20130222;000000;0.1835000;0.1835000;0.1835000;0.1835000;10000
20130225;000000;0.1860500;0.1860500;0.1700100;0.1829900;1750000
20130226;000000;0.1799900;0.1810000;0.1750000;0.1791500;1490000
20130227;000000;0.1791300;0.1840000;0.1777700;0.1777700;240000
20130228;000000;0.1777700;0.1790000;0.1745000;0.1745000;190000
20130301;000000;0.1839900;0.1839900;0.1700000;0.1700000;570000
20130304;000000;0.1696100;0.1789600;0.1500000;0.1533000;9750000
20130305;000000;0.1580000;0.1600000;0.1551000;0.1555500;880000
20130306;000000;0.1590000;0.1590000;0.1500000;0.1557300;2480000
20130307;000000;0.1557300;0.1607900;0.1540800;0.1577000;190000
20130311;000000;0.1545000;0.1560000;0.1501600;0.1560000;260000
