<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;19.0000000;19.1860000;18.6570000;18.8500000;6900
20130109;000000;18.8740000;18.9530000;18.4970000;18.9530000;3400
20130110;000000;18.9840000;22.0000000;18.2730000;20.5990000;75100
20130111;000000;20.3990000;21.6800000;20.1500000;20.1500000;4100
20130114;000000;20.9790000;22.5000000;20.5550000;20.5550000;4000
20130115;000000;20.8990000;25.8900000;20.8990000;23.5810000;131800
20130116;000000;23.9700000;24.0000000;22.5910000;23.2840000;12500
20130117;000000;23.1010000;23.1010000;21.5030000;22.1000000;36800
20130118;000000;21.8420000;22.4450000;21.8120000;22.2900000;12900
20130121;000000;22.3490000;22.7150000;21.7120000;22.1500000;7100
20130122;000000;21.7990000;22.4860000;21.6990000;22.4860000;8100
20130123;000000;23.8000000;23.8000000;21.7890000;22.1000000;12800
20130124;000000;21.8030000;22.0510000;21.7990000;21.8000000;2300
20130125;000000;21.7020000;21.9990000;21.5000000;21.9990000;26900
20130128;000000;22.5000000;23.0000000;22.4990000;23.0000000;1200
20130130;000000;22.0000000;22.3330000;21.8000000;22.0000000;1100
20130131;000000;20.7010000;22.6000000;20.7010000;22.4800000;11200
20130201;000000;22.6200000;22.9990000;21.6010000;22.3000000;900
20130204;000000;21.1000000;22.2490000;21.1000000;22.2490000;1800
20130205;000000;22.5990000;22.6000000;22.1500000;22.1500000;400
20130206;000000;23.4950000;23.4950000;21.5000000;22.0000000;2000
20130207;000000;21.0300000;21.8000000;21.0100000;21.8000000;700
20130208;000000;21.5000000;21.5000000;21.5000000;21.5000000;500
20130211;000000;21.5010000;21.5010000;21.5010000;21.5010000;100
20130212;000000;21.4990000;21.5010000;21.4990000;21.5000000;5900
20130213;000000;21.1010000;21.2100000;17.9900000;21.1000000;17600
20130214;000000;20.5010000;21.0990000;20.5000000;21.0990000;900
20130215;000000;20.4040000;20.8000000;20.0010000;20.5000000;2500
20130218;000000;20.5100000;20.5100000;19.5100000;19.5100000;2000
20130219;000000;20.4990000;20.8990000;20.1000000;20.2360000;7800
20130220;000000;20.0050000;20.3250000;20.0000000;20.3250000;3300
20130221;000000;19.5110000;19.8000000;19.2200000;19.8000000;4300
20130222;000000;19.4000000;19.7000000;19.0800000;19.6500000;1600
20130225;000000;19.5000000;20.5000000;19.5000000;20.4900000;1000
20130226;000000;21.4900000;21.5000000;19.0000000;19.1000000;6100
20130227;000000;19.0510000;19.0510000;19.0510000;19.0510000;100
