<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0464400;0.0474800;0.0463900;0.0470000;1380000
20130109;000000;0.0474800;0.0477700;0.0460300;0.0469400;3140000
20130110;000000;0.0462500;0.0480700;0.0450200;0.0467000;4410000
20130111;000000;0.0460800;0.0472500;0.0451000;0.0469500;6120000
20130114;000000;0.0460000;0.0472900;0.0460000;0.0462500;2680000
20130115;000000;0.0468800;0.0475000;0.0461100;0.0474900;5260000
20130116;000000;0.0470000;0.0560000;0.0465900;0.0506000;21240000
20130117;000000;0.0508700;0.0508800;0.0490500;0.0497000;2150000
20130118;000000;0.0497000;0.0514600;0.0495700;0.0500400;10560000
20130121;000000;0.0499900;0.0510000;0.0492300;0.0500400;1850000
20130122;000000;0.0495500;0.0509000;0.0491100;0.0500300;2060000
20130123;000000;0.0505000;0.0507500;0.0500100;0.0505400;940000
20130124;000000;0.0505000;0.0508400;0.0497700;0.0500600;530000
20130125;000000;0.0500500;0.0504900;0.0496100;0.0503800;1570000
20130128;000000;0.0504800;0.0511700;0.0500100;0.0500100;510000
20130129;000000;0.0499900;0.0504600;0.0484800;0.0498800;4050000
20130130;000000;0.0499000;0.0510000;0.0497900;0.0497900;10700000
20130131;000000;0.0497700;0.0504800;0.0491500;0.0499900;610000
20130201;000000;0.0499900;0.0499900;0.0480000;0.0487200;6550000
20130204;000000;0.0479700;0.0484800;0.0460900;0.0464000;15110000
20130205;000000;0.0460000;0.0460000;0.0441000;0.0448900;7250000
20130206;000000;0.0448800;0.0473800;0.0441000;0.0464500;3890000
20130207;000000;0.0474400;0.0474700;0.0446000;0.0454400;2590000
20130208;000000;0.0454000;0.0454000;0.0396700;0.0414900;19630000
20130211;000000;0.0414000;0.0424200;0.0395000;0.0402500;16710000
20130212;000000;0.0391100;0.0422000;0.0391100;0.0416500;4800000
20130213;000000;0.0417400;0.0493900;0.0410500;0.0440000;39130000
20130214;000000;0.0444900;0.0459300;0.0421200;0.0424900;12740000
20130215;000000;0.0424900;0.0448500;0.0407200;0.0414600;15250000
20130218;000000;0.0410100;0.0419700;0.0405200;0.0407500;4920000
20130219;000000;0.0407500;0.0415000;0.0404500;0.0413300;1560000
20130220;000000;0.0418500;0.0470000;0.0410500;0.0434000;7270000
20130221;000000;0.0430000;0.0448300;0.0421700;0.0433200;1670000
20130222;000000;0.0439100;0.0444500;0.0426100;0.0439100;3710000
20130225;000000;0.0422500;0.0437800;0.0383300;0.0407300;27270000
20130226;000000;0.0400000;0.0404800;0.0390000;0.0404800;3750000
20130227;000000;0.0404800;0.0411500;0.0403400;0.0411500;1980000
20130228;000000;0.0411000;0.0417000;0.0407100;0.0408700;830000
20130301;000000;0.0408000;0.0410000;0.0400000;0.0400100;2530000
20130304;000000;0.0409600;0.0409600;0.0390000;0.0396000;2850000
20130305;000000;0.0396000;0.0401100;0.0390600;0.0394700;3900000
20130306;000000;0.0394000;0.0400000;0.0394000;0.0396100;2310000
20130307;000000;0.0399000;0.0399000;0.0385800;0.0393600;4350000
20130311;000000;0.0392000;0.0398900;0.0391000;0.0394000;2500000
20130312;000000;0.0394000;0.0395800;0.0385000;0.0390000;1690000
20130313;000000;0.0389900;0.0391900;0.0386000;0.0389600;640000
20130314;000000;0.0390000;0.0411400;0.0389000;0.0400000;2200000
20130315;000000;0.0400000;0.0400000;0.0388000;0.0393600;4010000
20130318;000000;0.0392900;0.0392900;0.0363000;0.0365900;8320000
