<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;17.2000000;17.2000000;16.5850000;17.1000000;88200
20130109;000000;17.2400000;17.2400000;17.2400000;17.2400000;6800
20130110;000000;17.1000000;17.5000000;17.0000000;17.3000000;240000
20130111;000000;17.2490000;17.5000000;17.2490000;17.4990000;172700
20130114;000000;17.4850000;17.4850000;17.1020000;17.3000000;110800
20130115;000000;17.0260000;17.2000000;17.0000000;17.1000000;27500
20130116;000000;17.2000000;17.4000000;17.2000000;17.3500000;9200
20130117;000000;17.3500000;17.3500000;17.1750000;17.3500000;800
20130118;000000;17.3490000;17.5000000;17.3000000;17.5000000;479200
20130121;000000;17.3610000;17.4000000;17.2240000;17.2870000;9900
20130122;000000;17.3220000;17.3530000;17.3020000;17.3020000;900
20130123;000000;17.4990000;17.4990000;17.3360000;17.3360000;52800
20130124;000000;17.3100000;17.3370000;17.2000000;17.2980000;6400
20130125;000000;17.2540000;17.5000000;17.2540000;17.5000000;3200
20130128;000000;17.4900000;17.5000000;17.4020000;17.5000000;34300
20130129;000000;17.5000000;17.5010000;17.5000000;17.5010000;7500
20130130;000000;17.4110000;17.5020000;17.4100000;17.4100000;4100
20130131;000000;17.4500000;17.4980000;17.3510000;17.4500000;21700
20130201;000000;17.3090000;17.4200000;17.2510000;17.4200000;5800
20130204;000000;17.4000000;17.4500000;17.3650000;17.4500000;186400
20130205;000000;17.3510000;17.3510000;17.2500000;17.2500000;113600
20130206;000000;17.5490000;17.5980000;17.3990000;17.4000000;209000
20130207;000000;17.4000000;17.4000000;17.3000000;17.4000000;72600
20130208;000000;17.4510000;17.7000000;17.4510000;17.7000000;2300
20130211;000000;17.7300000;17.7300000;17.7300000;17.7300000;600
20130212;000000;17.7090000;17.7500000;17.6270000;17.6270000;6000
20130213;000000;17.7250000;17.7500000;17.6000000;17.7000000;147800
20130214;000000;17.7000000;17.7000000;17.5910000;17.5910000;3900
20130215;000000;17.4010000;17.4730000;17.2020000;17.3270000;34100
20130218;000000;17.3500000;17.3600000;17.3500000;17.3600000;22000
20130219;000000;17.3650000;17.3650000;17.3650000;17.3650000;500
20130220;000000;17.4400000;17.6450000;17.4400000;17.5000000;19100
20130221;000000;17.4010000;17.4010000;17.4000000;17.4000000;4000
20130225;000000;17.3800000;17.3800000;17.3800000;17.3800000;700
20130226;000000;17.3700000;17.3710000;17.3700000;17.3700000;8200
20130227;000000;17.4290000;17.4290000;17.3000000;17.3000000;61000
20130228;000000;17.4990000;17.5100000;17.2000000;17.2000000;39400
20130301;000000;17.2980000;17.2990000;17.2980000;17.2990000;700
20130304;000000;17.2010000;17.3970000;17.2000000;17.3000000;2500
20130305;000000;17.2000000;17.2000000;17.2000000;17.2000000;100
20130306;000000;17.2000000;17.2000000;17.2000000;17.2000000;1100
20130307;000000;17.2000000;17.2180000;17.0000000;17.2180000;11900
20130311;000000;17.2000000;17.2000000;17.0000000;17.1010000;1700
20130312;000000;17.3980000;17.5000000;17.3980000;17.4000000;14000
20130314;000000;17.4470000;17.4500000;17.4290000;17.4300000;7000
20130318;000000;17.1030000;17.1480000;17.1000000;17.1480000;800
20130319;000000;17.1510000;17.1510000;17.1500000;17.1500000;1000
20130320;000000;17.1000000;17.1000000;17.1000000;17.1000000;100
20130321;000000;17.2440000;17.2460000;17.2250000;17.2250000;11700
20130322;000000;17.1550000;17.2500000;17.1500000;17.1550000;26700
20130325;000000;17.1380000;17.1380000;17.1380000;17.1380000;1000
20130326;000000;16.8030000;17.1000000;16.0220000;17.1000000;44600
20130328;000000;15.8010000;16.7170000;15.8010000;16.3010000;1000
20130329;000000;16.8990000;17.2070000;16.7210000;16.7210000;12800
20130401;000000;16.7000000;16.7000000;16.7000000;16.7000000;200
20130402;000000;16.9330000;16.9330000;16.2010000;16.8520000;41800
20130403;000000;15.0260000;16.5310000;14.6620000;16.2200000;4500
20130404;000000;16.5050000;16.5050000;16.5000000;16.5000000;200
20130405;000000;16.4500000;16.4500000;16.1510000;16.1510000;65000
20130408;000000;16.1520000;16.2990000;16.0000000;16.0250000;7100
20130409;000000;16.0000000;16.0000000;16.0000000;16.0000000;100
20130410;000000;16.0000000;17.0000000;16.0000000;16.8010000;19300
20130411;000000;16.6030000;16.6030000;16.2600000;16.2600000;49700
20130412;000000;16.3000000;16.3000000;16.3000000;16.3000000;8400
20130415;000000;16.0000000;16.0000000;16.0000000;16.0000000;5000
20130417;000000;16.1000000;16.1000000;15.6000000;15.7500000;54400
20130418;000000;16.2380000;16.2380000;16.2380000;16.2380000;200
20130419;000000;15.9300000;16.1620000;15.9300000;16.1620000;600
20130422;000000;15.8010000;15.8010000;15.8000000;15.8000000;1100
20130423;000000;15.8500000;16.7000000;15.8000000;16.5000000;386200
20130424;000000;16.5000000;16.5000000;16.4240000;16.4240000;300500
20130425;000000;16.6000000;16.6000000;16.6000000;16.6000000;2000
20130426;000000;16.3390000;16.3720000;16.3380000;16.3700000;13100
20130429;000000;16.2510000;16.5500000;16.2510000;16.5490000;2600
20130430;000000;16.4260000;16.4260000;16.4000000;16.4000000;158100
20130507;000000;16.5080000;16.5080000;16.4970000;16.5000000;71100
20130508;000000;16.2990000;16.3000000;16.2990000;16.3000000;600
20130513;000000;16.5000000;16.5000000;16.5000000;16.5000000;174200
20130514;000000;16.3060000;16.5000000;16.3050000;16.5000000;500
20130515;000000;16.5000000;16.6000000;16.5000000;16.6000000;33500
20130516;000000;16.2550000;16.6000000;16.2550000;16.6000000;46800
20130520;000000;16.3100000;16.5000000;16.3100000;16.5000000;200
20130521;000000;16.6200000;16.6200000;16.6200000;16.6200000;100
20130522;000000;16.7210000;17.0000000;16.1000000;16.9900000;411700
20130523;000000;16.6870000;16.6870000;16.6870000;16.6870000;100
20130524;000000;16.7000000;16.7000000;16.7000000;16.7000000;2900
20130527;000000;16.5500000;16.5500000;16.5500000;16.5500000;100
20130528;000000;16.7000000;16.7000000;16.6010000;16.6010000;20100
20130529;000000;16.6010000;16.7000000;16.0000000;16.7000000;7500
20130530;000000;16.7000000;16.7000000;16.6000000;16.6000000;10800
20130531;000000;16.7000000;16.7100000;16.7000000;16.7100000;53300
20130603;000000;16.7000000;16.7400000;16.7000000;16.7000000;45600
20130604;000000;16.7100000;16.7500000;16.7100000;16.7500000;24600
20130606;000000;16.0000000;16.6990000;15.9000000;16.5000000;7700
20130607;000000;16.6970000;16.7000000;16.4000000;16.5000000;26600
20130610;000000;16.5000000;16.7000000;16.5000000;16.7000000;12100
20130611;000000;16.7000000;16.7000000;16.5000000;16.5250000;213300
20130614;000000;16.5000000;16.5000000;16.0020000;16.0020000;2000
20130617;000000;16.7460000;16.7460000;16.7460000;16.7460000;2100
20130618;000000;16.4830000;16.4830000;16.4820000;16.4820000;2100
20130619;000000;16.7530000;16.7530000;16.7530000;16.7530000;600
20130620;000000;16.1250000;16.6590000;16.1010000;16.6590000;3000
20130621;000000;16.8120000;16.8970000;16.8120000;16.8970000;34500
20130624;000000;16.8970000;16.8970000;16.1010000;16.1010000;2900
20130627;000000;16.1860000;16.6000000;16.1520000;16.6000000;1400
20130702;000000;16.8680000;16.8680000;16.7000000;16.7050000;22900
20130703;000000;16.8970000;16.8970000;16.6110000;16.7000000;16000
20130705;000000;16.6960000;16.8960000;16.5000000;16.8960000;7100
20130708;000000;16.7450000;16.9490000;16.6950000;16.6950000;23000
20130710;000000;16.6950000;16.7000000;16.6950000;16.7000000;6400
20130711;000000;16.6990000;16.7000000;16.6990000;16.7000000;5000
20130712;000000;16.6910000;16.6910000;16.6910000;16.6910000;100
20130715;000000;16.5010000;16.6100000;16.5010000;16.6100000;500
20130716;000000;16.5000000;16.5000000;16.5000000;16.5000000;300
20130717;000000;16.1000000;16.4990000;16.1000000;16.1120000;3700
20130722;000000;16.4960000;16.5000000;16.4500000;16.4500000;20800
20130723;000000;16.4120000;16.4120000;16.3000000;16.3000000;2100
20130726;000000;16.4800000;16.4810000;16.4780000;16.4780000;1700
20130729;000000;16.2010000;16.2010000;16.2000000;16.2000000;800
20130730;000000;16.0030000;16.0030000;14.8500000;15.0000000;189100
20130731;000000;14.9990000;15.0000000;14.5010000;15.0000000;69100
20130801;000000;14.9990000;15.5990000;14.3130000;15.5990000;34900
20130802;000000;15.0140000;15.5980000;15.0010000;15.0010000;4300
20130806;000000;15.7000000;15.7000000;15.7000000;15.7000000;100
20130808;000000;15.1520000;15.1680000;14.8500000;15.0010000;8500
20130809;000000;15.2030000;15.4110000;15.2030000;15.4110000;1900
20130812;000000;15.1050000;15.1050000;15.1050000;15.1050000;700
20130814;000000;15.3000000;15.3000000;15.2990000;15.3000000;3200
20130815;000000;14.8560000;14.8560000;14.8560000;14.8560000;100
20130820;000000;15.3300000;15.3300000;15.1540000;15.1540000;3200
20130822;000000;15.5990000;15.9500000;15.1930000;15.2000000;1900
