<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;397.1800000;428.3900000;397.1800000;428.3900000;16500
20130109;000000;428.9900000;432.5000000;418.7500000;432.0000000;19550
20130110;000000;427.6700000;431.9500000;412.0300000;424.0000000;5600
20130111;000000;424.0000000;425.0000000;418.0000000;424.0000000;28240
20130114;000000;425.5900000;431.9800000;422.8200000;430.0000000;41000
20130115;000000;430.0000000;439.7000000;426.4700000;439.7000000;34100
20130116;000000;437.5300000;444.6800000;426.1000000;440.0100000;22310
20130117;000000;440.0100000;450.0000000;440.0100000;447.0000000;16480
20130118;000000;448.7800000;473.5000000;448.0100000;456.6100000;54480
20130121;000000;461.6000000;470.0000000;445.0300000;452.9900000;45640
20130122;000000;451.7800000;451.9800000;438.0100000;443.9800000;40670
20130123;000000;447.2900000;459.9800000;439.0000000;450.0000000;36760
20130124;000000;449.8200000;450.3400000;439.0000000;442.5000000;22590
20130125;000000;441.0000000;444.6400000;438.5000000;438.5000000;18800
20130128;000000;440.0000000;444.0000000;436.4000000;443.9700000;13070
20130129;000000;445.9800000;452.0000000;436.1500000;442.8000000;39230
20130130;000000;440.5300000;442.9600000;426.3000000;430.9700000;14190
20130131;000000;430.9700000;430.9700000;420.0000000;430.0100000;43350
20130201;000000;430.0000000;439.3800000;429.9900000;435.0000000;8030
20130204;000000;439.3800000;448.0000000;439.3500000;445.0000000;13420
20130205;000000;444.7900000;444.7900000;438.8200000;439.5100000;10100
20130206;000000;444.3600000;444.3700000;437.6400000;437.7500000;14900
20130207;000000;438.0000000;444.0000000;437.5000000;442.0000000;3650
20130208;000000;438.5200000;439.9800000;436.2200000;437.5000000;5840
20130211;000000;438.7900000;444.4900000;438.0000000;443.5000000;4340
20130212;000000;447.9400000;449.0000000;441.0100000;444.0000000;9190
20130213;000000;444.6000000;458.1800000;444.0000000;456.3000000;24120
20130214;000000;456.3000000;462.0200000;454.6400000;456.1600000;27770
20130215;000000;454.8300000;463.0000000;451.1700000;453.0000000;7760
20130218;000000;451.4600000;468.0000000;451.4600000;463.5900000;37170
20130219;000000;464.0000000;483.8800000;463.1100000;477.7400000;27140
20130220;000000;480.0000000;480.6400000;463.1200000;463.5000000;21850
20130221;000000;461.7200000;463.5000000;437.0100000;447.3000000;36400
