<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;559.8000000;559.8000000;518.6000000;559.8000000;7
20130109;000000;545.0000000;577.0000000;544.2000000;577.0000000;46
20130110;000000;555.5000000;570.0000000;532.6000000;553.7000000;169
20130111;000000;547.8000000;564.0000000;500.4000000;532.0000000;79
20130114;000000;541.4000000;555.0000000;541.4000000;553.4000000;49
20130115;000000;563.2000000;563.2000000;530.0000000;551.7000000;30
20130117;000000;530.1000000;549.5000000;530.0000000;548.6000000;49
20130118;000000;529.9000000;551.3000000;529.9000000;551.3000000;8
20130121;000000;545.0000000;545.0000000;545.0000000;545.0000000;30
20130122;000000;551.4000000;558.0000000;551.4000000;558.0000000;2
20130123;000000;540.4000000;551.4000000;530.6000000;551.4000000;79
20130124;000000;540.2000000;559.9000000;540.2000000;559.9000000;33
20130128;000000;540.4000000;559.2000000;540.3000000;559.2000000;6
20130129;000000;541.1000000;559.0000000;528.9000000;550.8000000;44
20130131;000000;530.0000000;530.0000000;530.0000000;530.0000000;1
20130201;000000;529.2000000;549.6000000;524.9000000;549.6000000;21
20130204;000000;534.9000000;550.0000000;534.9000000;539.6000000;23
20130205;000000;530.0000000;545.2000000;530.0000000;545.2000000;116
20130206;000000;537.1000000;538.9000000;529.0000000;537.0000000;104
20130207;000000;530.0000000;539.3000000;530.0000000;539.3000000;2
20130208;000000;554.9000000;554.9000000;554.9000000;554.9000000;2
20130211;000000;539.4000000;539.4000000;539.4000000;539.4000000;1
20130212;000000;528.8000000;549.6000000;522.1000000;548.3000000;23
20130213;000000;549.6000000;549.6000000;529.0000000;545.9000000;7
20130214;000000;549.3000000;549.3000000;535.0000000;535.0000000;2
20130215;000000;528.2000000;528.2000000;515.5000000;525.0000000;75
20130218;000000;517.9000000;538.6000000;517.8000000;538.6000000;5
20130219;000000;517.8000000;545.6000000;517.8000000;534.9000000;10
20130220;000000;527.8000000;548.9000000;525.0000000;531.0000000;6
20130221;000000;520.5000000;529.7000000;515.1000000;529.7000000;19
20130222;000000;551.0000000;551.0000000;519.9000000;530.0000000;8
20130225;000000;551.3000000;551.3000000;525.0000000;525.0000000;3
20130227;000000;527.6000000;536.3000000;516.0000000;516.0000000;13
20130228;000000;525.0000000;525.0000000;525.0000000;525.0000000;1
20130301;000000;515.0000000;524.8000000;515.0000000;520.0000000;9
20130305;000000;527.4000000;534.0000000;520.3000000;533.9000000;12
20130306;000000;517.0000000;543.2000000;500.1000000;527.4000000;17
20130307;000000;537.4000000;537.4000000;525.0000000;525.0000000;14
20130312;000000;516.5000000;536.0000000;497.0000000;526.8000000;11
20130313;000000;536.9000000;694.5000000;526.6000000;603.2000000;1262
20130314;000000;621.0000000;623.7000000;520.0000000;540.0000000;370
20130315;000000;521.1000000;543.8000000;520.0000000;528.0000000;247
20130318;000000;520.3000000;532.9000000;517.0000000;523.5000000;49
20130319;000000;514.0000000;521.5000000;505.1000000;521.5000000;87
20130320;000000;509.9000000;509.9000000;509.6000000;509.6000000;21
20130321;000000;504.0000000;509.6000000;470.1000000;505.5000000;255
20130322;000000;506.5000000;507.0000000;489.3000000;489.3000000;4
20130325;000000;490.0000000;505.0000000;480.0000000;505.0000000;54
20130326;000000;484.4000000;484.4000000;477.0000000;477.0000000;30
20130327;000000;477.0000000;485.3000000;470.0000000;477.9000000;21
20130328;000000;485.9000000;486.0000000;485.8000000;485.8000000;21
20130329;000000;473.0000000;485.9000000;465.0000000;485.9000000;17
20130401;000000;485.6000000;485.7000000;467.0000000;467.0000000;7
20130402;000000;480.0000000;484.0000000;479.0000000;479.9000000;7
20130403;000000;481.2000000;486.0000000;481.2000000;485.9000000;34
20130404;000000;486.0000000;489.0000000;486.0000000;489.0000000;5
20130405;000000;475.1000000;482.9000000;456.0000000;475.0000000;42
20130408;000000;480.0000000;481.0000000;456.0000000;466.0000000;20
20130409;000000;469.0000000;473.9000000;469.0000000;473.9000000;2
20130411;000000;450.0000000;469.1000000;447.1000000;461.9000000;39
20130412;000000;455.9000000;455.9000000;455.9000000;455.9000000;5
20130415;000000;444.0000000;444.4000000;435.3000000;435.3000000;33
20130416;000000;454.9000000;462.0000000;454.9000000;462.0000000;10
