<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130114;000000;660.0000000;660.0000000;660.0000000;660.0000000;30
20130115;000000;689.9000000;698.9000000;660.0000000;660.0000000;300
20130116;000000;698.8000000;725.6000000;680.0000000;690.0000000;400
20130117;000000;690.3000000;728.5000000;690.0000000;728.5000000;210
20130121;000000;700.0000000;700.0000000;700.0000000;700.0000000;10
20130123;000000;700.0000000;700.1000000;687.0000000;700.1000000;160
20130128;000000;700.0000000;700.0000000;700.0000000;700.0000000;10
20130131;000000;700.0000000;700.0000000;700.0000000;700.0000000;20
20130201;000000;700.0000000;700.0000000;700.0000000;700.0000000;10
20130204;000000;681.1000000;709.8000000;681.0000000;709.8000000;260
20130206;000000;701.0000000;722.0000000;685.0000000;721.4000000;510
20130207;000000;700.0000000;777.0000000;685.0000000;777.0000000;470
20130208;000000;749.9000000;847.0000000;733.3000000;800.0000000;200
20130212;000000;799.9000000;799.9000000;799.9000000;799.9000000;20
20130213;000000;800.1000000;838.0000000;800.0000000;805.0000000;1480
20130214;000000;805.0000000;805.0000000;802.0000000;802.0000000;550
20130215;000000;810.0000000;818.0000000;810.0000000;810.0000000;100
20130218;000000;801.1000000;840.0000000;801.1000000;840.0000000;490
20130219;000000;810.0000000;810.0000000;810.0000000;810.0000000;20
20130220;000000;810.1000000;810.1000000;780.0000000;804.8000000;550
20130221;000000;751.3000000;789.9000000;750.0000000;780.1000000;240
20130225;000000;780.1000000;780.1000000;780.0000000;780.0000000;250
20130226;000000;800.0000000;800.0000000;799.9000000;799.9000000;160
20130227;000000;800.0000000;810.0000000;800.0000000;805.5000000;300
20130301;000000;801.0000000;801.0000000;800.0000000;800.1000000;60
20130304;000000;800.1000000;800.1000000;800.0000000;800.0000000;20
20130307;000000;800.1000000;800.1000000;800.0000000;800.0000000;60
20130311;000000;785.0000000;800.0000000;785.0000000;800.0000000;330
20130312;000000;781.0000000;781.0000000;781.0000000;781.0000000;250
20130313;000000;780.0000000;781.0000000;780.0000000;781.0000000;260
20130314;000000;780.0000000;780.0000000;780.0000000;780.0000000;210
20130315;000000;814.7000000;814.7000000;799.9000000;800.0000000;190
20130318;000000;770.1000000;770.1000000;770.0000000;770.0000000;150
20130319;000000;765.0000000;819.6000000;750.0000000;800.0000000;350
20130321;000000;780.0000000;780.0000000;780.0000000;780.0000000;10
20130327;000000;750.1000000;750.1000000;750.0000000;750.0000000;170
20130402;000000;701.6000000;701.6000000;700.0000000;700.0000000;130
20130410;000000;713.0000000;730.0000000;713.0000000;730.0000000;180
20130411;000000;730.0000000;752.6000000;720.1000000;752.6000000;40
20130412;000000;730.0000000;779.8000000;700.0000000;779.8000000;210
20130415;000000;717.0000000;717.0000000;717.0000000;717.0000000;20
20130425;000000;682.1000000;682.1000000;680.0000000;680.0000000;40
20130502;000000;680.0000000;680.0000000;680.0000000;680.0000000;10
20130506;000000;650.0000000;650.0000000;650.0000000;650.0000000;50
20130515;000000;614.0000000;620.0000000;595.0000000;620.0000000;5920
20130520;000000;600.0000000;600.0000000;600.0000000;600.0000000;30
20130529;000000;601.0000000;601.0000000;601.0000000;601.0000000;10
20130603;000000;600.0000000;600.0000000;600.0000000;600.0000000;30
20130605;000000;600.0000000;600.0000000;590.0000000;599.9000000;110
20130606;000000;619.9000000;619.9000000;619.9000000;619.9000000;10
20130613;000000;600.0000000;624.9000000;560.0000000;624.9000000;1320
20130614;000000;590.0000000;590.0000000;590.0000000;590.0000000;240
20130621;000000;580.0000000;580.0000000;550.0000000;550.0000000;1200
20130701;000000;560.0000000;560.0000000;560.0000000;560.0000000;100
20130702;000000;590.0000000;590.0000000;590.0000000;590.0000000;10
20130711;000000;590.0000000;590.0000000;590.0000000;590.0000000;50
20130712;000000;600.0000000;619.9000000;600.0000000;600.0000000;790
20130715;000000;600.0000000;600.0000000;590.0000000;590.0000000;300
20130716;000000;619.9000000;619.9000000;619.9000000;619.9000000;10
20130723;000000;633.0000000;633.0000000;633.0000000;633.0000000;200
20130730;000000;541.5000000;541.5000000;541.5000000;541.5000000;10
20130731;000000;524.3000000;600.0000000;524.3000000;600.0000000;90
20130801;000000;600.0000000;612.7000000;600.0000000;612.7000000;430
20130820;000000;570.5000000;570.5000000;570.0000000;570.0000000;20
20130821;000000;589.9000000;590.0000000;589.9000000;590.0000000;20
20130904;000000;580.0000000;580.0000000;580.0000000;580.0000000;40
20130905;000000;643.0000000;643.0000000;643.0000000;643.0000000;780
20130909;000000;735.0000000;735.0000000;735.0000000;735.0000000;10
20130910;000000;610.0000000;610.0000000;600.0000000;600.0000000;140
20130917;000000;580.0000000;600.0000000;580.0000000;600.0000000;20
20130918;000000;619.8000000;619.8000000;619.8000000;619.8000000;940
20131007;000000;514.3000000;580.0000000;514.3000000;530.0000000;60
20131009;000000;512.9000000;548.9000000;508.0000000;528.9000000;180
20131010;000000;525.0000000;525.0000000;525.0000000;525.0000000;20
20131011;000000;526.5000000;527.0000000;526.5000000;527.0000000;50
20131015;000000;579.0000000;579.9000000;530.0000000;530.0000000;260
20131021;000000;510.0000000;510.0000000;450.0000000;472.9000000;960
20131022;000000;495.7000000;515.0000000;495.7000000;515.0000000;360
20131025;000000;534.7000000;550.0000000;534.7000000;550.0000000;650
20131106;000000;500.0000000;536.0000000;500.0000000;536.0000000;240
20131107;000000;504.0000000;510.0000000;500.0000000;500.0000000;120
20131108;000000;470.3000000;470.3000000;470.3000000;470.3000000;10
20131112;000000;500.0000000;500.0000000;500.0000000;500.0000000;10
20131113;000000;438.0000000;454.9000000;435.0000000;440.0000000;300
20131114;000000;451.8000000;451.8000000;451.2000000;451.2000000;40
20131115;000000;452.0000000;452.0000000;407.0000000;440.0000000;920
20131118;000000;452.0000000;470.0000000;450.1000000;465.0000000;100
20131119;000000;450.0000000;450.0000000;450.0000000;450.0000000;90
20131120;000000;459.9000000;460.0000000;459.7000000;459.7000000;140
20131125;000000;450.0000000;450.0000000;450.0000000;450.0000000;20
20131126;000000;460.0000000;460.0000000;450.0000000;460.0000000;140
20131204;000000;480.0000000;480.0000000;479.9000000;479.9000000;30
20131205;000000;480.0000000;480.0000000;480.0000000;480.0000000;10
20131206;000000;490.0000000;499.0000000;490.0000000;490.0000000;450
20131210;000000;440.5000000;440.5000000;440.5000000;440.5000000;10
20131211;000000;499.0000000;500.0000000;499.0000000;500.0000000;70
20131225;000000;500.0000000;500.0000000;499.8000000;500.0000000;430
