<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;13.0800000;13.8900000;13.0500000;13.4600000;189000
20130109;000000;13.6400000;14.4000000;13.5100000;13.9200000;1038500
20130110;000000;13.9200000;14.3300000;13.9000000;14.2200000;759800
20130111;000000;14.3400000;14.5600000;13.9100000;14.5200000;553800
20130114;000000;14.7000000;16.2000000;14.4500000;15.4400000;3016400
20130115;000000;15.7700000;15.9100000;15.3800000;15.6800000;1784600
20130116;000000;15.7000000;15.8400000;15.0600000;15.8400000;897000
20130117;000000;15.6900000;15.8200000;15.5500000;15.7100000;197600
20130118;000000;15.7500000;16.6000000;15.7000000;16.3400000;2821000
20130121;000000;16.2200000;16.8500000;15.7000000;16.6900000;1017500
20130122;000000;16.6900000;17.1800000;16.2300000;16.8000000;1555500
20130123;000000;16.7100000;16.9000000;16.5000000;16.7500000;494100
20130124;000000;16.7000000;16.7500000;16.4000000;16.7500000;455200
20130125;000000;16.7000000;16.8200000;16.4300000;16.7400000;330400
20130128;000000;16.5600000;16.7700000;16.4400000;16.7200000;555300
20130129;000000;16.7100000;16.7200000;16.1000000;16.4900000;389700
20130130;000000;16.5000000;16.5500000;15.4400000;16.0800000;1126100
20130131;000000;15.9600000;15.9600000;15.5000000;15.7700000;262100
20130201;000000;15.8900000;15.9500000;15.4100000;15.9200000;352700
20130204;000000;15.9900000;16.6800000;15.5800000;15.6900000;493600
20130205;000000;15.5100000;15.7900000;15.2000000;15.6900000;665200
20130206;000000;15.6900000;15.8800000;15.3700000;15.8800000;267100
20130207;000000;15.8800000;15.8800000;15.4100000;15.4900000;394300
20130208;000000;15.4900000;16.0000000;14.7000000;15.8500000;1126700
20130211;000000;15.8000000;16.4800000;15.6000000;16.0900000;1533800
20130212;000000;16.0900000;16.5800000;15.8000000;16.4400000;865000
20130213;000000;16.5500000;16.7800000;16.3400000;16.7100000;634500
20130214;000000;16.7500000;16.8200000;16.0000000;16.5600000;1659500
20130215;000000;16.4500000;16.4500000;15.8200000;15.8700000;680600
20130218;000000;15.9100000;16.1400000;15.2400000;16.0100000;754600
20130219;000000;16.0200000;16.0500000;15.8500000;16.0400000;103400
20130220;000000;16.2400000;16.3500000;15.6300000;16.1200000;912400
20130221;000000;15.8700000;15.8700000;15.2000000;15.4500000;157900
20130222;000000;15.4000000;15.7100000;15.4000000;15.4700000;103300
20130225;000000;15.4500000;15.6300000;15.3400000;15.6300000;100300
20130226;000000;15.4400000;15.9900000;15.4200000;15.7100000;351400
20130227;000000;15.8500000;15.8500000;15.4900000;15.6200000;77900
20130228;000000;15.7400000;15.7800000;15.4400000;15.5000000;85700
20130301;000000;15.3500000;15.4600000;14.8900000;15.4600000;300600
20130304;000000;15.3600000;15.4600000;14.9700000;15.4500000;234400
20130305;000000;15.4700000;15.5300000;15.1300000;15.4400000;131500
20130306;000000;15.3500000;15.4900000;15.1000000;15.4900000;252200
20130307;000000;15.3100000;15.5400000;15.2600000;15.5400000;128000
20130311;000000;15.6800000;17.5000000;15.2200000;16.4000000;1225300
20130312;000000;16.4700000;17.8400000;15.9500000;16.3600000;973400
20130313;000000;16.3000000;16.6700000;16.0200000;16.4000000;568900
20130314;000000;16.3500000;16.4800000;16.0100000;16.2900000;640600
20130315;000000;16.2900000;16.5500000;16.0500000;16.2200000;236500
20130318;000000;16.0500000;16.0500000;15.6400000;15.7400000;213500
20130319;000000;15.7500000;15.7800000;15.5000000;15.7800000;99300
20130320;000000;15.6000000;15.6000000;14.9800000;15.3700000;369300
20130321;000000;15.2700000;15.4300000;15.2400000;15.4100000;47300
20130322;000000;15.3300000;15.3800000;14.9000000;15.2900000;166900
20130325;000000;15.2800000;15.4200000;14.8200000;15.1800000;104300
20130326;000000;14.8600000;14.9900000;13.9100000;14.0000000;1699000
20130327;000000;14.1700000;14.1700000;13.5000000;13.7600000;237000
20130328;000000;13.6000000;14.3900000;13.6000000;14.0000000;211200
20130329;000000;13.8200000;16.4400000;13.8100000;16.2000000;690100
20130401;000000;16.0000000;16.0000000;14.9800000;15.1100000;383700
20130402;000000;15.1600000;15.1800000;14.5200000;14.6900000;185700
20130403;000000;14.8700000;14.9000000;14.3000000;14.4100000;122200
20130404;000000;14.2800000;15.2200000;14.0500000;15.2200000;143500
20130405;000000;14.7000000;14.9000000;14.4700000;14.9000000;197200
20130408;000000;14.7500000;14.9100000;14.4100000;14.5800000;88500
20130409;000000;14.8800000;15.1100000;14.3700000;14.4800000;158800
20130410;000000;14.5700000;14.5700000;14.0800000;14.5400000;170600
20130411;000000;14.4100000;14.4800000;13.8100000;14.1800000;153700
20130412;000000;13.9300000;14.5100000;13.6800000;14.5000000;374000
20130415;000000;14.0000000;14.0000000;13.4200000;13.4500000;357900
20130416;000000;13.3800000;13.6600000;13.0100000;13.0100000;268200
20130417;000000;13.0500000;13.3100000;12.1700000;12.2000000;345300
20130418;000000;12.0400000;12.3000000;11.7700000;11.8000000;353500
20130419;000000;11.9800000;12.0900000;11.5000000;11.5600000;199100
20130422;000000;11.8500000;11.8500000;11.3200000;11.4800000;223000
20130423;000000;11.4000000;12.2500000;11.2500000;12.0000000;272100
20130424;000000;12.0100000;12.8000000;11.9800000;12.5300000;260600
20130425;000000;12.6000000;12.8700000;12.2800000;12.3800000;201600
20130426;000000;12.1900000;12.4600000;12.0500000;12.4500000;157200
20130429;000000;12.3800000;12.7700000;12.1700000;12.6300000;135000
20130430;000000;12.6200000;13.0000000;12.4000000;12.9900000;251500
20130502;000000;12.7200000;12.8900000;12.5100000;12.8900000;74000
20130503;000000;12.8900000;13.0000000;12.6000000;12.8700000;105100
20130506;000000;12.9300000;13.3800000;12.8100000;13.1600000;235600
20130507;000000;13.1700000;13.3000000;13.0000000;13.1000000;96600
20130508;000000;13.1100000;13.3400000;13.0000000;13.0500000;83100
20130510;000000;13.1000000;13.6900000;12.8900000;13.0800000;104700
20130513;000000;13.0200000;13.0300000;12.6400000;12.9200000;105900
20130514;000000;12.7000000;12.9700000;12.5400000;12.6800000;168100
20130515;000000;12.6300000;12.9000000;12.3600000;12.9000000;50100
20130516;000000;12.8700000;12.8700000;12.3400000;12.5800000;61700
20130517;000000;12.6800000;12.8400000;12.4000000;12.7700000;55800
20130520;000000;12.6600000;12.9800000;12.5200000;12.6700000;121100
20130521;000000;12.6300000;12.8400000;12.4500000;12.7300000;122300
20130522;000000;12.8400000;12.8400000;12.2700000;12.6400000;119800
20130523;000000;12.2400000;12.4600000;12.2100000;12.4000000;104700
20130524;000000;12.3300000;12.6300000;12.2300000;12.3500000;87200
20130527;000000;12.5100000;12.5300000;12.3200000;12.3700000;18300
20130528;000000;12.3800000;12.5100000;12.3800000;12.4900000;25700
20130529;000000;12.5000000;12.5000000;12.2200000;12.4500000;37100
20130530;000000;12.4500000;12.4500000;12.2500000;12.2900000;19900
20130531;000000;12.2900000;12.2900000;12.0000000;12.1800000;59600
20130603;000000;12.1100000;12.1100000;11.6300000;11.9700000;61900
20130604;000000;11.9400000;12.1500000;11.6500000;11.7500000;154900
20130605;000000;11.6400000;11.7400000;11.4200000;11.4200000;102800
20130606;000000;11.4200000;11.4200000;11.0100000;11.1700000;123500
20130607;000000;11.1200000;11.4400000;11.0800000;11.4400000;44900
20130610;000000;11.7500000;11.7500000;10.9300000;11.1600000;241300
20130611;000000;11.0900000;11.1800000;10.7200000;11.0500000;208300
20130613;000000;10.6100000;10.7400000;10.3800000;10.6500000;275400
20130614;000000;10.9700000;10.9700000;10.5500000;10.7400000;165300
20130617;000000;10.9900000;10.9900000;10.5400000;10.7400000;77000
