<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130227;000000;1.9000000;2.0000000;1.9000000;1.9500000;284000
20130228;000000;2.1995000;2.2000000;1.8800000;1.9200000;274000
20130301;000000;1.8995000;1.9790000;1.7000000;1.9790000;277000
20130304;000000;1.9000000;1.9000000;1.7990000;1.8300000;282000
20130305;000000;1.8050000;1.8100000;1.7990000;1.8100000;25000
20130306;000000;1.8099000;1.8200000;1.8099000;1.8200000;55000
20130307;000000;1.8100000;1.8100000;1.7000000;1.7000000;120000
20130311;000000;1.7799000;1.7800000;1.7000000;1.7200000;155000
20130312;000000;1.7060000;1.7500000;1.7000000;1.7000000;230000
20130313;000000;1.7000000;1.7000000;1.6880000;1.6900000;265000
20130314;000000;1.6900000;1.6900000;1.6860000;1.6880000;114000
20130315;000000;1.6900000;1.6910000;1.6870000;1.6875000;113000
20130318;000000;1.6800000;1.6999000;1.6000000;1.6110000;126000
20130319;000000;1.6001000;1.6100000;1.4000000;1.6000000;952000
20130320;000000;1.6299000;1.6299000;1.5999000;1.6050000;116000
20130321;000000;1.6000000;1.6000000;1.5800000;1.6000000;301000
20130322;000000;1.6800000;1.7300000;1.6800000;1.7300000;655000
20130325;000000;1.7500000;1.7500000;1.6900000;1.6900000;186000
20130326;000000;1.6740000;1.6740000;1.6450000;1.6450000;90000
20130327;000000;1.6000000;1.6000000;1.5790000;1.5900000;252000
20130328;000000;1.6900000;1.6900000;1.5800000;1.5810000;230000
20130329;000000;1.5801000;1.5901000;1.5800000;1.5901000;208000
20130401;000000;1.5750000;1.5800000;1.5750000;1.5800000;100000
20130402;000000;1.5801000;1.5850000;1.5750000;1.5750000;171000
20130403;000000;1.5750000;1.5750000;1.5631000;1.5631000;43000
20130404;000000;1.5201000;1.5589000;1.5200000;1.5584000;143000
20130405;000000;1.5449000;1.5449000;1.4200000;1.4450000;149000
20130408;000000;1.4200000;1.4200000;1.3500000;1.3500000;166000
20130409;000000;1.3600000;1.6500000;1.3200000;1.5000000;596000
20130410;000000;1.5499000;1.5814000;1.4800000;1.5814000;290000
20130411;000000;1.5499000;1.5499000;1.5499000;1.5499000;1000
20130412;000000;1.5899000;1.5899000;1.5899000;1.5899000;1000
20130415;000000;1.5205000;1.5898000;1.5204000;1.5205000;18000
20130416;000000;1.5897000;1.5897000;1.5897000;1.5897000;1000
20130417;000000;1.5699000;1.5699000;1.5699000;1.5699000;1000
20130418;000000;1.5201000;1.5299000;1.5200000;1.5299000;40000
20130422;000000;1.5899000;1.5899000;1.5501000;1.5700000;38000
20130423;000000;1.6099000;1.6099000;1.5500000;1.5500000;44000
20130424;000000;1.5750000;1.5750000;1.5500000;1.5700000;39000
20130425;000000;1.5999000;1.7100000;1.5999000;1.7100000;124000
20130426;000000;1.7000000;1.7000000;1.7000000;1.7000000;1000
20130429;000000;1.7010000;1.7020000;1.7010000;1.7020000;505000
20130508;000000;1.7000000;1.7000000;1.4800000;1.4800000;63000
20130513;000000;1.7000000;1.7000000;1.7000000;1.7000000;1000
20130517;000000;1.7499000;1.7499000;1.7499000;1.7499000;1000
20130520;000000;1.7001000;1.7001000;1.7000000;1.7000000;13000
20130523;000000;1.7030000;1.7031000;1.4000000;1.4300000;1112000
20130524;000000;1.4699000;1.4699000;1.4699000;1.4699000;1000
20130528;000000;1.4700000;1.4700000;1.4700000;1.4700000;2000
20130529;000000;1.4101000;1.4479000;1.4100000;1.4479000;11000
20130531;000000;1.4399000;1.5996000;1.4399000;1.5996000;2000
20130604;000000;1.3801000;1.3801000;1.3801000;1.3801000;3000
20130605;000000;1.3800000;1.4444000;1.1000000;1.1199000;239000
20130606;000000;1.3132000;1.3132000;1.1500000;1.1500000;5000
20130607;000000;1.1200000;1.1299000;1.1200000;1.1299000;2000
20130610;000000;1.1500000;1.2222000;0.7000000;0.7687000;205000
20130611;000000;0.9000000;0.9819000;0.7003000;0.7030000;162000
20130613;000000;0.7000000;0.7000000;0.7000000;0.7000000;4000
20130614;000000;0.7482000;0.7482000;0.6999000;0.7000000;6000
20130617;000000;0.7617000;0.7617000;0.7000000;0.7499000;30000
20130618;000000;0.7000000;0.7000000;0.7000000;0.7000000;54000
20130619;000000;0.7000000;0.7654000;0.7000000;0.7654000;10000
20130621;000000;0.7925000;0.7925000;0.7818000;0.7818000;3000
20130624;000000;0.7997000;0.8001000;0.7997000;0.8001000;53000
20130625;000000;0.7001000;0.7498000;0.4800000;0.4800000;398000
20130626;000000;0.4900000;0.4900000;0.2990000;0.3100000;947000
20130627;000000;0.3250000;0.4300000;0.3193000;0.4300000;525000
20130628;000000;0.4700000;0.6020000;0.4000000;0.6000000;247000
20130701;000000;0.6000000;0.7927000;0.5000000;0.6100000;167000
20130702;000000;0.5139000;0.7997000;0.4113000;0.7996000;130000
20130703;000000;0.7997000;0.8900000;0.4798000;0.6000000;831000
20130704;000000;0.6200000;0.8300000;0.4605000;0.8000000;1119000
20130705;000000;0.7505000;0.8000000;0.5888000;0.5888000;906000
20130708;000000;0.5888000;0.6169000;0.5200000;0.5490000;468000
20130709;000000;0.5056000;0.5400000;0.3700000;0.4070000;1107000
20130710;000000;0.4000000;0.5488000;0.3999000;0.4999000;1457000
20130711;000000;0.5010000;0.5265000;0.4800000;0.4900000;212000
20130712;000000;0.5000000;0.5200000;0.4700000;0.4937000;272000
20130715;000000;0.4970000;0.4970000;0.4300000;0.4600000;348000
20130716;000000;0.4599000;0.4860000;0.3000000;0.4100000;3607000
20130717;000000;0.4154000;0.4300000;0.3210000;0.3900000;855000
20130718;000000;0.3515000;0.4200000;0.3307000;0.3901000;1236000
