<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130531;000000;37.2270000;37.5850000;37.2270000;37.3610000;17700
20130603;000000;37.2490000;37.5180000;37.2490000;37.3160000;21700
20130604;000000;37.4000000;37.4010000;37.2490000;37.3610000;22800
20130605;000000;37.2490000;37.4280000;37.2490000;37.3160000;19900
20130606;000000;37.5300000;38.0000000;37.0920000;37.7990000;24500
20130607;000000;37.6860000;38.1390000;37.5720000;38.1380000;40600
20130610;000000;38.2520000;38.5960000;38.0250000;38.3620000;24300
20130611;000000;38.5000000;38.5350000;38.2470000;38.4110000;26500
20130613;000000;38.4500000;38.4500000;38.4500000;38.4500000;27400
20130614;000000;38.3350000;38.5640000;37.9870000;37.9870000;28400
20130617;000000;38.1000000;38.2150000;38.1000000;38.1520000;25000
20130618;000000;38.2000000;38.2000000;37.2000000;38.1440000;27400
20130619;000000;38.2000000;38.3050000;38.0980000;38.2020000;23300
20130620;000000;38.3000000;38.3000000;38.1220000;38.1790000;17800
20130621;000000;38.2930000;38.5230000;38.1000000;38.5230000;30900
20130624;000000;38.5000000;38.8700000;38.2920000;38.8230000;23900
20130625;000000;38.9000000;38.9000000;38.6600000;38.6600000;28500
20130626;000000;38.7000000;38.7760000;38.5600000;38.7760000;31500
20130627;000000;38.8000000;38.8460000;38.7060000;38.7990000;23200
20130628;000000;38.9000000;38.9000000;38.7570000;38.7570000;16100
20130701;000000;38.8500000;38.8500000;38.8500000;38.8500000;16000
20130702;000000;38.9000000;39.0020000;33.5000000;39.0020000;19200
20130703;000000;39.0000000;39.0000000;39.0000000;39.0000000;16000
20130704;000000;39.1000000;39.1170000;38.8830000;39.1170000;16200
20130705;000000;39.2000000;39.2330000;39.0000000;39.2330000;16200
20130708;000000;39.3000000;39.3000000;39.2990000;39.2990000;16700
20130709;000000;39.3000000;40.3590000;38.9980000;38.9980000;30400
20130710;000000;39.1000000;39.1000000;39.1000000;39.1000000;16000
20130711;000000;39.2000000;39.2000000;39.2000000;39.2000000;16000
20130712;000000;39.3000000;39.3180000;34.9340000;34.9340000;217300
20130715;000000;39.0000000;39.0000000;37.0000000;37.0000000;16300
20130716;000000;36.7780000;37.3000000;36.7780000;37.2600000;20900
20130717;000000;37.3700000;37.9000000;37.3000000;37.6600000;31500
20130718;000000;37.7000000;37.9990000;37.4340000;37.9510000;27100
20130719;000000;38.0000000;38.0650000;37.7230000;38.0650000;16800
20130722;000000;38.7000000;38.8670000;37.9510000;38.8670000;14000
20130723;000000;39.0900000;39.0900000;34.9990000;38.8990000;115600
20130724;000000;39.0000000;39.1320000;38.7820000;39.1320000;16500
20130725;000000;39.0000000;39.2490000;35.0000000;38.0000000;182600
20130726;000000;38.1140000;38.2000000;35.0000000;36.8500000;91400
20130729;000000;36.9500000;36.9500000;35.0000000;36.7000000;24700
20130730;000000;36.8100000;37.4710000;36.8000000;37.4710000;15000
20130731;000000;37.5830000;37.9210000;37.2460000;37.8080000;18200
20130801;000000;37.6950000;37.7980000;37.2410000;37.2410000;18700
20130802;000000;37.3000000;37.8000000;37.1290000;37.3500000;17900
20130805;000000;37.3000000;37.5700000;37.1260000;37.5700000;17000
20130806;000000;37.6830000;37.9000000;37.2950000;37.9000000;15800
20130807;000000;37.7000000;38.0000000;37.3400000;37.7500000;22700
20130808;000000;37.8000000;37.8630000;37.0210000;37.8450000;23000
20130809;000000;37.9000000;37.9590000;37.0510000;37.9150000;17600
20130812;000000;38.0000000;38.0990000;37.5740000;38.0990000;15700
20130813;000000;38.0000000;38.2000000;37.8310000;37.8310000;14700
