<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130110;000000;0.6000000;0.6000000;0.5701000;0.5701000;100000
20130117;000000;0.6499000;0.6499000;0.6499000;0.6499000;10000
20130124;000000;0.6000000;0.6699000;0.5991000;0.5991000;50000
20130129;000000;0.6298000;0.6298000;0.6297000;0.6297000;20000
20130205;000000;0.7292000;0.7300000;0.6501000;0.6501000;180000
20130206;000000;0.6750000;0.6750000;0.6750000;0.6750000;10000
20130207;000000;0.6750000;0.6750000;0.6750000;0.6750000;120000
20130208;000000;0.6900000;0.6900000;0.6700000;0.6700000;90000
20130212;000000;0.6500000;0.6500000;0.6500000;0.6500000;20000
20130214;000000;0.6000000;0.6999000;0.5200000;0.6999000;240000
20130215;000000;0.6400000;0.6609000;0.6000000;0.6609000;80000
20130218;000000;0.6351000;0.6351000;0.6351000;0.6351000;10000
20130219;000000;0.6849000;0.6849000;0.6849000;0.6849000;10000
20130220;000000;0.6401000;0.6401000;0.6400000;0.6400000;80000
20130221;000000;0.6400000;0.6400000;0.6200000;0.6200000;30000
20130304;000000;0.8600000;0.8600000;0.8600000;0.8600000;10000
20130306;000000;0.6599000;0.6600000;0.6599000;0.6600000;110000
20130307;000000;0.6500000;0.6500000;0.6500000;0.6500000;10000
20130311;000000;0.6001000;0.6001000;0.5810000;0.5998000;110000
20130312;000000;0.6599000;0.6599000;0.6599000;0.6599000;90000
20130314;000000;0.6300000;0.6300000;0.6300000;0.6300000;10000
20130318;000000;0.6255000;0.6300000;0.6255000;0.6300000;70000
20130319;000000;0.6300000;0.6300000;0.6300000;0.6300000;10000
20130321;000000;0.6300000;0.6300000;0.6201000;0.6201000;90000
20130322;000000;0.6300000;0.6300000;0.6300000;0.6300000;30000
20130325;000000;0.6300000;0.6300000;0.6300000;0.6300000;10000
20130326;000000;0.7500000;0.7500000;0.7500000;0.7500000;560000
20130327;000000;0.7500000;0.7500000;0.7500000;0.7500000;30000
20130328;000000;0.7500000;0.7500000;0.7500000;0.7500000;100000
20130329;000000;0.8499000;0.8500000;0.8499000;0.8500000;180000
20130401;000000;0.9000000;0.9000000;0.8001000;0.8001000;150000
20130402;000000;0.8300000;0.8380000;0.8300000;0.8380000;50000
20130403;000000;0.8380000;0.8600000;0.8380000;0.8600000;180000
20130404;000000;0.8500000;0.8500000;0.8500000;0.8500000;100000
20130405;000000;0.8500000;0.8550000;0.8500000;0.8550000;660000
20130408;000000;0.8500000;0.8500000;0.8500000;0.8500000;30000
20130419;000000;0.8001000;0.8001000;0.8001000;0.8001000;10000
20130603;000000;0.8001000;0.8001000;0.8000000;0.8000000;50000
20130621;000000;0.8997000;0.8997000;0.8997000;0.8997000;10000
20130624;000000;0.8000000;0.8000000;0.8000000;0.8000000;10000
20130712;000000;0.8800000;0.9500000;0.8800000;0.9500000;80000
20130715;000000;0.9510000;0.9510000;0.9500000;0.9500000;50000
20130716;000000;0.9500000;1.0100000;0.9500000;1.0100000;400000
20130718;000000;0.9500000;0.9500000;0.9500000;0.9500000;10000
20130725;000000;0.9500000;0.9501000;0.9500000;0.9500000;60000
20130807;000000;0.9000000;0.9000000;0.9000000;0.9000000;60000
20130903;000000;0.8000000;0.8000000;0.7999000;0.7999000;120000
20130910;000000;0.7500000;0.7500000;0.7400000;0.7400000;70000
20130911;000000;0.7500000;0.7500000;0.7500000;0.7500000;50000
20130912;000000;0.7250000;0.7500000;0.7250000;0.7500000;30000
20130918;000000;0.7600000;0.7600000;0.7600000;0.7600000;10000
20131010;000000;0.7800000;0.7800000;0.7800000;0.7800000;20000
20131011;000000;0.7800000;0.7800000;0.7675000;0.7800000;140000
20131029;000000;0.7997000;0.7997000;0.7997000;0.7997000;80000
20131107;000000;0.7800000;0.7800000;0.7800000;0.7800000;10000
20131108;000000;0.7800000;0.7800000;0.7800000;0.7800000;10000
