<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.9476000;0.9476000;0.9476000;0.9476000;1000
20130114;000000;0.9478000;0.9501000;0.9478000;0.9500000;71000
20130115;000000;0.9629000;0.9630000;0.9629000;0.9630000;5000
20130116;000000;0.9600000;0.9600000;0.9600000;0.9600000;6000
20130118;000000;0.9709000;0.9725000;0.9600000;0.9600000;26000
20130121;000000;0.9660000;0.9740000;0.9660000;0.9740000;2000
20130122;000000;0.9600000;0.9600000;0.9600000;0.9600000;10000
20130124;000000;0.9651000;0.9651000;0.9650000;0.9650000;39000
20130125;000000;0.9650000;0.9650000;0.9601000;0.9601000;4000
20130128;000000;0.9650000;0.9650000;0.9650000;0.9650000;15000
20130131;000000;0.9699000;0.9700000;0.9699000;0.9700000;6000
20130201;000000;0.9501000;0.9501000;0.9501000;0.9501000;49000
20130205;000000;0.9720000;0.9720000;0.9711000;0.9711000;44000
20130212;000000;0.9715000;0.9715000;0.9715000;0.9715000;2000
20130214;000000;0.9600000;0.9600000;0.9404000;0.9404000;12000
20130215;000000;0.9599000;0.9600000;0.9599000;0.9600000;18000
20130219;000000;0.9506000;0.9506000;0.9500000;0.9500000;75000
20130225;000000;0.9599000;0.9599000;0.9599000;0.9599000;3000
20130228;000000;0.9716000;0.9716000;0.9504000;0.9549000;22000
20130304;000000;0.9500000;0.9500000;0.9500000;0.9500000;101000
20130305;000000;0.9598000;0.9712000;0.9596000;0.9712000;63000
20130306;000000;0.9718000;0.9718000;0.9500000;0.9500000;2000
20130307;000000;0.9599000;0.9600000;0.9599000;0.9600000;10000
20130311;000000;0.9719000;0.9719000;0.9719000;0.9719000;113000
20130315;000000;0.9600000;0.9700000;0.9600000;0.9700000;87000
20130319;000000;0.9615000;0.9615000;0.9615000;0.9615000;1000
20130320;000000;0.9645000;0.9645000;0.9301000;0.9600000;179000
20130321;000000;0.9600000;0.9600000;0.9599000;0.9600000;66000
20130322;000000;0.9600000;0.9600000;0.9600000;0.9600000;135000
20130325;000000;0.9700000;1.0500000;0.9700000;0.9951000;225000
20130326;000000;1.0500000;1.0500000;1.0500000;1.0500000;110000
20130327;000000;1.0501000;1.0501000;1.0499000;1.0500000;218000
20130328;000000;1.3000000;1.3000000;1.2900000;1.2900000;3000
20130329;000000;1.3000000;1.3000000;1.0210000;1.1298000;27000
20130401;000000;1.0499000;1.1900000;1.0499000;1.1000000;14000
20130402;000000;1.0001000;1.0500000;1.0000000;1.0500000;15000
20130403;000000;1.0250000;1.0250000;0.9601000;0.9601000;3000
20130404;000000;1.0400000;1.0400000;1.0400000;1.0400000;1000
