<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.7459000;0.7590000;0.7370000;0.7407000;759359000
20130109;000000;0.7400000;0.7460000;0.7371000;0.7387000;360066000
20130110;000000;0.7418000;0.7430000;0.7389000;0.7389000;287608000
20130111;000000;0.7404000;0.7505000;0.7392000;0.7478000;615304000
20130114;000000;0.7485000;0.7705000;0.7485000;0.7652000;1025214000
20130115;000000;0.7680000;0.7680000;0.7609000;0.7647000;580257000
20130116;000000;0.7648000;0.7887000;0.7613000;0.7866000;1513597000
20130117;000000;0.7860000;0.7966000;0.7805000;0.7868000;685815000
20130118;000000;0.7900000;0.8005000;0.7867000;0.7880000;920941000
20130121;000000;0.7870000;0.7870000;0.7702000;0.7840000;292419000
20130122;000000;0.7850000;0.7894000;0.7670000;0.7724000;527289000
20130123;000000;0.7755000;0.7850000;0.7723000;0.7818000;473489000
20130124;000000;0.7803000;0.7897000;0.7702000;0.7813000;408699000
20130125;000000;0.7813000;0.7865000;0.7744000;0.7830000;282481000
20130128;000000;0.7842000;0.7952000;0.7842000;0.7919000;527186000
20130129;000000;0.7919000;0.8075000;0.7900000;0.7920000;1130276000
20130130;000000;0.7947000;0.8010000;0.7740000;0.7767000;940001000
20130131;000000;0.7767000;0.7839000;0.7533000;0.7553000;1542622000
20130201;000000;0.7553000;0.7615000;0.7485000;0.7500000;743232000
20130204;000000;0.7545000;0.7550000;0.7318000;0.7330000;1031023000
20130205;000000;0.7328000;0.7400000;0.7272000;0.7397000;528637000
20130206;000000;0.7420000;0.7469000;0.7328000;0.7337000;426674000
20130207;000000;0.7355000;0.7400000;0.7310000;0.7324000;308828000
20130208;000000;0.7329000;0.7364000;0.7151000;0.7190000;805177000
20130211;000000;0.7200000;0.7237000;0.7132000;0.7153000;296480000
20130212;000000;0.7152000;0.7168000;0.7089000;0.7145000;578448000
20130213;000000;0.7185000;0.7356000;0.7160000;0.7355000;811221000
20130214;000000;0.7299000;0.7450000;0.7212000;0.7230000;891632000
20130215;000000;0.7233000;0.7265000;0.7112000;0.7137000;486015000
20130218;000000;0.7110000;0.7130000;0.6955000;0.7008000;840604000
20130219;000000;0.7008000;0.7092000;0.6975000;0.7058000;438302000
20130220;000000;0.7080000;0.7100000;0.6992000;0.6995000;269726000
20130221;000000;0.6920000;0.6943000;0.6870000;0.6896000;494051000
20130222;000000;0.6918000;0.6988000;0.6910000;0.6972000;337979000
20130225;000000;0.6990000;0.6999000;0.6893000;0.6940000;366409000
20130226;000000;0.6848000;0.6945000;0.6810000;0.6935000;398918000
20130227;000000;0.6949000;0.6963000;0.6881000;0.6926000;255236000
20130228;000000;0.6985000;0.6994000;0.6866000;0.6884000;291382000
20130301;000000;0.6875000;0.6884000;0.6772000;0.6802000;423494000
20130304;000000;0.6770000;0.6785000;0.6712000;0.6732000;484135000
20130305;000000;0.6766000;0.6854000;0.6736000;0.6829000;479352000
20130306;000000;0.6887000;0.6892000;0.6812000;0.6834000;263716000
20130307;000000;0.6831000;0.6850000;0.6790000;0.6850000;239538000
20130311;000000;0.6845000;0.6925000;0.6833000;0.6849000;358934000
20130312;000000;0.6845000;0.6877000;0.6770000;0.6785000;243310000
20130313;000000;0.6770000;0.6850000;0.6752000;0.6770000;463739000
20130314;000000;0.6761000;0.6788000;0.6565000;0.6648000;553455000
20130315;000000;0.6697000;0.6730000;0.6605000;0.6605000;557946000
20130318;000000;0.6497000;0.6500000;0.6301000;0.6343000;850574000
20130319;000000;0.6375000;0.6380000;0.6265000;0.6267000;363500000
20130320;000000;0.6275000;0.6439000;0.6141000;0.6210000;1268823000
20130321;000000;0.6235000;0.6334000;0.6156000;0.6296000;714806000
20130322;000000;0.6272000;0.6398000;0.6189000;0.6275000;734356000
20130325;000000;0.6347000;0.6361000;0.6130000;0.6140000;374023000
20130326;000000;0.6126000;0.6144000;0.5800000;0.5839000;1287128000
20130327;000000;0.5886000;0.6077000;0.5680000;0.6069000;1306000000
20130328;000000;0.6023000;0.6150000;0.5978000;0.6103000;788353000
20130329;000000;0.6121000;0.6193000;0.6104000;0.6136000;258396000
20130401;000000;0.6100000;0.6118000;0.5960000;0.5975000;374144000
20130402;000000;0.5974000;0.6040000;0.5907000;0.5917000;469311000
20130403;000000;0.5917000;0.5947000;0.5708000;0.5712000;555713000
20130404;000000;0.5681000;0.5734000;0.5517000;0.5608000;685329000
20130405;000000;0.5619000;0.5663000;0.5475000;0.5520000;714764000
20130408;000000;0.5531000;0.5650000;0.5355000;0.5355000;567329000
20130409;000000;0.5419000;0.5463000;0.5278000;0.5338000;825694000
20130410;000000;0.5353000;0.5500000;0.5321000;0.5372000;874248000
20130411;000000;0.5399000;0.5412000;0.5101000;0.5120000;1063862000
20130412;000000;0.5120000;0.5120000;0.4811000;0.5002000;1357980000
20130415;000000;0.4933000;0.5000000;0.4544000;0.4842000;1510007000
20130416;000000;0.4811000;0.5100000;0.4752000;0.4975000;1502619000
20130417;000000;0.5030000;0.5143000;0.4690000;0.4726000;1704277000
20130418;000000;0.4725000;0.4828000;0.4606000;0.4645000;933408000
20130419;000000;0.4700000;0.4745000;0.4457000;0.4537000;743868000
20130422;000000;0.4554000;0.4836000;0.4487000;0.4699000;1241600000
20130423;000000;0.4670000;0.4980000;0.4586000;0.4900000;1486321000
20130424;000000;0.4953000;0.5387000;0.4921000;0.5387000;2698936000
20130425;000000;0.5403000;0.5650000;0.5155000;0.5160000;2686551000
20130426;000000;0.5133000;0.5250000;0.4940000;0.5139000;2013112000
20130429;000000;0.5110000;0.5324000;0.5050000;0.5288000;1039692000
20130430;000000;0.5290000;0.5574000;0.5250000;0.5568000;1291593000
20130502;000000;0.5449000;0.5897000;0.5382000;0.5770000;1306977000
20130503;000000;0.5820000;0.5900000;0.5607000;0.5767000;1069467000
20130506;000000;0.5783000;0.6019000;0.5716000;0.5820000;1201331000
20130507;000000;0.5818000;0.5870000;0.5630000;0.5719000;1020637000
20130508;000000;0.5719000;0.5720000;0.5516000;0.5549000;1012641000
20130510;000000;0.5546000;0.5668000;0.5372000;0.5407000;510618000
20130513;000000;0.5392000;0.5392000;0.5211000;0.5320000;1073130000
20130514;000000;0.5290000;0.5550000;0.5270000;0.5432000;1225647000
20130515;000000;0.5450000;0.5588000;0.5335000;0.5468000;891325000
20130516;000000;0.5469000;0.5517000;0.5117000;0.5148000;874081000
20130517;000000;0.5169000;0.5356000;0.5031000;0.5326000;855203000
20130520;000000;0.5403000;0.5479000;0.5260000;0.5410000;669050000
20130521;000000;0.5415000;0.5508000;0.5325000;0.5474000;877567000
20130522;000000;0.5475000;0.5620000;0.5450000;0.5539000;1197417000
20130523;000000;0.5423000;0.5454000;0.5271000;0.5285000;1096212000
20130524;000000;0.5280000;0.5340000;0.5187000;0.5259000;657641000
20130527;000000;0.5300000;0.5336000;0.5161000;0.5229000;504410000
