<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0253000;0.0253300;0.0249900;0.0252200;3248200000
20130109;000000;0.0252000;0.0253000;0.0250600;0.0252500;2178300000
20130110;000000;0.0252700;0.0253500;0.0250100;0.0250200;2037300000
20130111;000000;0.0251400;0.0252800;0.0247700;0.0248400;5491300000
20130114;000000;0.0249000;0.0252700;0.0248900;0.0250600;4524800000
20130115;000000;0.0251600;0.0252800;0.0247300;0.0247900;6386000000
20130116;000000;0.0248800;0.0251000;0.0247500;0.0250100;4562600000
20130117;000000;0.0250500;0.0252900;0.0249700;0.0250600;4528400000
20130118;000000;0.0252500;0.0257400;0.0251700;0.0255300;9101800000
20130121;000000;0.0255000;0.0256500;0.0251100;0.0252200;3377900000
20130122;000000;0.0252500;0.0253800;0.0249500;0.0251200;3460200000
20130123;000000;0.0252000;0.0254300;0.0251300;0.0251700;4901700000
20130124;000000;0.0252500;0.0253400;0.0250500;0.0251000;4043000000
20130125;000000;0.0251100;0.0252800;0.0248600;0.0249500;5958500000
20130128;000000;0.0250500;0.0251200;0.0249800;0.0250500;4785400000
20130129;000000;0.0250500;0.0251700;0.0248400;0.0249000;5063000000
20130130;000000;0.0250600;0.0250800;0.0245000;0.0246000;5322000000
20130131;000000;0.0246000;0.0248000;0.0241800;0.0246300;7318700000
20130201;000000;0.0247100;0.0248500;0.0244100;0.0245400;4352300000
20130204;000000;0.0247000;0.0247800;0.0238000;0.0243500;4536400000
20130205;000000;0.0242500;0.0247700;0.0242000;0.0247200;5896100000
20130206;000000;0.0247700;0.0252800;0.0246700;0.0247800;8934300000
20130207;000000;0.0248000;0.0249900;0.0246300;0.0246400;3973200000
20130208;000000;0.0247000;0.0248800;0.0244400;0.0245100;3621800000
20130211;000000;0.0246100;0.0247900;0.0241900;0.0242900;3190500000
20130212;000000;0.0244800;0.0244800;0.0240000;0.0241000;3489400000
20130213;000000;0.0242000;0.0247000;0.0241100;0.0245500;5111500000
20130214;000000;0.0246700;0.0249000;0.0240300;0.0241600;7000000000
20130215;000000;0.0243000;0.0243900;0.0235200;0.0236200;7276800000
20130218;000000;0.0237000;0.0239700;0.0234100;0.0234800;6730500000
20130219;000000;0.0234800;0.0237700;0.0234800;0.0236900;7371700000
20130220;000000;0.0237300;0.0238500;0.0232600;0.0233200;6132500000
20130221;000000;0.0233200;0.0233200;0.0225800;0.0229100;8029200000
20130222;000000;0.0229800;0.0230800;0.0227700;0.0228000;4051600000
20130225;000000;0.0229700;0.0231000;0.0226100;0.0226500;3981500000
20130226;000000;0.0225500;0.0225500;0.0218800;0.0219000;7376500000
20130227;000000;0.0220000;0.0220800;0.0214600;0.0217900;4365300000
20130228;000000;0.0219900;0.0221000;0.0212100;0.0216000;10062100000
20130301;000000;0.0213800;0.0214800;0.0209200;0.0210400;6307200000
20130304;000000;0.0209100;0.0209400;0.0203900;0.0205000;5350700000
20130305;000000;0.0206800;0.0209400;0.0205300;0.0208400;6089800000
