<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;16.0320000;16.4010000;16.0320000;16.1910000;11600
20130109;000000;16.1910000;16.4970000;16.1210000;16.3990000;39500
20130110;000000;16.3010000;16.5000000;16.3000000;16.3210000;51800
20130111;000000;16.3200000;16.3200000;16.1300000;16.2790000;104100
20130114;000000;16.1220000;16.3990000;16.1200000;16.2790000;80800
20130115;000000;16.6580000;16.6580000;16.0000000;16.1480000;203300
20130116;000000;16.2960000;16.5000000;16.0000000;16.3100000;140700
20130117;000000;16.2500000;16.2500000;16.0010000;16.2000000;36800
20130118;000000;16.2320000;16.2320000;16.1020000;16.2000000;7700
20130121;000000;16.2440000;16.2440000;16.0500000;16.0500000;48800
20130122;000000;16.1490000;16.1490000;15.9890000;16.0830000;24000
20130123;000000;16.1990000;16.1990000;15.9130000;16.0540000;7000
20130124;000000;16.0600000;16.0600000;15.8150000;15.8900000;25700
20130125;000000;15.9270000;15.9590000;15.8100000;15.8500000;18000
20130128;000000;15.9590000;16.4800000;15.7720000;16.4000000;77200
20130129;000000;16.2510000;17.2000000;15.7000000;16.1690000;1082000
20130130;000000;16.0800000;16.2000000;15.9000000;15.9900000;181100
20130131;000000;15.7710000;16.0950000;15.7700000;16.0950000;67800
20130201;000000;15.8910000;16.2970000;15.7800000;16.0000000;45400
20130204;000000;16.0000000;16.2950000;16.0000000;16.0000000;26700
20130205;000000;16.1730000;16.1730000;15.7800000;15.9370000;37000
20130206;000000;15.9000000;15.9580000;15.8000000;15.8640000;19300
20130207;000000;15.7800000;15.9100000;15.7800000;15.8500000;24000
20130208;000000;15.8110000;15.8110000;15.5550000;15.7300000;69600
20130211;000000;15.7700000;15.7900000;15.5010000;15.6600000;42200
20130212;000000;15.5090000;15.8000000;15.5000000;15.8000000;181800
20130213;000000;15.5530000;15.8790000;15.5530000;15.8790000;1600
20130214;000000;15.8870000;15.8870000;15.8000000;15.8000000;4500
20130215;000000;16.0000000;17.0000000;15.8000000;16.1010000;1072500
20130218;000000;16.3290000;16.3290000;16.0000000;16.2000000;162900
20130219;000000;16.1080000;16.2890000;16.0060000;16.2890000;200800
20130220;000000;16.2000000;16.2500000;16.0070000;16.1000000;38200
20130221;000000;15.8600000;16.0000000;15.8430000;15.9000000;22300
20130222;000000;15.8510000;15.9990000;15.8110000;15.9990000;38800
20130225;000000;16.0450000;16.0470000;15.9320000;15.9320000;14200
20130226;000000;15.9300000;15.9400000;15.3250000;15.3500000;94200
20130227;000000;15.4000000;15.6930000;15.4000000;15.6930000;11300
20130228;000000;15.6500000;15.8000000;15.3010000;15.4960000;76800
20130301;000000;15.3530000;15.5980000;15.3510000;15.5980000;8600
20130304;000000;15.5990000;15.5990000;15.2470000;15.2490000;9200
20130305;000000;15.2490000;15.3000000;15.2470000;15.2620000;10700
20130306;000000;15.3500000;15.6000000;15.3010000;15.4900000;37300
20130307;000000;15.4970000;15.6000000;15.4600000;15.4800000;70900
20130311;000000;15.6000000;15.6000000;15.4490000;15.4500000;118500
20130312;000000;15.3710000;15.4000000;15.3500000;15.3600000;11900
20130313;000000;15.2020000;15.2840000;14.8200000;14.8200000;97800
20130314;000000;14.9720000;14.9720000;14.6000000;14.7890000;68800
20130315;000000;15.0580000;15.0580000;14.9500000;14.9500000;1100
20130318;000000;14.8470000;14.8470000;14.1000000;14.2770000;46100
20130319;000000;13.7000000;14.2000000;13.7000000;14.1500000;12700
20130320;000000;14.0990000;14.3000000;14.0740000;14.1740000;14100
20130321;000000;14.2000000;14.2000000;14.1000000;14.1000000;19400
20130322;000000;14.0020000;14.1990000;13.6990000;13.7000000;27500
20130325;000000;13.9980000;13.9980000;13.7000000;13.7000000;7500
20130326;000000;14.4420000;14.4420000;13.3000000;13.5000000;125000
20130327;000000;13.8380000;13.8380000;13.0000000;13.1830000;6200
20130328;000000;13.0530000;13.6000000;13.0010000;13.6000000;107600
20130329;000000;13.4990000;13.5000000;13.2310000;13.4950000;13700
20130401;000000;13.4950000;13.5290000;13.4070000;13.4150000;4800
20130402;000000;13.2000000;13.3000000;13.1010000;13.2000000;53000
20130403;000000;13.1990000;13.4980000;13.0010000;13.1510000;3900
20130404;000000;13.0040000;13.0040000;12.4420000;12.9930000;78000
20130405;000000;12.9500000;12.9830000;12.7500000;12.8500000;12500
20130408;000000;12.6510000;12.9000000;12.5380000;12.7500000;39300
20130409;000000;12.7510000;12.8830000;12.5700000;12.5710000;30700
20130410;000000;12.4600000;12.5400000;12.2200000;12.3990000;50800
20130411;000000;12.5980000;12.5980000;12.1400000;12.4900000;145000
20130412;000000;12.2510000;12.2760000;11.7300000;11.9550000;43000
20130415;000000;11.9870000;11.9870000;10.7500000;10.9060000;114600
20130416;000000;11.0000000;11.0500000;10.4000000;11.0000000;34500
20130417;000000;11.6390000;11.6390000;10.4020000;10.7100000;9600
20130418;000000;11.6610000;11.6650000;10.2030000;10.6000000;64400
20130419;000000;10.6000000;10.6000000;10.0610000;10.1020000;87100
20130422;000000;10.2710000;10.5990000;10.0700000;10.0810000;13800
