<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6.0470000;6.2830000;6.0000000;6.0460000;176900
20130109;000000;6.0000000;6.0510000;5.9900000;6.0000000;54100
20130110;000000;5.9600000;6.0970000;5.9010000;5.9010000;28600
20130111;000000;6.0350000;6.0350000;5.9400000;5.9740000;30200
20130114;000000;6.0000000;6.0200000;5.9370000;6.0000000;16600
20130115;000000;6.1900000;6.1980000;5.9990000;6.1400000;35400
20130116;000000;6.1500000;6.2380000;6.1200000;6.2370000;117800
20130117;000000;6.2390000;6.4380000;6.2390000;6.4090000;333500
20130118;000000;6.4940000;6.4940000;6.3200000;6.4200000;209700
20130121;000000;6.4490000;6.6200000;6.3850000;6.4380000;71900
20130122;000000;6.3910000;6.3910000;5.9010000;6.1670000;87700
20130123;000000;6.1590000;6.3400000;6.1590000;6.2750000;10800
20130124;000000;6.2750000;6.3500000;6.1040000;6.1730000;152600
20130125;000000;6.1740000;6.2500000;6.1360000;6.2500000;91500
20130128;000000;6.2500000;6.3940000;6.2250000;6.3440000;111700
20130129;000000;6.2890000;6.4760000;6.2890000;6.3220000;153800
20130130;000000;6.3220000;6.4000000;6.1610000;6.2120000;145300
20130131;000000;6.2110000;6.2120000;6.1000000;6.1000000;116100
20130201;000000;6.1250000;6.2500000;6.1000000;6.1350000;70100
20130204;000000;6.1500000;6.3980000;6.1500000;6.1710000;36300
20130205;000000;6.1500000;6.3410000;6.1500000;6.3410000;29900
20130206;000000;6.3400000;6.4800000;6.3330000;6.3700000;211300
20130207;000000;6.3410000;6.4000000;6.3000000;6.3600000;104100
20130208;000000;6.3820000;6.5730000;6.3330000;6.4090000;295100
20130211;000000;6.3070000;6.4400000;6.2040000;6.3040000;59500
20130212;000000;6.3010000;6.3930000;6.2310000;6.3330000;70300
20130213;000000;6.3000000;6.4300000;6.2790000;6.3690000;9400
20130214;000000;6.3050000;6.3980000;6.3000000;6.3500000;78500
20130215;000000;6.0720000;6.3890000;6.0720000;6.2330000;95200
20130218;000000;6.1010000;6.2150000;6.1010000;6.2150000;39700
20130219;000000;6.1950000;6.4800000;6.1950000;6.3860000;709900
20130220;000000;6.4780000;6.4940000;6.2710000;6.3640000;131700
20130221;000000;6.2660000;6.3390000;6.1500000;6.2790000;181800
20130222;000000;6.2360000;6.3790000;6.2200000;6.3370000;1500
20130225;000000;6.2420000;6.3330000;6.2410000;6.2420000;6700
20130226;000000;6.2360000;6.2380000;6.1500000;6.1600000;66600
20130227;000000;6.1870000;6.3260000;6.1020000;6.2770000;14800
20130228;000000;6.2780000;6.3000000;6.1490000;6.1960000;10500
20130301;000000;6.1000000;6.1000000;5.8800000;5.9500000;260500
20130304;000000;6.1380000;6.1380000;5.8800000;5.8800000;108300
20130305;000000;6.0840000;6.0840000;5.9070000;6.0240000;6000
20130306;000000;5.9960000;6.1850000;5.9960000;6.1200000;110100
20130307;000000;6.1190000;6.2210000;6.1070000;6.1850000;36000
20130311;000000;6.2420000;6.2420000;6.0920000;6.1440000;58200
20130312;000000;6.1310000;6.1310000;6.0000000;6.0000000;9100
20130313;000000;6.0000000;6.0850000;6.0000000;6.0350000;16500
20130314;000000;6.0060000;6.0210000;5.9540000;6.0200000;7500
20130315;000000;6.1000000;6.1000000;5.8030000;5.8650000;160800
20130318;000000;5.8210000;5.9970000;5.7780000;5.8730000;66500
20130319;000000;5.9000000;5.9350000;5.6600000;5.8500000;73100
20130320;000000;5.9330000;5.9500000;5.8210000;5.9480000;45300
20130321;000000;5.8530000;5.9340000;5.8530000;5.9340000;4000
20130322;000000;5.8900000;5.9430000;5.8540000;5.9430000;43500
20130325;000000;5.8800000;5.8830000;5.7560000;5.7560000;13000
20130326;000000;5.7030000;5.8770000;5.5500000;5.7280000;117600
20130327;000000;5.6050000;5.8070000;5.5000000;5.6330000;92200
20130328;000000;5.8110000;5.8110000;5.6200000;5.7040000;35600
20130329;000000;5.6240000;6.4900000;5.6240000;6.4900000;286800
20130401;000000;6.2540000;6.2540000;5.9430000;6.2350000;142400
20130402;000000;6.1380000;6.2480000;5.8520000;6.0740000;46300
20130403;000000;6.0000000;6.0650000;5.7800000;5.8480000;91600
20130404;000000;5.7670000;5.8470000;5.7000000;5.8010000;97700
20130405;000000;5.8560000;5.8790000;5.7500000;5.8200000;42200
20130408;000000;5.8010000;5.8190000;5.7500000;5.8100000;93100
20130409;000000;5.8510000;5.9900000;5.6530000;5.7600000;63300
20130410;000000;5.7000000;5.8500000;5.7000000;5.8500000;13500
20130411;000000;5.7350000;5.7370000;5.6210000;5.6780000;171700
20130412;000000;5.6420000;5.6640000;5.4680000;5.5590000;57000
20130415;000000;5.4050000;5.4500000;5.0500000;5.2030000;132900
20130416;000000;5.3990000;5.3990000;5.2040000;5.2100000;31700
20130417;000000;5.3000000;5.3000000;5.0050000;5.1060000;70700
20130418;000000;5.0510000;5.3320000;5.0050000;5.2030000;25200
20130419;000000;5.1000000;5.1780000;5.0390000;5.1780000;36800
20130422;000000;5.2070000;5.3370000;5.1500000;5.3160000;71700
20130423;000000;5.3110000;5.3110000;5.2800000;5.2800000;2900
20130424;000000;5.2960000;5.3000000;5.1300000;5.2250000;291600
20130425;000000;5.2000000;5.4880000;5.2000000;5.3070000;59200
20130426;000000;5.3010000;5.3500000;5.1320000;5.3000000;21900
20130429;000000;5.3020000;5.5010000;5.2220000;5.5000000;115700
20130430;000000;5.5010000;5.5500000;5.3020000;5.5500000;104600
20130502;000000;5.6000000;5.6010000;5.5020000;5.5020000;50800
20130503;000000;5.7160000;5.7160000;5.5030000;5.6480000;13200
20130506;000000;5.7120000;5.7120000;5.5990000;5.5990000;112900
20130507;000000;5.6470000;5.6470000;5.6000000;5.6000000;600
20130508;000000;5.5900000;5.6720000;5.4310000;5.6000000;600
20130510;000000;5.6690000;5.6690000;5.4600000;5.4600000;3500
20130513;000000;5.4200000;5.4200000;5.2520000;5.2520000;62200
20130514;000000;5.3500000;5.3690000;5.3100000;5.3470000;22200
20130515;000000;5.2990000;5.2990000;5.2990000;5.2990000;2000
20130516;000000;5.2020000;5.3030000;5.2020000;5.2900000;600
20130517;000000;5.3090000;5.3430000;5.1020000;5.3430000;89400
20130520;000000;5.2820000;5.4520000;5.1550000;5.3000000;51900
20130521;000000;5.2960000;5.2970000;5.2960000;5.2970000;300
20130522;000000;5.2210000;5.2700000;5.2210000;5.2550000;38100
20130523;000000;5.1210000;5.2570000;5.1210000;5.1550000;33600
20130524;000000;5.1260000;5.2790000;5.1260000;5.1700000;107600
20130527;000000;5.1320000;5.2100000;5.1120000;5.2100000;20500
20130528;000000;5.2990000;5.3790000;5.2000000;5.3150000;29500
20130529;000000;5.4200000;5.4200000;5.1000000;5.2320000;116600
20130530;000000;5.1890000;5.2590000;5.1700000;5.2590000;3300
20130531;000000;5.1580000;5.2380000;5.0620000;5.1680000;35800
20130603;000000;5.0920000;5.2480000;5.0500000;5.1030000;55900
20130604;000000;5.1220000;5.1220000;5.1160000;5.1170000;2400
20130605;000000;5.1170000;5.2000000;5.1000000;5.1020000;42800
20130606;000000;5.0600000;5.2500000;5.0500000;5.0810000;33100
20130607;000000;5.1000000;5.1000000;5.0050000;5.0950000;251200
20130610;000000;5.1180000;5.1200000;5.1100000;5.1100000;5500
20130611;000000;5.1000000;5.1500000;5.0620000;5.0690000;39300
20130613;000000;5.0520000;5.2100000;4.8130000;4.9800000;84500
20130614;000000;4.9530000;5.0550000;4.9510000;5.0550000;37300
20130617;000000;5.0490000;5.0500000;5.0490000;5.0500000;72100
20130618;000000;5.1000000;5.1890000;5.0500000;5.0500000;9800
20130619;000000;5.1610000;5.1610000;5.1330000;5.1400000;500
20130620;000000;5.1010000;5.1620000;5.1010000;5.1620000;8000
20130621;000000;5.1120000;5.2370000;5.1120000;5.2200000;40400
20130624;000000;5.1400000;5.1400000;5.0000000;5.0960000;5300
20130625;000000;5.0790000;5.2300000;5.0700000;5.2220000;112600
20130626;000000;5.2000000;5.3000000;5.0410000;5.2990000;170500
20130627;000000;5.3880000;5.3970000;5.2430000;5.2430000;69700
20130628;000000;5.3680000;5.4960000;5.3450000;5.4500000;93800
20130701;000000;5.4930000;5.4990000;5.3220000;5.3220000;27500
20130702;000000;5.3450000;5.4160000;5.2970000;5.2970000;600
20130703;000000;5.4140000;5.4550000;5.2940000;5.4020000;41800
20130704;000000;5.5500000;5.5530000;5.4630000;5.4980000;45700
20130705;000000;5.5910000;5.5930000;5.1060000;5.3370000;109700
20130708;000000;5.3000000;5.3000000;5.2530000;5.2580000;1500
20130709;000000;5.3560000;5.3670000;5.3440000;5.3590000;700
20130710;000000;5.2500000;5.3170000;5.2210000;5.2360000;3100
20130711;000000;5.2880000;5.3940000;5.2880000;5.3890000;9500
20130712;000000;5.3990000;5.4450000;5.3990000;5.4450000;11000
20130715;000000;5.4470000;5.4470000;5.3110000;5.3110000;19500
20130716;000000;5.4400000;5.4520000;5.3450000;5.4220000;30500
20130717;000000;5.4780000;5.4800000;5.3400000;5.4200000;56900
20130718;000000;5.3710000;5.3900000;5.1690000;5.3650000;58400
20130719;000000;5.4900000;5.4900000;5.2560000;5.4140000;4700
20130722;000000;5.3500000;5.4240000;5.3500000;5.4190000;7500
20130723;000000;5.4100000;5.4930000;5.4100000;5.4650000;49400
20130724;000000;5.4530000;5.4930000;5.3120000;5.4240000;78900
20130725;000000;5.4490000;5.7970000;5.4490000;5.6440000;324200
