<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;13.9000000;13.9000000;12.7200000;13.4950000;3500
20130109;000000;13.4500000;13.4500000;12.4040000;13.1500000;49800
20130110;000000;13.0000000;13.1990000;13.0000000;13.1990000;5400
20130111;000000;13.0000000;13.6480000;13.0000000;13.6480000;11400
20130114;000000;13.7990000;13.7990000;13.2790000;13.3000000;2000
20130115;000000;13.0030000;13.2000000;13.0000000;13.2000000;18100
20130116;000000;13.0050000;13.6000000;13.0000000;13.2000000;37100
20130117;000000;13.5990000;13.6000000;13.1000000;13.4500000;7100
20130118;000000;13.4500000;13.5000000;13.3000000;13.4500000;2700
20130122;000000;13.0100000;13.3500000;13.0040000;13.3500000;800
20130123;000000;13.3750000;13.3750000;13.0500000;13.1500000;700
20130124;000000;13.2480000;13.3780000;13.0190000;13.0190000;300
20130125;000000;13.8680000;13.8680000;13.3490000;13.3500000;6300
20130128;000000;13.4980000;13.5000000;13.2020000;13.2020000;3600
20130129;000000;12.6070000;13.4780000;12.6070000;13.1970000;5600
20130130;000000;13.1980000;13.4160000;13.0000000;13.4160000;24700
20130204;000000;13.0130000;13.5980000;13.0130000;13.5980000;2200
20130205;000000;13.6400000;13.6400000;13.0010000;13.2500000;4000
20130206;000000;13.4960000;13.6980000;13.3010000;13.6980000;29200
20130207;000000;13.7150000;13.7200000;13.7150000;13.7200000;1500
20130208;000000;13.7330000;13.7330000;13.4540000;13.6990000;9100
20130211;000000;13.7510000;13.7510000;13.7510000;13.7510000;100
20130212;000000;14.1680000;14.2210000;14.1400000;14.2010000;14400
20130213;000000;14.8990000;14.8990000;14.2000000;14.2000000;7100
20130214;000000;14.0010000;14.4000000;14.0010000;14.2000000;3000
20130215;000000;14.4000000;19.0000000;14.4000000;16.9970000;132900
20130218;000000;17.4360000;18.1200000;16.2500000;16.5990000;30300
20130219;000000;17.0000000;17.5000000;15.5010000;17.5000000;16200
20130220;000000;17.6820000;17.6820000;15.6550000;16.4870000;9200
20130221;000000;15.0810000;16.4810000;15.0000000;15.0800000;3500
20130222;000000;14.7870000;15.7000000;14.7500000;15.0000000;2800
20130225;000000;14.6710000;15.2450000;14.6710000;15.2390000;500
20130226;000000;14.6710000;16.4150000;14.6710000;16.4070000;3300
20130227;000000;15.6910000;16.3990000;15.6910000;16.3970000;6000
20130228;000000;17.7690000;17.7690000;15.1190000;16.4240000;4000
20130301;000000;16.4850000;16.4850000;15.0020000;16.4840000;300
20130304;000000;14.6930000;15.0000000;14.6930000;14.8010000;600
20130305;000000;15.3300000;15.3300000;15.3300000;15.3300000;100
20130307;000000;16.6860000;16.6860000;14.7040000;15.0000000;11800
20130311;000000;15.3040000;15.5540000;15.0000000;15.5530000;18600
20130312;000000;14.8070000;18.5000000;14.8000000;18.0000000;91300
20130313;000000;17.5000000;17.9700000;16.9200000;17.9670000;9000
20130314;000000;17.0170000;17.9580000;17.0050000;17.9580000;1000
20130315;000000;17.5000000;17.9940000;17.5000000;17.9940000;300
20130318;000000;17.9180000;18.0000000;17.8980000;18.0000000;12500
20130319;000000;18.0000000;18.5000000;17.9990000;18.0000000;25900
20130320;000000;17.9990000;18.4970000;17.9990000;17.9990000;78400
20130321;000000;17.0010000;17.9960000;17.0010000;17.9960000;2100
20130326;000000;17.9860000;18.0000000;16.7000000;17.6990000;8100
20130327;000000;17.0000000;17.0000000;17.0000000;17.0000000;1100
20130328;000000;16.8000000;17.0000000;16.8000000;17.0000000;4500
20130329;000000;16.9990000;16.9990000;16.9990000;16.9990000;100
20130401;000000;16.0000000;16.5000000;16.0000000;16.5000000;1100
20130402;000000;16.4990000;17.0000000;16.4980000;16.9490000;1700
20130403;000000;16.6960000;16.6960000;16.6960000;16.6960000;1400
20130405;000000;16.6930000;16.6930000;16.6930000;16.6930000;100
20130408;000000;16.5000000;16.5000000;16.5000000;16.5000000;100
20130409;000000;15.5000000;16.4990000;15.5000000;16.4960000;4100
20130410;000000;16.4990000;16.4990000;14.7120000;15.3500000;12600
20130411;000000;16.4000000;16.4000000;14.6710000;15.2990000;3000
20130412;000000;14.6730000;14.6730000;12.5500000;13.6000000;18500
20130415;000000;13.0100000;13.5000000;12.5010000;12.5010000;1600
20130416;000000;13.3000000;13.9900000;12.7500000;13.9900000;9100
20130417;000000;12.3040000;13.2730000;11.3100000;12.2000000;15500
20130418;000000;11.5530000;12.2980000;11.5520000;12.2980000;1100
20130419;000000;12.1000000;12.2940000;12.0000000;12.0010000;2500
20130422;000000;11.9810000;12.2980000;11.9810000;12.2980000;600
20130423;000000;12.5000000;12.5000000;12.5000000;12.5000000;136600
20130424;000000;12.8850000;13.2000000;12.8850000;13.2000000;1500
20130426;000000;13.1980000;13.8720000;13.1980000;13.8720000;400
20130429;000000;12.0040000;13.0950000;12.0040000;13.0950000;3000
20130430;000000;13.4930000;13.4930000;12.0010000;13.4800000;2800
20130503;000000;13.4450000;13.4450000;13.4450000;13.4450000;100
20130506;000000;11.2010000;12.5000000;11.2010000;12.5000000;9600
20130507;000000;12.9990000;13.2240000;12.6770000;12.6770000;7500
20130510;000000;13.2180000;13.2180000;13.2180000;13.2180000;100
20130513;000000;12.0510000;12.4000000;12.0510000;12.1000000;8000
20130514;000000;12.1000000;12.4820000;12.1000000;12.1000000;2700
20130515;000000;12.4810000;12.9000000;12.4400000;12.4400000;3800
20130516;000000;12.8500000;12.9000000;12.8500000;12.9000000;1300
20130517;000000;12.1120000;12.7000000;12.1000000;12.7000000;12200
20130520;000000;12.8000000;12.9000000;12.8000000;12.9000000;4800
20130521;000000;12.5010000;12.5010000;12.2000000;12.2000000;9400
20130522;000000;12.0370000;12.6900000;11.3000000;12.6900000;9500
20130523;000000;12.1000000;12.1000000;11.5500000;12.0000000;9100
20130524;000000;12.7000000;12.7400000;11.5010000;12.0000000;4600
20130527;000000;12.1010000;12.1010000;11.9000000;11.9000000;8300
20130528;000000;12.0000000;12.0000000;12.0000000;12.0000000;8000
20130529;000000;11.5330000;11.7500000;11.5330000;11.7500000;7100
20130530;000000;11.7980000;11.7980000;11.7980000;11.7980000;200
20130531;000000;11.3900000;11.3900000;10.7520000;11.0000000;34100
20130603;000000;10.6110000;11.3800000;10.2710000;11.0000000;36800
20130604;000000;11.3850000;11.3850000;11.0000000;11.0000000;25800
20130605;000000;11.3850000;11.4000000;11.1000000;11.1000000;75800
20130606;000000;11.1400000;11.9980000;10.5090000;11.1500000;12400
20130607;000000;11.6980000;11.6980000;10.5560000;11.2990000;3600
20130610;000000;11.2480000;11.6760000;11.0230000;11.0500000;6300
20130611;000000;10.7780000;11.7990000;10.7780000;10.8800000;19600
20130613;000000;11.3000000;11.3000000;10.4000000;10.4000000;22400
20130617;000000;11.0000000;11.0000000;11.0000000;11.0000000;100
20130618;000000;11.2940000;11.5000000;11.2940000;11.5000000;30800
20130619;000000;11.3010000;11.3040000;11.3000000;11.3000000;46200
20130620;000000;12.4110000;12.4110000;12.2000000;12.2000000;200
20130621;000000;12.0010000;12.4990000;11.9990000;12.4990000;3600
20130625;000000;12.0000000;12.0000000;12.0000000;12.0000000;136800
20130626;000000;12.6000000;12.7100000;12.6000000;12.7100000;13800
20130628;000000;12.7090000;12.7500000;12.7090000;12.7500000;15000
20130701;000000;12.7100000;12.7100000;12.7100000;12.7100000;1400
20130702;000000;11.9900000;11.9900000;11.9900000;11.9900000;100
20130703;000000;12.7090000;12.7090000;12.7090000;12.7090000;100
20130704;000000;12.7770000;12.8110000;12.1360000;12.8100000;4500
20130705;000000;12.9100000;13.1100000;12.9100000;13.1100000;2700
20130708;000000;13.9990000;13.9990000;13.9990000;13.9990000;900
20130709;000000;13.9000000;13.9000000;13.9000000;13.9000000;400
20130710;000000;13.9500000;15.0000000;13.9500000;15.0000000;21300
20130711;000000;15.4100000;17.4990000;15.2400000;17.4890000;66200
20130712;000000;17.7770000;17.7770000;17.7770000;17.7770000;1000
20130716;000000;17.4440000;17.4440000;17.4440000;17.4440000;1000
20130717;000000;16.6060000;17.0000000;14.2010000;17.0000000;18900
20130718;000000;17.2220000;17.2220000;17.2220000;17.2220000;1000
20130719;000000;17.7770000;17.7770000;17.7770000;17.7770000;1000
20130724;000000;15.0030000;17.4920000;15.0010000;16.9980000;3200
20130725;000000;16.0000000;16.0000000;16.0000000;16.0000000;5500
20130726;000000;15.0190000;15.0190000;15.0090000;15.0090000;1000
20130730;000000;16.9930000;16.9940000;16.9930000;16.9940000;200
20130731;000000;16.9960000;16.9960000;16.9960000;16.9960000;3000
20130801;000000;14.8100000;16.8990000;14.8100000;16.8990000;700
20130806;000000;15.0020000;17.2480000;15.0020000;17.2480000;4100
20130807;000000;17.3990000;17.3990000;17.3990000;17.3990000;100
20130808;000000;17.1990000;17.2000000;17.1990000;17.2000000;1000
20130812;000000;16.9000000;16.9980000;15.5010000;16.9980000;3100
20130813;000000;17.2480000;17.2480000;15.8000000;15.8000000;6300
20130814;000000;16.5000000;16.5000000;16.5000000;16.5000000;20000
20130815;000000;16.7000000;16.7000000;16.0020000;16.0020000;10100
20130816;000000;16.5010000;16.5010000;16.2000000;16.5000000;72400
20130819;000000;16.0010000;17.0000000;16.0000000;17.0000000;2000
20130822;000000;16.2510000;17.0000000;16.0000000;17.0000000;8400
20130823;000000;16.7510000;18.5000000;16.7500000;18.2100000;277200
20130826;000000;18.0000000;18.0000000;18.0000000;18.0000000;200
20130827;000000;18.0000000;18.0000000;18.0000000;18.0000000;6200
20130828;000000;17.0020000;18.6250000;17.0010000;18.5000000;34800
20130904;000000;17.1710000;17.2220000;17.1710000;17.2200000;15500
20130911;000000;17.7990000;17.8010000;17.7990000;17.8000000;8700
20130918;000000;16.5000000;16.5000000;16.5000000;16.5000000;10000
20130923;000000;16.4990000;16.6990000;16.0000000;16.6990000;36500
20130925;000000;16.0000000;17.0000000;16.0000000;17.0000000;25600
20130926;000000;17.0000000;17.0000000;17.0000000;17.0000000;5000
20130927;000000;16.0020000;16.0020000;16.0010000;16.0010000;5000
20130930;000000;15.6020000;15.6020000;15.6020000;15.6020000;300
20131004;000000;15.6010000;15.6010000;15.6010000;15.6010000;200
20131007;000000;17.4990000;17.4990000;16.1050000;16.1050000;300
20131009;000000;16.0140000;16.0140000;16.0010000;16.0010000;8100
20131010;000000;16.0020000;16.5990000;16.0010000;16.0010000;2200
20131011;000000;16.5010000;17.4950000;16.5010000;17.4950000;2000
20131014;000000;17.9970000;17.9970000;17.0010000;17.0010000;1200
20131016;000000;16.1000000;16.1000000;16.0020000;16.0020000;2000
20131021;000000;16.5000000;16.5000000;16.5000000;16.5000000;1000
20131022;000000;18.0000000;18.0000000;18.0000000;18.0000000;100
20131025;000000;17.9980000;17.9980000;17.9980000;17.9980000;100
20131028;000000;17.9970000;17.9970000;15.5220000;15.5220000;200
20131030;000000;16.0030000;16.0030000;16.0000000;16.0000000;4000
20131101;000000;16.1020000;16.1020000;16.1020000;16.1020000;100
20131107;000000;17.0000000;17.0000000;15.3080000;15.3080000;2100
20131108;000000;15.1020000;16.0020000;15.1020000;16.0010000;10200
20131112;000000;16.8990000;16.8990000;16.8990000;16.8990000;300
20131113;000000;16.0000000;16.0000000;16.0000000;16.0000000;5700
20131114;000000;15.5010000;15.5010000;15.5010000;15.5010000;100
20131115;000000;16.0000000;16.0000000;15.9990000;16.0000000;11200
20131118;000000;16.0010000;16.0020000;16.0010000;16.0010000;1100
20131119;000000;16.0020000;16.0020000;16.0000000;16.0000000;11300
20131120;000000;15.7010000;16.4990000;15.7000000;16.0010000;133400
20131121;000000;15.7000000;16.9970000;15.7000000;16.9970000;106700
20131122;000000;16.0000000;16.6950000;16.0000000;16.6950000;200
20131125;000000;16.6500000;16.7000000;16.6500000;16.7000000;5000
20131126;000000;16.5000000;16.5000000;16.5000000;16.5000000;2000
20131128;000000;16.5000000;16.5000000;16.5000000;16.5000000;200
20131202;000000;16.5000000;16.5000000;16.5000000;16.5000000;100
20131205;000000;16.2000000;16.2000000;16.2000000;16.2000000;2000
20131206;000000;16.2000000;16.2000000;16.2000000;16.2000000;1200
