<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;11.7850000;11.7850000;11.0090000;11.4750000;1800
20130109;000000;11.1150000;11.2500000;11.1120000;11.2500000;3700
20130110;000000;10.7000000;11.4000000;10.7000000;11.4000000;8400
20130111;000000;11.2510000;11.4420000;11.0880000;11.4420000;21800
20130114;000000;11.4440000;11.6040000;11.2810000;11.4910000;1600
20130115;000000;11.3510000;11.3990000;11.3000000;11.3990000;1900
20130116;000000;11.5000000;11.6000000;11.3510000;11.3510000;49400
20130117;000000;11.4710000;11.5010000;11.4000000;11.4000000;1300
20130118;000000;11.3000000;11.3000000;11.3000000;11.3000000;100
20130121;000000;11.2510000;11.4980000;10.5020000;11.2000000;4400
20130122;000000;11.4000000;11.4000000;11.2000000;11.3500000;2100
20130125;000000;11.3490000;11.3500000;10.8000000;11.0000000;5400
20130128;000000;11.0120000;11.1220000;10.9500000;10.9900000;14100
20130129;000000;11.0010000;11.0010000;10.9990000;10.9990000;700
20130130;000000;10.3390000;10.9870000;10.3370000;10.9870000;400
20130204;000000;10.8070000;10.8250000;10.4260000;10.4260000;3900
20130205;000000;10.4260000;11.3300000;10.4250000;10.7000000;2600
20130206;000000;10.7000000;10.7000000;10.5010000;10.5010000;300
20130208;000000;10.4030000;10.6000000;10.0000000;10.3020000;43800
20130211;000000;10.4000000;10.6000000;10.4000000;10.5490000;2800
20130212;000000;10.6840000;11.3000000;10.6840000;11.3000000;4300
20130213;000000;11.4900000;11.5000000;10.9500000;11.0010000;43900
20130214;000000;10.8900000;11.4000000;10.0040000;10.9000000;49100
20130215;000000;11.4000000;13.6000000;11.0010000;13.4990000;194100
20130218;000000;12.8890000;13.2550000;12.0000000;13.2550000;24300
20130219;000000;13.0000000;13.8000000;12.5000000;12.8000000;71400
20130220;000000;12.0270000;12.5000000;12.0000000;12.0000000;17700
20130221;000000;12.0710000;12.0710000;11.2000000;11.7690000;17300
20130222;000000;11.7010000;11.7010000;11.7000000;11.7000000;4000
20130225;000000;12.1760000;12.9000000;12.0020000;12.0020000;1700
20130226;000000;12.8870000;12.8870000;12.8870000;12.8870000;900
20130228;000000;11.7220000;12.2000000;11.0010000;11.7190000;17200
20130301;000000;12.1490000;12.2980000;12.1490000;12.2970000;56400
20130304;000000;12.2940000;13.4830000;12.2940000;13.4830000;7600
20130305;000000;13.1500000;13.1500000;12.2100000;12.6000000;3400
20130306;000000;12.5000000;12.5000000;12.4990000;12.4990000;2600
20130307;000000;12.5500000;13.0000000;11.8800000;11.8800000;59700
20130311;000000;12.4990000;12.9980000;12.4990000;12.7980000;27200
