<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;49.1010000;49.1010000;49.1010000;49.1010000;200
20130110;000000;52.9890000;53.0000000;52.0000000;52.0000000;900
20130111;000000;49.1010000;49.1010000;49.1010000;49.1010000;100
20130115;000000;53.9990000;67.0000000;53.9990000;58.0000000;13200
20130116;000000;64.8950000;67.9990000;56.0050000;56.0050000;1700
20130117;000000;56.4000000;56.4000000;55.0140000;55.0140000;200
20130118;000000;52.0000000;59.3970000;49.1120000;59.3970000;2100
20130121;000000;55.0000000;55.0000000;55.0000000;55.0000000;200
20130122;000000;59.9190000;59.9190000;53.0000000;53.0000000;300
20130123;000000;55.9330000;55.9330000;55.9330000;55.9330000;100
20130124;000000;53.5020000;53.5020000;53.4000000;53.4000000;2000
20130128;000000;53.5220000;53.5220000;53.5220000;53.5220000;100
20130220;000000;49.1110000;49.1110000;49.1110000;49.1110000;100
20130221;000000;54.9980000;54.9980000;54.9980000;54.9980000;100
20130226;000000;54.0000000;59.0000000;54.0000000;59.0000000;3000
20130228;000000;54.0000000;54.0010000;53.9990000;54.0000000;3000
20130305;000000;54.9990000;55.0000000;54.9990000;55.0000000;2800
20130313;000000;54.3210000;54.3210000;54.3210000;54.3210000;100
20130321;000000;59.9990000;59.9990000;59.9990000;59.9990000;100
20130326;000000;50.0010000;52.0000000;50.0000000;52.0000000;2300
20130327;000000;50.0000000;50.0000000;50.0000000;50.0000000;600
20130329;000000;51.1000000;51.1000000;51.1000000;51.1000000;300
20130402;000000;53.4980000;57.0000000;53.4980000;57.0000000;2200
20130405;000000;56.5000000;59.0000000;56.5000000;59.0000000;2400
20130409;000000;50.0000000;50.0000000;50.0000000;50.0000000;200
20130411;000000;49.1120000;49.1120000;49.1120000;49.1120000;200
20130412;000000;47.0010000;50.0000000;47.0010000;50.0000000;1000
20130418;000000;50.0000000;55.0000000;50.0000000;50.0210000;5400
20130419;000000;49.1110000;56.8960000;49.1110000;56.8960000;800
20130430;000000;56.9990000;58.4120000;56.7980000;56.9000000;4500
20130514;000000;52.1750000;53.1720000;52.1750000;53.1710000;900
20130517;000000;58.7750000;59.0000000;58.7750000;59.0000000;900
20130521;000000;56.5030000;56.5040000;56.0000000;56.0000000;1200
20130522;000000;54.0010000;54.0010000;54.0010000;54.0010000;100
20130531;000000;68.9610000;68.9610000;68.9610000;68.9610000;200
20130620;000000;56.9980000;56.9980000;56.9980000;56.9980000;200
20130705;000000;74.4980000;74.5000000;74.4980000;74.5000000;26700
20130710;000000;64.5000000;64.5000000;64.4980000;64.4980000;15300
20130711;000000;52.0000000;52.0020000;52.0000000;52.0000000;41900
20130715;000000;71.9870000;71.9870000;71.9870000;71.9870000;200
20130716;000000;55.9970000;55.9970000;55.4670000;55.4670000;6000
20130717;000000;56.0000000;56.0000000;56.0000000;56.0000000;500
20130718;000000;56.0000000;65.0010000;56.0000000;65.0000000;37700
20130719;000000;56.0000000;56.0000000;56.0000000;56.0000000;37100
20130722;000000;68.9990000;75.0000000;68.9990000;73.4970000;1600
20130809;000000;70.0000000;70.0000000;60.0000000;60.0000000;11100
20130812;000000;57.0010000;57.0010000;57.0010000;57.0010000;100
20130828;000000;53.0090000;55.6440000;52.0020000;54.9990000;11100
20130829;000000;57.9990000;57.9990000;57.9990000;57.9990000;100
20130903;000000;59.9990000;59.9990000;45.0000000;51.0000000;5200
20130904;000000;57.9300000;57.9300000;57.9300000;57.9300000;200
20130912;000000;52.0010000;52.0010000;52.0010000;52.0010000;100
20130927;000000;55.0000000;55.0000000;55.0000000;55.0000000;100
20130930;000000;54.0000000;54.0000000;54.0000000;54.0000000;100
20131002;000000;50.0020000;53.4000000;50.0000000;53.4000000;500
20131015;000000;50.0010000;50.0010000;50.0010000;50.0010000;100
20131017;000000;57.5000000;57.5000000;57.5000000;57.5000000;100
20131018;000000;50.0010000;50.0010000;50.0010000;50.0010000;100
20131106;000000;56.0000000;56.0000000;56.0000000;56.0000000;200
20131107;000000;52.0000000;52.0000000;52.0000000;52.0000000;100
20131127;000000;54.9990000;54.9990000;54.9990000;54.9990000;200
20131128;000000;50.0010000;55.0000000;50.0000000;55.0000000;12700
20131226;000000;52.0020000;52.0020000;52.0020000;52.0020000;400
