<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;171.0000000;174.0000000;171.0000000;174.0000000;540
20130110;000000;173.9000000;174.0000000;173.9000000;174.0000000;130
20130111;000000;172.5000000;173.9800000;165.1600000;168.0000000;1700
20130115;000000;168.2800000;168.2800000;167.0000000;167.0000000;280
20130116;000000;171.0000000;171.3600000;171.0000000;171.3600000;20
20130117;000000;170.5600000;170.5600000;170.0000000;170.0000000;30
20130118;000000;169.6500000;171.0000000;169.5000000;171.0000000;910
20130121;000000;171.8500000;172.0000000;171.0000000;171.0000000;1430
20130123;000000;172.0000000;172.0000000;171.4600000;171.5000000;330
20130124;000000;173.0000000;174.0000000;173.0000000;173.0100000;15420
20130125;000000;170.0100000;177.9700000;170.0100000;177.9700000;8760
20130128;000000;175.0000000;175.0000000;175.0000000;175.0000000;1000
20130129;000000;176.0000000;176.0000000;173.0000000;173.0000000;1070
20130130;000000;173.7900000;174.6000000;173.0000000;174.0000000;1960
20130131;000000;174.0000000;174.2500000;173.0000000;173.0000000;5910
20130201;000000;173.9900000;176.4700000;173.9900000;174.0000000;2850
20130204;000000;173.9900000;174.3200000;172.0100000;174.0000000;2300
20130205;000000;173.9500000;173.9500000;172.6100000;172.6100000;410
20130206;000000;174.0000000;174.0000000;172.5000000;173.6900000;520
20130207;000000;174.9900000;175.0000000;174.5500000;174.5500000;2650
20130208;000000;174.4900000;174.4900000;168.0000000;168.0000000;4270
20130211;000000;167.0000000;171.5800000;161.0000000;161.3500000;14400
20130212;000000;163.9000000;163.9000000;157.0000000;160.0000000;13630
20130213;000000;160.4900000;160.4900000;154.0000000;155.0600000;2640
20130214;000000;157.0000000;160.0000000;155.0000000;158.0000000;2050
20130215;000000;154.1300000;155.0100000;151.0000000;153.0000000;5200
20130218;000000;153.9900000;153.9900000;150.0000000;150.8800000;920
20130219;000000;148.5100000;151.0000000;146.0000000;151.0000000;17160
20130220;000000;154.9800000;156.0000000;148.7000000;148.7000000;14860
20130221;000000;150.1900000;150.1900000;143.0000000;144.6200000;1270
20130222;000000;140.0800000;148.7800000;140.0500000;146.0000000;3040
20130225;000000;145.0100000;145.0100000;140.3000000;145.0000000;5040
20130226;000000;147.5000000;153.0000000;142.0100000;145.0000000;10500
20130227;000000;147.9000000;147.9000000;142.0100000;145.0000000;1010
20130228;000000;143.0000000;143.0000000;140.0000000;140.0000000;790
20130301;000000;140.0000000;140.0000000;131.1100000;134.0000000;7950
20130304;000000;133.0000000;133.5600000;128.0000000;131.0100000;7430
20130305;000000;136.2800000;142.3200000;133.6300000;134.1100000;460
20130306;000000;138.9300000;147.9700000;138.9300000;147.8500000;4320
20130307;000000;147.9900000;152.8400000;144.0000000;144.0000000;1420
20130311;000000;145.5000000;156.0000000;145.5000000;155.5700000;1860
20130312;000000;157.6900000;159.8000000;153.1100000;153.1100000;1640
20130313;000000;155.5000000;159.2000000;150.0000000;155.7900000;1960
20130314;000000;150.0100000;150.0100000;149.9400000;149.9400000;290
20130315;000000;152.9200000;152.9800000;150.0000000;152.9800000;2280
20130318;000000;149.8800000;155.0000000;146.9600000;155.0000000;3420
20130319;000000;158.9900000;159.8000000;152.0000000;155.0000000;5170
20130320;000000;155.9200000;158.8300000;154.0700000;158.8300000;2440
20130321;000000;158.9800000;170.0000000;156.5000000;170.0000000;8920
