<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130114;000000;0.0830000;0.0830000;0.0810200;0.0810200;30000
20130201;000000;0.0780400;0.0780400;0.0780000;0.0780000;40000
20130206;000000;0.0887900;0.0887900;0.0887900;0.0887900;20000
20130207;000000;0.0879300;0.0879300;0.0879300;0.0879300;10000
20130208;000000;0.0810000;0.0810000;0.0800000;0.0800000;30000
20130211;000000;0.0830000;0.0830000;0.0824900;0.0830000;60000
20130218;000000;0.0780400;0.0780400;0.0780400;0.0780400;10000
20130220;000000;0.0835000;0.0840000;0.0835000;0.0840000;200000
20130222;000000;0.0780500;0.0780500;0.0780500;0.0780500;10000
20130227;000000;0.0767000;0.0767000;0.0767000;0.0767000;10000
20130304;000000;0.0859800;0.0860000;0.0859800;0.0860000;20000
20130305;000000;0.0854800;0.0855000;0.0854800;0.0855000;20000
20130314;000000;0.0799000;0.0799000;0.0799000;0.0799000;10000
20130315;000000;0.0855000;0.0900000;0.0855000;0.0870000;210000
20130318;000000;0.0780500;0.0899800;0.0717300;0.0799800;210000
20130320;000000;0.0770000;0.0820000;0.0770000;0.0820000;120000
20130321;000000;0.0790000;0.0829900;0.0790000;0.0829900;30000
20130423;000000;0.0666600;0.0789700;0.0530200;0.0786000;110000
20130503;000000;0.0782100;0.0828200;0.0782100;0.0828200;20000
20130507;000000;0.0605900;0.0722000;0.0605000;0.0690000;70000
20130508;000000;0.0750000;0.0830000;0.0750000;0.0830000;40000
20130513;000000;0.0797000;0.0820000;0.0797000;0.0820000;40000
20130603;000000;0.0797000;0.0797700;0.0797000;0.0797700;20000
20130604;000000;0.0832800;0.0833000;0.0832800;0.0833000;20000
20130607;000000;0.0830000;0.0830000;0.0830000;0.0830000;20000
20130611;000000;0.0560000;0.0583100;0.0560000;0.0583100;770000
20130613;000000;0.0620200;0.0630000;0.0520000;0.0520000;360000
20130614;000000;0.0599900;0.0599900;0.0590000;0.0590000;90000
20130618;000000;0.0583000;0.0583000;0.0583000;0.0583000;10000
20130621;000000;0.0639500;0.0639500;0.0583000;0.0583000;30000
20130625;000000;0.0507400;0.0580000;0.0507400;0.0580000;400000
20130702;000000;0.0508000;0.0510300;0.0400000;0.0411000;6160000
20130703;000000;0.0450000;0.0486300;0.0400000;0.0400000;810000
20130704;000000;0.0399900;0.0420000;0.0398000;0.0420000;2030000
20130705;000000;0.0444600;0.0481300;0.0444600;0.0481300;40000
20130708;000000;0.0480000;0.0480000;0.0480000;0.0480000;20000
20130709;000000;0.0479700;0.0479700;0.0479700;0.0479700;10000
20130712;000000;0.0400800;0.0424400;0.0400800;0.0420100;60000
20130715;000000;0.0445000;0.0479700;0.0435000;0.0479700;180000
20130717;000000;0.0483700;0.0484100;0.0483700;0.0484000;130000
20130718;000000;0.0464600;0.0484100;0.0455000;0.0484100;90000
20130719;000000;0.0484100;0.0484100;0.0484100;0.0484100;90000
20130722;000000;0.0506800;0.0510000;0.0500000;0.0500000;120000
20130723;000000;0.0479800;0.0509900;0.0428300;0.0509900;190000
20130724;000000;0.0538900;0.0539900;0.0538900;0.0539900;140000
20130730;000000;0.0415200;0.0490000;0.0415200;0.0490000;230000
20130801;000000;0.0520000;0.0520000;0.0490000;0.0510000;70000
20130802;000000;0.0550000;0.0550000;0.0550000;0.0550000;20000
20130808;000000;0.0560000;0.0569900;0.0560000;0.0569900;40000
20130809;000000;0.0589800;0.0600000;0.0589800;0.0600000;100000
20130819;000000;0.0688800;0.0689000;0.0688800;0.0689000;110000
20130820;000000;0.0625000;0.0645000;0.0625000;0.0645000;60000
20130821;000000;0.0654200;0.0654200;0.0654200;0.0654200;10000
20131001;000000;0.0495100;0.0630000;0.0495000;0.0511600;380000
20131003;000000;0.0455800;0.0548800;0.0434700;0.0500000;150000
20131007;000000;0.0499800;0.0499800;0.0499500;0.0499700;40000
20131008;000000;0.0404300;0.0457000;0.0404300;0.0457000;20000
20131010;000000;0.0420000;0.0420000;0.0410100;0.0410100;20000
20131105;000000;0.0500100;0.0500100;0.0500000;0.0500000;60000
20131112;000000;0.0499800;0.0500000;0.0499800;0.0500000;40000
20131113;000000;0.0524900;0.0699000;0.0524900;0.0699000;30000
20131122;000000;0.0796200;0.0796200;0.0796200;0.0796200;10000
20131126;000000;0.0796200;0.0796200;0.0796200;0.0796200;30000
20131202;000000;0.0501300;0.0501300;0.0500100;0.0500100;50000
20131205;000000;0.0444600;0.0490800;0.0444600;0.0490800;70000
20131209;000000;0.0678800;0.0678800;0.0678800;0.0678800;10000
20131218;000000;0.0679800;0.0777500;0.0679800;0.0777500;110000
20131219;000000;0.0700000;0.0700000;0.0700000;0.0700000;70000
20131220;000000;0.0700000;0.0700000;0.0700000;0.0700000;80000
