<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130123;000000;28.0000000;28.0000000;28.0000000;28.0000000;1000
20130131;000000;21.0000000;21.0000000;21.0000000;21.0000000;100
20130201;000000;24.0000000;27.0000000;24.0000000;27.0000000;300
20130204;000000;30.9500000;37.1000000;30.9300000;36.8000000;1800
20130222;000000;35.0000000;35.0000000;35.0000000;35.0000000;200
20130226;000000;21.0000000;49.0000000;21.0000000;27.0000000;500
20130307;000000;17.2000000;17.2000000;17.2000000;17.2000000;100
20130311;000000;12.5000000;12.5000000;12.5000000;12.5000000;100
20130327;000000;17.5000000;17.5000000;17.5000000;17.5000000;100
20130403;000000;24.5000000;24.5000000;24.5000000;24.5000000;100
20130627;000000;10.9000000;10.9000000;10.9000000;10.9000000;100
20130731;000000;15.2600000;15.2600000;15.2600000;15.2600000;100
20130826;000000;21.3600000;21.3600000;21.3600000;21.3600000;100
20130827;000000;25.6000000;28.5000000;25.6000000;28.5000000;1300
20130904;000000;28.0000000;28.0000000;28.0000000;28.0000000;1000
20130909;000000;21.5000000;21.5000000;20.0000000;20.0000000;200
20130918;000000;25.0000000;25.5000000;25.0000000;25.5000000;200
20130919;000000;35.7300000;35.7300000;35.7300000;35.7300000;100
20130920;000000;46.1000000;46.1000000;46.1000000;46.1000000;100
20130923;000000;50.1000000;50.1000000;49.9000000;49.9000000;200
20130924;000000;35.0200000;35.0200000;35.0200000;35.0200000;100
20130925;000000;35.0400000;35.0400000;25.0000000;25.8200000;500
20130926;000000;25.0000000;25.0000000;25.0000000;25.0000000;100
20130927;000000;35.0400000;35.0400000;35.0400000;35.0400000;100
20130930;000000;36.2000000;49.9000000;36.2000000;49.9000000;1500
20131003;000000;46.0100000;46.0100000;46.0100000;46.0100000;100
20131004;000000;62.9500000;62.9900000;50.0000000;50.0000000;300
20131007;000000;50.0000000;50.0000000;50.0000000;50.0000000;100
20131011;000000;47.0000000;50.0000000;47.0000000;50.0000000;400
20131031;000000;50.0000000;50.0000000;47.0000000;50.0000000;300
20131105;000000;47.0000000;47.0000000;47.0000000;47.0000000;200
20131106;000000;50.0000000;50.0000000;50.0000000;50.0000000;200
20131108;000000;47.0000000;47.0000000;47.0000000;47.0000000;200
20131203;000000;50.0000000;50.0000000;50.0000000;50.0000000;200
20131206;000000;47.0000000;47.0000000;47.0000000;47.0000000;300
20131209;000000;53.0000000;53.0000000;50.0000000;50.0000000;300
20131210;000000;50.0000000;50.0000000;50.0000000;50.0000000;100
20131217;000000;47.0000000;47.0000000;47.0000000;47.0000000;100
20131223;000000;47.0000000;47.0000000;47.0000000;47.0000000;100
20131224;000000;50.0000000;50.0000000;50.0000000;50.0000000;200
