<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130213;000000;40.0300000;40.0300000;40.0300000;40.0300000;1000
20130226;000000;24.0200000;55.9990000;24.0200000;55.9990000;200
20130227;000000;51.0000000;69.9970000;50.9000000;69.9970000;800
20130228;000000;51.0000000;69.9980000;51.0000000;69.9980000;1000
20130305;000000;97.9970000;97.9970000;97.9970000;97.9970000;100
20130307;000000;137.1950000;137.1950000;134.9900000;134.9900000;200
20130311;000000;113.0000000;188.9860000;110.0000000;110.0000000;500
20130312;000000;66.0000000;66.0000000;66.0000000;66.0000000;200
20130322;000000;40.0100000;40.0100000;40.0100000;40.0100000;300
20130328;000000;24.0100000;51.0500000;24.0100000;51.0000000;4400
20130329;000000;51.0000000;51.0000000;51.0000000;51.0000000;400
20130401;000000;71.4000000;71.4000000;71.4000000;71.4000000;100
20130416;000000;51.3000000;51.4300000;51.3000000;51.4300000;3700
20130417;000000;51.2900000;51.4500000;51.2900000;51.4500000;2300
20130529;000000;51.2000000;51.2000000;51.1500000;51.1500000;2300
20130531;000000;51.1000000;51.1500000;51.0000000;51.1500000;6900
20130626;000000;51.1000000;51.1000000;51.1000000;51.1000000;2000
20130627;000000;51.1100000;51.1500000;31.0000000;31.0000000;4700
20130628;000000;51.2000000;51.2000000;51.2000000;51.2000000;1500
20130703;000000;70.9990000;70.9990000;70.9990000;70.9990000;100
20130712;000000;51.0900000;51.1500000;51.0900000;51.1500000;1100
20130715;000000;51.1100000;51.3000000;51.1100000;51.3000000;3300
20130722;000000;69.9990000;69.9990000;42.0000000;42.0000000;200
20130730;000000;51.1500000;51.1500000;51.1500000;51.1500000;2400
20130731;000000;51.0400000;51.0400000;51.0400000;51.0400000;100
20130808;000000;51.0400000;51.0400000;36.1000000;36.1000000;700
20130812;000000;51.1000000;51.1000000;51.0400000;51.0400000;2100
20130813;000000;51.0400000;51.0400000;51.0400000;51.0400000;600
20130814;000000;51.0400000;51.0400000;51.0400000;51.0400000;500
20130823;000000;51.0400000;51.0400000;41.0520000;41.0520000;700
20130826;000000;51.0400000;51.0400000;36.2390000;51.0400000;4900
20130827;000000;51.0400000;51.1100000;50.0060000;50.0060000;5300
20130828;000000;51.0400000;59.9990000;39.3520000;51.0400000;6600
20130830;000000;51.1000000;53.0000000;51.1000000;53.0000000;1000
20130910;000000;51.0400000;51.0400000;51.0400000;51.0400000;8000
20130911;000000;51.1000000;51.1000000;51.1000000;51.1000000;5000
20130912;000000;51.0100000;51.0100000;51.0000000;51.0000000;500
20130916;000000;51.1200000;51.1200000;51.1200000;51.1200000;3000
20130917;000000;51.0000000;51.0000000;51.0000000;51.0000000;100
20130918;000000;51.0000000;51.0000000;51.0000000;51.0000000;600
20130919;000000;51.0000000;51.0000000;50.3000000;50.3000000;2000
20130920;000000;51.0000000;51.1400000;51.0000000;51.1400000;4500
20130923;000000;50.0010000;50.0010000;50.0000000;50.0000000;1100
20130924;000000;51.0500000;51.1200000;51.0500000;51.1200000;12100
20130930;000000;51.1100000;51.1100000;51.1100000;51.1100000;1200
20131001;000000;53.0000000;53.0000000;53.0000000;53.0000000;100
20131014;000000;51.0700000;51.0700000;51.0700000;51.0700000;200
20131015;000000;51.0400000;51.0400000;51.0400000;51.0400000;200
20131021;000000;51.0400000;51.0400000;51.0400000;51.0400000;7000
20131024;000000;51.0400000;51.0400000;51.0400000;51.0400000;1000
20131025;000000;51.0400000;51.0400000;51.0400000;51.0400000;1500
20131028;000000;51.0400000;51.0400000;51.0400000;51.0400000;3800
20131031;000000;51.0900000;51.0900000;51.0900000;51.0900000;400
20131101;000000;51.0400000;51.0400000;51.0400000;51.0400000;400
20131105;000000;54.0000000;54.0000000;51.0400000;51.0400000;1100
20131106;000000;51.0400000;51.0400000;51.0400000;51.0400000;3400
20131111;000000;51.0700000;51.0700000;51.0700000;51.0700000;200
20131112;000000;51.0400000;51.0400000;51.0400000;51.0400000;100
20131118;000000;51.0400000;51.0400000;51.0400000;51.0400000;1000
20131119;000000;51.0400000;51.0400000;50.0000000;51.0400000;2400
20131120;000000;51.0400000;51.0400000;45.0000000;49.9980000;5200
20131121;000000;50.0000000;51.0000000;46.9620000;49.9990000;1200
20131122;000000;51.0400000;51.0400000;51.0400000;51.0400000;100
20131127;000000;51.0400000;51.0400000;51.0400000;51.0400000;2100
20131129;000000;51.0900000;51.0900000;51.0900000;51.0900000;100
20131206;000000;51.0400000;51.0400000;51.0400000;51.0400000;6600
20131209;000000;53.0000000;53.0000000;53.0000000;53.0000000;100
20131212;000000;51.0400000;51.0400000;51.0400000;51.0400000;300
20131213;000000;51.0400000;51.0400000;51.0400000;51.0400000;300
20131223;000000;51.0400000;51.0400000;51.0400000;51.0400000;300
20131224;000000;51.0400000;59.9990000;51.0400000;51.0400000;1400
20131225;000000;51.0400000;51.0400000;51.0400000;51.0400000;600
20131226;000000;51.0400000;51.0400000;51.0400000;51.0400000;600
