<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;12.0000000;12.0000000;12.0000000;12.0000000;200
20130117;000000;11.5000000;11.8000000;11.5000000;11.8000000;4400
20130125;000000;12.0000000;12.0000000;12.0000000;12.0000000;4600
20130201;000000;12.4010000;12.4010000;12.4010000;12.4010000;800
20130214;000000;11.1700000;11.1700000;11.1550000;11.1550000;200
20130215;000000;12.2200000;12.2200000;12.2200000;12.2200000;100
20130219;000000;10.5000000;10.5000000;10.2120000;10.2120000;300
20130220;000000;9.7030000;11.0000000;9.7030000;10.3500000;1800
20130222;000000;10.3500000;10.3500000;10.3500000;10.3500000;300
20130311;000000;8.8910000;10.6000000;8.8910000;10.6000000;200
20130318;000000;8.1560000;8.1560000;8.1560000;8.1560000;100
20130404;000000;9.7770000;9.7770000;9.7770000;9.7770000;100
20130416;000000;9.5550000;9.5550000;9.5550000;9.5550000;200
20130418;000000;7.7770000;7.7770000;7.5010000;7.5010000;200
20130422;000000;9.4990000;9.4990000;9.4990000;9.4990000;200
20130531;000000;9.9980000;9.9980000;9.9980000;9.9980000;300
20130607;000000;7.5550000;9.0000000;6.1550000;8.0800000;23400
20130610;000000;8.0900000;8.1000000;8.0900000;8.1000000;3300
20130620;000000;7.3300000;7.3300000;7.3300000;7.3300000;100
20130626;000000;7.9310000;10.2620000;7.9310000;9.9930000;1200
20130708;000000;9.5000000;9.5000000;6.0450000;6.7500000;21800
20130710;000000;6.7500000;6.7500000;6.7500000;6.7500000;100
20130711;000000;7.6990000;9.4500000;6.9810000;8.3500000;3700
20130712;000000;9.3990000;10.4490000;6.8880000;9.9940000;1300
20130715;000000;10.4500000;11.1240000;9.9680000;9.9680000;400
20130716;000000;12.4450000;12.4450000;12.4450000;12.4450000;100
20130718;000000;12.9000000;16.0000000;9.7830000;10.9990000;2700
20130719;000000;11.5000000;11.5000000;11.5000000;11.5000000;100
20130722;000000;9.0030000;9.1600000;9.0030000;9.0100000;1800
20130723;000000;9.3990000;9.3990000;8.9000000;8.9000000;300
20130724;000000;9.5000000;10.8990000;9.5000000;10.8990000;200
20130725;000000;10.9000000;13.7990000;8.8000000;8.8000000;5200
20130726;000000;9.0020000;9.0020000;9.0000000;9.0000000;300
20130729;000000;9.0990000;9.1010000;9.0990000;9.1010000;300
20130731;000000;8.9000000;8.9000000;8.5000000;8.5000000;300
20130802;000000;9.0000000;10.9000000;6.5440000;8.8550000;2800
20130805;000000;9.0280000;10.9730000;9.0280000;10.9730000;200
20130812;000000;9.1830000;9.1830000;9.1830000;9.1830000;100
20130827;000000;9.1820000;9.1820000;9.1820000;9.1820000;100
20130828;000000;9.0040000;9.0040000;9.0040000;9.0040000;100
20130913;000000;9.4000000;9.4000000;9.4000000;9.4000000;100
20130916;000000;9.0000000;9.0000000;9.0000000;9.0000000;100
20130917;000000;9.0010000;9.0010000;9.0000000;9.0000000;200
20130918;000000;8.8490000;8.8490000;8.8490000;8.8490000;100
20130926;000000;8.8480000;8.8480000;8.8480000;8.8480000;100
20131011;000000;8.8210000;8.8210000;8.8210000;8.8210000;100
20131025;000000;8.5500000;10.0000000;8.0000000;10.0000000;61700
20131101;000000;7.6040000;7.8500000;7.1000000;7.2000000;16500
20131105;000000;6.4710000;7.0000000;6.0990000;6.1000000;16800
20131106;000000;6.0510000;6.0510000;5.3020000;5.3500000;20200
20131107;000000;5.8200000;5.9100000;5.8200000;5.9100000;500
20131108;000000;6.1000000;6.1000000;6.1000000;6.1000000;100
20131112;000000;6.4560000;6.4700000;6.4560000;6.4700000;300
20131113;000000;6.4700000;6.4700000;6.4700000;6.4700000;500
20131119;000000;6.0000000;6.4660000;5.5140000;6.4660000;38500
20131125;000000;5.2530000;6.2090000;5.2530000;6.2090000;200
20131127;000000;6.2710000;6.9390000;6.2710000;6.9390000;400
20131129;000000;7.4430000;7.4430000;7.4430000;7.4430000;100
20131206;000000;6.5540000;6.5540000;6.5540000;6.5540000;100
20131209;000000;6.5550000;6.5550000;6.5550000;6.5550000;100
20131212;000000;5.5560000;6.2230000;5.5560000;6.2230000;200
20131213;000000;6.0000000;6.0000000;6.0000000;6.0000000;100
20131216;000000;6.1990000;6.1990000;6.1990000;6.1990000;100
20131227;000000;6.9400000;6.9400000;3.7190000;5.5000000;18700
20131230;000000;5.7000000;5.9500000;5.1000000;5.9500000;400
