<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;5550.0000000;5550.0000000;5550.0000000;5550.0000000;1
20130118;000000;6200.0000000;6200.0000000;6200.0000000;6200.0000000;63
20130128;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;10
20130204;000000;4900.0000000;5015.0000000;4900.0000000;5015.0000000;69
20130205;000000;5850.0000000;5850.0000000;5850.0000000;5850.0000000;1
20130206;000000;6000.0000000;6000.0000000;5990.0000000;5990.0000000;65
20130208;000000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;50
20130211;000000;5600.0000000;5600.0000000;5600.0000000;5600.0000000;54
20130212;000000;5840.0000000;5840.0000000;5840.0000000;5840.0000000;104
20130214;000000;5850.0000000;5850.0000000;5850.0000000;5850.0000000;38
20130215;000000;5849.0000000;6448.0000000;5849.0000000;6448.0000000;561
20130218;000000;6220.0000000;6220.0000000;6220.0000000;6220.0000000;1
20130220;000000;6000.0000000;6000.0000000;5920.0000000;5920.0000000;2
20130221;000000;5630.0000000;5630.0000000;5630.0000000;5630.0000000;1
20130222;000000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;6
20130226;000000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;1
20130301;000000;6199.0000000;6199.0000000;6199.0000000;6199.0000000;1
20130304;000000;6395.0000000;6395.0000000;6280.0000000;6280.0000000;28
20130305;000000;6345.0000000;6345.0000000;6345.0000000;6345.0000000;1
20130307;000000;6347.0000000;6347.0000000;5800.0000000;5800.0000000;2
20130311;000000;5807.0000000;6199.0000000;5800.0000000;6199.0000000;7
20130312;000000;6341.0000000;6341.0000000;6341.0000000;6341.0000000;1
20130313;000000;5810.0000000;5900.0000000;5810.0000000;5900.0000000;3
20130314;000000;5900.0000000;6349.0000000;5900.0000000;6349.0000000;10
20130315;000000;6345.0000000;6345.0000000;6345.0000000;6345.0000000;2
20130319;000000;6339.0000000;6339.0000000;6339.0000000;6339.0000000;1
20130320;000000;6334.0000000;6334.0000000;6334.0000000;6334.0000000;1
20130329;000000;6335.0000000;6335.0000000;6335.0000000;6335.0000000;1
20130402;000000;6340.0000000;6340.0000000;6340.0000000;6340.0000000;1
20130404;000000;5600.0000000;6200.0000000;5400.0000000;6200.0000000;25
20130408;000000;6099.0000000;6340.0000000;6099.0000000;6340.0000000;7
20130410;000000;6290.0000000;6290.0000000;6290.0000000;6290.0000000;1
20130412;000000;5550.0000000;5550.0000000;5500.0000000;5500.0000000;7
20130415;000000;5653.0000000;6050.0000000;5500.0000000;6050.0000000;173
20130416;000000;6399.0000000;6399.0000000;6399.0000000;6399.0000000;1
20130417;000000;5730.0000000;5730.0000000;5730.0000000;5730.0000000;282
20130430;000000;6339.0000000;6339.0000000;6339.0000000;6339.0000000;1
20130506;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;4
20130510;000000;6448.0000000;6448.0000000;6448.0000000;6448.0000000;1
20130517;000000;5731.0000000;5731.0000000;5731.0000000;5731.0000000;10
20130520;000000;5736.0000000;5736.0000000;5730.0000000;5730.0000000;11
20130523;000000;6199.0000000;6398.0000000;5701.0000000;5701.0000000;26
20130610;000000;5899.0000000;5901.0000000;5899.0000000;5900.0000000;21
20130611;000000;5906.0000000;5906.0000000;5900.0000000;5900.0000000;51
20130613;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;20
20130614;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;10
20130617;000000;5830.0000000;5830.0000000;5830.0000000;5830.0000000;5
20130618;000000;6000.0000000;6300.0000000;6000.0000000;6300.0000000;10
20130624;000000;6000.0000000;6000.0000000;6000.0000000;6000.0000000;15
20130626;000000;6590.0000000;6590.0000000;6590.0000000;6590.0000000;95
20130711;000000;6350.0000000;6350.0000000;6350.0000000;6350.0000000;10
20130717;000000;6008.0000000;6055.0000000;5900.0000000;5900.0000000;22
20130718;000000;6004.0000000;6004.0000000;6004.0000000;6004.0000000;6
20130724;000000;6490.0000000;6490.0000000;6490.0000000;6490.0000000;9
20130730;000000;5901.0000000;6600.0000000;5900.0000000;6600.0000000;153
20130801;000000;6499.0000000;6499.0000000;6498.0000000;6498.0000000;2
20130807;000000;6498.0000000;6498.0000000;6498.0000000;6498.0000000;1
20130809;000000;6475.0000000;6475.0000000;6475.0000000;6475.0000000;1
20130815;000000;7014.0000000;7995.0000000;7005.0000000;7995.0000000;78
20130819;000000;9249.0000000;10000.0000000;7999.0000000;7999.0000000;67
20130820;000000;8999.0000000;8999.0000000;8998.0000000;8998.0000000;20
20130905;000000;8500.0000000;9000.0000000;8500.0000000;9000.0000000;48
20130909;000000;7030.0000000;7030.0000000;7030.0000000;7030.0000000;18
20130913;000000;8597.0000000;8597.0000000;8597.0000000;8597.0000000;2
20130920;000000;7800.0000000;7800.0000000;6999.0000000;7000.0000000;44
20130924;000000;7298.0000000;7300.0000000;7298.0000000;7300.0000000;3
20131007;000000;7184.0000000;7190.0000000;7172.0000000;7190.0000000;8
20131009;000000;7001.0000000;7001.0000000;7000.0000000;7000.0000000;10
20131017;000000;7008.0000000;7008.0000000;7000.0000000;7000.0000000;2
20131023;000000;7001.0000000;7799.0000000;7001.0000000;7799.0000000;2
20131024;000000;7800.0000000;8000.0000000;7800.0000000;8000.0000000;16
20131025;000000;8000.0000000;8000.0000000;8000.0000000;8000.0000000;1
20131028;000000;8000.0000000;8000.0000000;8000.0000000;8000.0000000;1
20131101;000000;7900.0000000;7900.0000000;7900.0000000;7900.0000000;15
20131106;000000;7800.0000000;7800.0000000;7800.0000000;7800.0000000;13
20131111;000000;7790.0000000;7790.0000000;7780.0000000;7780.0000000;127
