<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;12.0000000;12.0000000;12.0000000;12.0000000;200
20130115;000000;11.8100000;12.2000000;11.8100000;12.2000000;101000
20130123;000000;12.0000000;12.0000000;12.0000000;12.0000000;200
20130131;000000;12.7490000;12.7500000;12.1010000;12.1010000;240300
20130206;000000;12.8000000;12.8000000;12.8000000;12.8000000;1300
20130226;000000;12.7000000;12.7000000;12.7000000;12.7000000;1000
20130326;000000;12.7000000;12.7000000;12.1000000;12.1020000;19200
20130328;000000;11.8500000;11.8500000;11.1000000;11.7500000;11000
20130419;000000;12.7360000;12.7360000;12.7360000;12.7360000;100
20130423;000000;11.9900000;11.9900000;11.9900000;11.9900000;100
20130611;000000;12.0000000;12.0000000;12.0000000;12.0000000;12300
20130725;000000;11.2500000;11.2500000;11.2500000;11.2500000;100
20130812;000000;12.0000000;13.9930000;12.0000000;13.9930000;14400
20130813;000000;12.0000000;12.0000000;11.8000000;11.8000000;2100
20130814;000000;11.8010000;11.8010000;11.8000000;11.8000000;1500
20130815;000000;11.7510000;11.7510000;11.7500000;11.7500000;1000
20130816;000000;11.7010000;11.7010000;11.7000000;11.7000000;600
20130821;000000;11.5010000;11.5010000;11.5000000;11.5000000;1600
20130826;000000;11.5010000;11.5010000;11.5000000;11.5000000;600
20130829;000000;11.7500000;11.7500000;11.7500000;11.7500000;1000
20130902;000000;11.7500000;11.7500000;11.7500000;11.7500000;100
20130903;000000;11.8000000;11.8000000;11.8000000;11.8000000;500
20130904;000000;11.8000000;11.8000000;11.8000000;11.8000000;200
20130909;000000;11.8500000;11.8500000;11.8500000;11.8500000;500
20130913;000000;11.8500000;11.8500000;11.8500000;11.8500000;500
20130917;000000;11.8600000;11.8600000;11.8600000;11.8600000;300
20130920;000000;11.8800000;11.8800000;11.8800000;11.8800000;100
20130923;000000;11.8900000;11.8900000;11.8900000;11.8900000;1000
20130924;000000;11.8900000;11.8900000;11.8700000;11.8700000;3000
20130925;000000;11.9890000;11.9890000;11.8900000;11.8900000;200
20130930;000000;11.8900000;11.8900000;11.8900000;11.8900000;500
20131003;000000;11.8900000;11.8900000;11.8900000;11.8900000;100
20131010;000000;11.9050000;11.9050000;11.9000000;11.9000000;1100
20131017;000000;11.9150000;11.9150000;11.9150000;11.9150000;1000
20131022;000000;11.9150000;11.9150000;11.9100000;11.9100000;1000
20131023;000000;11.9150000;11.9400000;11.9150000;11.9400000;22900
20131024;000000;11.9200000;11.9200000;11.9200000;11.9200000;500
20131025;000000;11.9300000;11.9460000;11.9300000;11.9400000;6200
20131126;000000;11.1000000;11.1000000;11.1000000;11.1000000;2800
20131220;000000;10.5000000;10.5000000;10.5000000;10.5000000;4000
20131224;000000;10.5000000;10.5000000;10.5000000;10.5000000;2800
20131225;000000;10.5020000;10.5020000;10.5020000;10.5020000;2000
20131227;000000;11.0000000;11.0000000;11.0000000;11.0000000;400
