<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;71.0000000;71.0000000;71.0000000;71.0000000;150
20130110;000000;74.7600000;74.7600000;73.9900000;73.9900000;550
20130111;000000;74.9400000;74.9800000;72.0100000;73.8000000;2400
20130115;000000;75.7900000;76.5700000;74.4100000;76.0000000;4480
20130116;000000;76.0000000;81.9700000;76.0000000;79.6400000;4300
20130117;000000;84.9900000;87.0700000;78.0100000;78.0100000;430
20130118;000000;77.0300000;78.9800000;77.0300000;78.9800000;540
20130121;000000;77.1100000;77.1100000;75.9900000;76.0000000;390
20130125;000000;76.0000000;76.0100000;76.0000000;76.0000000;1080
20130128;000000;74.0100000;76.0000000;74.0100000;76.0000000;320
20130130;000000;79.0000000;80.0000000;75.1200000;79.4100000;710
20130201;000000;76.0200000;76.0200000;76.0200000;76.0200000;210
20130204;000000;79.9900000;79.9900000;79.9900000;79.9900000;20
20130205;000000;79.9800000;79.9800000;79.9800000;79.9800000;10
20130206;000000;79.4900000;79.4900000;75.0000000;75.0000000;870
20130207;000000;79.9900000;80.0000000;73.1300000;73.1300000;60
20130208;000000;75.0000000;75.5000000;74.9900000;75.0000000;440
20130212;000000;74.0100000;74.0100000;72.0100000;73.9900000;150
20130214;000000;73.0100000;75.0000000;73.0000000;75.0000000;110
20130215;000000;74.8900000;74.8900000;73.7000000;73.7000000;560
20130218;000000;71.0300000;72.0000000;71.0200000;71.5300000;210
20130219;000000;72.0100000;72.0100000;72.0000000;72.0000000;20
20130220;000000;72.0000000;72.0000000;72.0000000;72.0000000;100
20130221;000000;70.0100000;72.6700000;70.0100000;72.6700000;60
20130222;000000;72.0100000;72.7800000;72.0000000;72.7800000;30
20130226;000000;70.0000000;70.0000000;69.9900000;70.0000000;1100
20130227;000000;71.4500000;71.4500000;69.5200000;70.0000000;4910
20130228;000000;71.0000000;71.0000000;69.5000000;70.0000000;1040
20130304;000000;70.0000000;74.0000000;68.5000000;71.4700000;1920
20130305;000000;70.0000000;70.0000000;70.0000000;70.0000000;10
20130306;000000;69.0000000;72.0000000;69.0000000;72.0000000;780
20130307;000000;75.9900000;75.9900000;69.6100000;70.0000000;120
20130311;000000;73.1900000;77.0000000;73.1900000;77.0000000;680
20130312;000000;73.9800000;73.9800000;73.9800000;73.9800000;20
20130313;000000;78.4000000;80.0000000;77.0000000;77.0000000;400
20130315;000000;78.9900000;78.9900000;78.9900000;78.9900000;10
20130318;000000;75.0100000;78.9700000;75.0100000;76.0100000;320
20130319;000000;77.6000000;77.6000000;77.6000000;77.6000000;10
20130321;000000;69.5000000;77.3900000;69.5000000;77.3900000;200
20130322;000000;69.0100000;78.4700000;69.0100000;76.3800000;200
20130326;000000;68.0200000;68.0200000;64.7600000;68.0000000;340
20130329;000000;71.0000000;71.0000000;71.0000000;71.0000000;100
20130401;000000;75.9700000;75.9700000;75.9700000;75.9700000;260
20130402;000000;74.5000000;74.5000000;71.2500000;71.5400000;330
20130403;000000;70.9900000;71.0000000;67.0000000;70.9000000;1990
20130405;000000;67.0000000;71.3000000;55.1600000;71.3000000;290
20130410;000000;69.0200000;69.0200000;66.4700000;67.6800000;320
20130412;000000;66.0100000;70.0000000;60.0000000;62.0000000;1560
20130415;000000;62.0100000;62.0100000;55.0000000;55.0000000;440
20130416;000000;55.5100000;61.0000000;55.5100000;59.6800000;3260
20130417;000000;59.9900000;62.0000000;59.5100000;59.5100000;690
20130418;000000;59.5000000;63.0000000;58.0100000;63.0000000;240
20130422;000000;65.0000000;65.0000000;65.0000000;65.0000000;200
20130424;000000;61.0000000;64.0000000;55.0100000;64.0000000;130
20130425;000000;65.0000000;65.0000000;65.0000000;65.0000000;40
20130429;000000;67.9900000;68.0000000;67.9900000;68.0000000;40
20130510;000000;69.9900000;71.7100000;69.9900000;71.7100000;150
20130514;000000;62.0100000;68.0200000;62.0100000;68.0200000;200
20130515;000000;64.0100000;64.0100000;58.0000000;64.0000000;470
20130520;000000;64.0000000;67.5000000;64.0000000;67.5000000;1060
20130521;000000;69.9600000;70.0000000;69.9600000;70.0000000;1400
20130524;000000;70.0000000;70.0000000;70.0000000;70.0000000;5000
20130528;000000;64.0200000;64.0200000;64.0200000;64.0200000;10
20130530;000000;70.0000000;70.0000000;70.0000000;70.0000000;110
20130604;000000;72.0000000;76.9800000;72.0000000;75.1100000;2300
20130605;000000;72.1000000;72.1000000;72.1000000;72.1000000;10
20130606;000000;75.0000000;90.1300000;75.0000000;90.1300000;1700
20130607;000000;80.9900000;99.0000000;78.4000000;99.0000000;8800
20130610;000000;102.0000000;104.0000000;98.5500000;98.5500000;2470
20130611;000000;92.0100000;92.0100000;83.5000000;84.0200000;770
20130613;000000;82.0200000;83.0000000;79.9900000;79.9900000;330
20130614;000000;79.0000000;79.9900000;78.3100000;79.9900000;130
20130617;000000;79.0000000;79.9900000;75.0000000;75.0000000;1740
20130618;000000;76.0000000;76.9700000;74.0000000;74.0000000;950
20130619;000000;73.1500000;73.1500000;69.9900000;70.0100000;700
20130620;000000;72.5000000;72.5000000;72.5000000;72.5000000;110
20130626;000000;70.0200000;84.5000000;70.0200000;71.1100000;130
20130627;000000;84.0000000;84.0000000;84.0000000;84.0000000;10
20130702;000000;84.9000000;84.9000000;80.0000000;80.0000000;150
20130703;000000;83.8900000;90.0000000;83.8900000;89.0000000;11630
20130704;000000;95.0000000;99.8800000;95.0000000;99.0000000;8700
20130705;000000;97.0200000;97.0200000;95.0000000;95.0000000;2490
20130708;000000;95.4900000;96.0000000;95.4900000;96.0000000;700
20130709;000000;98.0000000;103.9000000;98.0000000;103.9000000;25290
20130710;000000;101.0000000;101.0000000;97.0100000;97.0100000;170
20130711;000000;105.0500000;116.1000000;99.0000000;99.0000000;1650
20130712;000000;95.0100000;97.9500000;89.9900000;93.8600000;9610
20130715;000000;95.0000000;95.0000000;90.0000000;90.0000000;1350
20130716;000000;95.0000000;104.0000000;95.0000000;104.0000000;10400
20130717;000000;99.2500000;99.6200000;99.2500000;99.6200000;30
20130723;000000;91.0300000;95.0000000;91.0300000;95.0000000;30
20130726;000000;91.2100000;92.0100000;90.5100000;90.5100000;180
20130730;000000;90.8900000;90.8900000;90.5100000;90.5100000;60
20130805;000000;90.5400000;91.0000000;90.5400000;91.0000000;160
20130815;000000;99.5000000;99.9600000;94.0000000;97.0000000;280
20130816;000000;96.0000000;98.3500000;96.0000000;98.3000000;710
20130819;000000;99.9800000;104.0000000;99.9800000;103.9900000;2680
20130820;000000;99.0200000;99.0200000;98.5000000;98.5000000;200
20130826;000000;95.2100000;95.2100000;95.2000000;95.2000000;160
20130827;000000;101.9900000;109.0000000;97.5200000;97.5200000;700
20130828;000000;97.0100000;97.0100000;96.0000000;96.0000000;180
20130829;000000;95.0000000;99.9600000;94.0000000;99.9600000;130
20130903;000000;99.9900000;99.9900000;99.9900000;99.9900000;10
20130904;000000;94.0100000;94.0100000;94.0100000;94.0100000;10
