<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;3.5440000;3.5800000;3.5440000;3.5440000;27000
20130110;000000;3.5800000;3.5857000;3.5800000;3.5857000;3000
20130111;000000;3.5942000;3.6490000;3.5942000;3.6490000;19000
20130115;000000;3.6450000;3.6450000;3.6450000;3.6450000;4000
20130116;000000;3.4001000;3.6453000;3.4001000;3.6453000;3000
20130123;000000;3.6470000;3.6470000;3.6300000;3.6300000;31000
20130125;000000;3.6475000;3.6498000;3.5000000;3.5000000;13000
20130128;000000;3.5101000;3.5101000;3.5000000;3.5000000;20000
20130129;000000;3.4999000;3.9980000;3.4999000;3.9980000;153000
20130130;000000;3.6500000;3.9894000;3.4447000;3.7556000;32000
20130201;000000;3.8001000;3.9711000;3.6711000;3.8800000;17000
20130204;000000;3.7775000;3.9999000;3.7775000;3.8600000;80000
20130205;000000;3.8997000;3.9010000;3.7000000;3.7000000;12000
20130206;000000;3.8888000;3.9999000;3.7444000;3.9000000;15000
20130208;000000;3.8997000;3.8998000;3.5502000;3.6111000;73000
20130211;000000;3.7440000;3.7440000;3.7440000;3.7440000;1000
20130213;000000;3.7111000;3.7111000;3.7111000;3.7111000;1000
20130215;000000;3.5999000;3.6000000;3.5999000;3.6000000;4000
20130218;000000;3.8000000;3.9999000;3.8000000;3.9999000;25000
20130219;000000;3.6999000;3.7000000;3.6999000;3.7000000;5000
20130221;000000;3.7333000;3.7333000;3.6200000;3.6200000;3000
20130225;000000;3.5530000;3.6015000;3.5530000;3.6000000;9000
20130226;000000;3.5596000;3.6300000;3.5222000;3.6300000;12000
20130227;000000;3.6436000;3.6437000;3.6436000;3.6437000;5000
20130301;000000;3.5211000;3.5211000;3.5211000;3.5211000;1000
20130306;000000;3.6737000;3.6738000;3.6737000;3.6738000;4000
20130307;000000;3.8997000;3.8997000;3.8997000;3.8997000;1000
20130311;000000;3.6301000;3.6339000;3.5700000;3.5800000;46000
20130312;000000;3.6000000;3.6444000;3.5700000;3.6444000;6000
20130313;000000;3.6555000;3.6555000;3.6555000;3.6555000;1000
20130314;000000;3.5644000;3.5644000;3.5644000;3.5644000;1000
20130315;000000;3.6433000;3.6433000;3.5912000;3.5912000;5000
20130318;000000;3.5400000;3.5400000;3.5400000;3.5400000;1000
