<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;87.0000000;87.0000000;86.0000000;86.0000000;360
20130110;000000;86.0000000;87.6900000;86.0000000;86.0000000;510
20130111;000000;85.1000000;86.5400000;84.0000000;85.0000000;390
20130114;000000;84.0500000;88.0000000;84.0500000;87.3000000;1380
20130115;000000;88.0100000;88.0100000;85.8000000;85.8200000;3850
20130116;000000;85.8200000;85.8200000;85.5000000;85.5000000;10630
20130117;000000;86.0000000;86.0000000;85.0300000;85.7700000;6030
20130118;000000;85.8000000;85.8000000;85.5000000;85.7700000;5150
20130121;000000;85.5000000;85.5000000;84.4000000;85.0000000;3380
20130122;000000;84.3400000;84.4900000;84.0200000;84.4800000;670
20130123;000000;84.8900000;84.8900000;84.8900000;84.8900000;10
20130124;000000;85.8200000;85.8200000;84.6600000;85.0000000;500
20130125;000000;84.0000000;84.1400000;82.0200000;82.1000000;5570
20130128;000000;84.2100000;84.2100000;82.5000000;83.3000000;1140
20130129;000000;83.8300000;83.8300000;82.5100000;83.3700000;380
20130130;000000;83.4900000;83.4900000;82.7800000;82.7800000;120
20130131;000000;82.6000000;83.1900000;82.6000000;83.1900000;130
20130201;000000;83.2100000;85.1700000;82.6000000;83.0000000;3450
20130204;000000;81.1200000;81.8000000;80.0200000;81.8000000;5160
20130205;000000;80.5000000;80.9800000;79.0900000;80.9800000;2410
20130206;000000;82.7000000;82.7000000;81.0000000;81.8000000;160
20130207;000000;81.9900000;81.9900000;77.7900000;80.8900000;3920
20130208;000000;79.7100000;81.0700000;77.0000000;79.9900000;2000
20130211;000000;79.9500000;79.9500000;79.9500000;79.9500000;30
20130212;000000;79.8600000;79.8600000;77.9900000;79.5200000;40
20130213;000000;79.4400000;79.4500000;79.0000000;79.3000000;2860
20130214;000000;78.0900000;79.4200000;78.0800000;78.7800000;70
20130215;000000;78.2100000;78.5000000;78.2100000;78.5000000;40
20130218;000000;82.1100000;82.1100000;79.9900000;79.9900000;70
20130219;000000;78.1200000;79.5200000;78.1100000;79.5200000;90
20130220;000000;78.5100000;78.5100000;78.0100000;78.0100000;2690
20130221;000000;77.0300000;78.1700000;75.5900000;76.7900000;310
20130222;000000;77.0000000;78.3700000;77.0000000;78.3700000;40
20130225;000000;75.6000000;77.1100000;75.6000000;76.0400000;920
20130226;000000;76.0100000;77.3400000;75.0200000;76.3900000;990
20130227;000000;77.3400000;78.3900000;75.5700000;77.9700000;9600
20130228;000000;77.9600000;77.9600000;77.9400000;77.9400000;100
20130301;000000;76.2200000;76.9900000;75.9900000;75.9900000;120
20130304;000000;76.0300000;76.6300000;75.8100000;75.8100000;140
20130305;000000;75.8200000;75.9900000;74.7000000;75.7300000;130
20130306;000000;75.9900000;76.0000000;75.0400000;75.9900000;320
20130307;000000;74.8000000;75.9100000;74.8000000;75.9100000;40
20130311;000000;75.0100000;75.0100000;74.9100000;74.9100000;310
20130312;000000;75.9900000;75.9900000;75.4900000;75.4900000;20
20130313;000000;75.4400000;75.4400000;73.0000000;74.6700000;710
20130314;000000;74.6000000;74.6000000;72.5000000;73.6500000;360
20130315;000000;74.6700000;74.6700000;70.0000000;71.2000000;7260
20130318;000000;70.3400000;71.4500000;70.0000000;70.9500000;3110
20130319;000000;68.0000000;69.1200000;60.1600000;68.3700000;2430
20130320;000000;68.8800000;68.8800000;62.6000000;66.8900000;2220
20130321;000000;67.3500000;67.3500000;66.0000000;66.8500000;310
20130322;000000;64.6800000;67.7600000;64.6800000;65.9200000;690
20130325;000000;67.3000000;67.6900000;65.5000000;66.9700000;1360
20130326;000000;64.5800000;66.1000000;64.5800000;66.0800000;340
20130328;000000;61.8600000;65.3400000;61.8100000;64.4500000;900
20130329;000000;62.5000000;64.8400000;62.5000000;64.5500000;40
20130401;000000;62.2000000;64.9300000;62.2000000;64.9300000;30
20130402;000000;64.9900000;64.9900000;63.0500000;63.9900000;200
20130403;000000;64.0000000;67.1500000;64.0000000;67.1500000;520
20130405;000000;64.0000000;67.0000000;64.0000000;67.0000000;50
20130408;000000;65.0000000;66.8700000;63.4000000;64.6900000;530
20130409;000000;63.3100000;64.6600000;63.3000000;64.3200000;70
20130411;000000;63.3100000;64.9900000;63.3100000;64.9900000;30
20130412;000000;61.0400000;64.9400000;61.0000000;64.9400000;1160
20130415;000000;62.1500000;62.1500000;55.5000000;58.9900000;790
20130416;000000;59.8900000;62.0000000;59.8500000;60.9900000;350
20130417;000000;61.9700000;61.9700000;58.2800000;59.5300000;630
20130418;000000;60.0000000;60.5700000;60.0000000;60.5700000;40
20130419;000000;64.9300000;64.9300000;59.3700000;59.3700000;420
20130422;000000;60.0000000;60.0000000;60.0000000;60.0000000;10
20130423;000000;60.6100000;60.6100000;60.6100000;60.6100000;10
20130424;000000;60.0300000;60.0300000;60.0000000;60.0000000;260
20130425;000000;58.0300000;60.6500000;58.0000000;59.8900000;1450
20130426;000000;60.0000000;61.5000000;60.0000000;61.5000000;20
20130429;000000;60.9100000;60.9100000;60.9100000;60.9100000;20
20130430;000000;60.9200000;60.9200000;60.9200000;60.9200000;50
20130503;000000;65.1000000;65.1000000;61.1400000;63.9700000;50
20130506;000000;60.0700000;63.6200000;60.0700000;63.2100000;770
20130507;000000;63.9500000;63.9500000;63.9500000;63.9500000;10
20130508;000000;62.0000000;63.9300000;62.0000000;63.9300000;250
20130513;000000;63.9500000;63.9500000;63.9500000;63.9500000;10
20130520;000000;60.1600000;63.3600000;60.1500000;60.1500000;280
20130521;000000;60.3000000;61.3100000;60.3000000;61.2800000;310
20130522;000000;61.6000000;62.6200000;61.6000000;62.6200000;510
20130523;000000;60.1900000;61.9600000;60.1700000;61.9600000;320
20130524;000000;60.1200000;62.9400000;60.1200000;62.9400000;20
20130527;000000;59.4100000;62.5400000;59.4000000;62.4400000;300
20130528;000000;60.3500000;62.4300000;60.3500000;62.4300000;70
20130529;000000;60.3600000;60.3600000;60.3600000;60.3600000;110
20130530;000000;63.2800000;63.2800000;60.3000000;60.3000000;110
20130531;000000;61.2900000;62.1600000;61.2900000;62.1600000;40
20130604;000000;63.8800000;63.8800000;60.3000000;62.0000000;5570
20130605;000000;59.0000000;62.9800000;59.0000000;62.9800000;180
20130606;000000;59.8300000;61.9100000;59.8300000;61.9100000;290
20130607;000000;56.1700000;61.6000000;56.0100000;61.6000000;680
20130610;000000;60.0000000;61.4100000;59.3000000;61.4100000;370
20130611;000000;57.0100000;60.5200000;57.0100000;60.5200000;80
20130613;000000;54.9300000;61.6200000;53.9000000;61.6200000;1070
20130617;000000;55.3200000;61.9400000;55.3200000;61.9400000;30
