<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130111;000000;0.5085000;0.5085000;0.5081000;0.5081000;50000
20130114;000000;0.5001000;0.5001000;0.5001000;0.5001000;50000
20130115;000000;0.5001000;0.5001000;0.5000000;0.5000000;50000
20130116;000000;0.5247000;0.5247000;0.5111000;0.5111000;30000
20130121;000000;0.5006000;0.5150000;0.5005000;0.5100000;240000
20130122;000000;0.5011000;0.5301000;0.5011000;0.5300000;790000
20130123;000000;0.5065000;0.5065000;0.5011000;0.5011000;40000
20130124;000000;0.5105000;0.5105000;0.5101000;0.5101000;200000
20130125;000000;0.5495000;0.5495000;0.5051000;0.5051000;20000
20130129;000000;0.5020000;0.5020000;0.5019000;0.5020000;170000
20130130;000000;0.5016000;0.5100000;0.5016000;0.5100000;370000
20130131;000000;0.5016000;0.5016000;0.5015000;0.5015000;20000
20130201;000000;0.5197000;0.5197000;0.5010000;0.5110000;120000
20130204;000000;0.5011000;0.5100000;0.5010000;0.5050000;240000
20130206;000000;0.5050000;0.5050000;0.5050000;0.5050000;480000
20130207;000000;0.5016000;0.5016000;0.5011000;0.5015000;310000
20130208;000000;0.5001000;0.5001000;0.5001000;0.5001000;20000
20130211;000000;0.4850000;0.5089000;0.4800000;0.4983000;230000
20130212;000000;0.5099000;0.5100000;0.5099000;0.5100000;60000
20130214;000000;0.5000000;0.5000000;0.5000000;0.5000000;50000
20130219;000000;0.4921000;0.4921000;0.4900000;0.4900000;210000
20130220;000000;0.4805000;0.4805000;0.4702000;0.4702000;450000
20130221;000000;0.4721000;0.4721000;0.4701000;0.4701000;90000
20130304;000000;0.5096000;0.5096000;0.5026000;0.5026000;20000
20130306;000000;0.5041000;0.5041000;0.4997000;0.4997000;20000
20130315;000000;0.4997000;0.4997000;0.4997000;0.4997000;20000
20130326;000000;0.4509000;0.4509000;0.4509000;0.4509000;30000
20130402;000000;0.4995000;0.5400000;0.4995000;0.5300000;460000
20130403;000000;0.5370000;0.5399000;0.5278000;0.5300000;60000
20130404;000000;0.5399000;0.5555000;0.5399000;0.5403000;530000
20130405;000000;0.4510000;0.5000000;0.4500000;0.4702000;550000
20130408;000000;0.4638000;0.4638000;0.4519000;0.4519000;150000
20130409;000000;0.4700000;0.4700000;0.4700000;0.4700000;10000
20130410;000000;0.4520000;0.4700000;0.4520000;0.4700000;100000
20130411;000000;0.4700000;0.4700000;0.4700000;0.4700000;10000
20130412;000000;0.4604000;0.4604000;0.4500000;0.4600000;280000
20130415;000000;0.4506000;0.4506000;0.4500000;0.4500000;30000
20130417;000000;0.4500000;0.4500000;0.4500000;0.4500000;40000
20130418;000000;0.4562000;0.4562000;0.4562000;0.4562000;10000
20130419;000000;0.4421000;0.4422000;0.4419000;0.4422000;520000
20130422;000000;0.4419000;0.4419000;0.4400000;0.4400000;170000
20130423;000000;0.4499000;0.4499000;0.4400000;0.4400000;50000
20130424;000000;0.4500000;0.4500000;0.4500000;0.4500000;10000
20130425;000000;0.4218000;0.4218000;0.4218000;0.4218000;20000
20130426;000000;0.4499000;0.4499000;0.4499000;0.4499000;30000
20130429;000000;0.4008000;0.4305000;0.4008000;0.4305000;100000
20130430;000000;0.4021000;0.4021000;0.4021000;0.4021000;10000
20130502;000000;0.4102000;0.4102000;0.4102000;0.4102000;10000
20130506;000000;0.4261000;0.4494000;0.4250000;0.4455000;720000
20130513;000000;0.4300000;0.4300000;0.4300000;0.4300000;10000
20130516;000000;0.4301000;0.4301000;0.4300000;0.4300000;20000
20130517;000000;0.4300000;0.4300000;0.4300000;0.4300000;20000
20130520;000000;0.4400000;0.4504000;0.4400000;0.4400000;170000
20130522;000000;0.4569000;0.4569000;0.4569000;0.4569000;10000
20130523;000000;0.4400000;0.4569000;0.4400000;0.4569000;60000
20130524;000000;0.4565000;0.4570000;0.4565000;0.4570000;20000
20130527;000000;0.4107000;0.4204000;0.4100000;0.4132000;190000
20130528;000000;0.4301000;0.4449000;0.4300000;0.4449000;140000
20130531;000000;0.4590000;0.4590000;0.4421000;0.4421000;20000
20130603;000000;0.4242000;0.4316000;0.4242000;0.4301000;110000
20130604;000000;0.4698000;0.4698000;0.4599000;0.4600000;120000
