<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0243700;0.0279800;0.0243700;0.0264900;410000
20130109;000000;0.0260000;0.0294900;0.0260000;0.0294900;280000
20130111;000000;0.0295000;0.0300000;0.0290000;0.0300000;290000
20130114;000000;0.0305000;0.0310000;0.0305000;0.0310000;140000
20130115;000000;0.0310000;0.0315000;0.0290100;0.0290100;1220000
20130116;000000;0.0310000;0.0310000;0.0305000;0.0305000;540000
20130117;000000;0.0310000;0.0310000;0.0280000;0.0297600;1660000
20130118;000000;0.0271000;0.0296500;0.0271000;0.0295000;140000
20130121;000000;0.0300000;0.0300000;0.0241100;0.0272000;640000
20130122;000000;0.0272300;0.0289900;0.0272300;0.0285500;170000
20130123;000000;0.0290000;0.0294300;0.0275500;0.0275500;230000
20130124;000000;0.0275500;0.0275500;0.0275500;0.0275500;50000
20130125;000000;0.0282700;0.0288100;0.0260100;0.0277100;860000
20130128;000000;0.0271700;0.0279500;0.0260900;0.0276500;440000
20130129;000000;0.0271500;0.0271500;0.0260700;0.0261000;50000
20130130;000000;0.0260900;0.0287000;0.0260900;0.0270700;200000
20130131;000000;0.0276300;0.0276300;0.0276300;0.0276300;10000
20130201;000000;0.0270900;0.0276300;0.0270900;0.0276300;20000
20130204;000000;0.0281700;0.0289000;0.0233000;0.0233000;630000
20130205;000000;0.0270700;0.0270700;0.0259900;0.0265200;50000
20130206;000000;0.0265300;0.0279600;0.0265300;0.0279600;40000
20130208;000000;0.0250000;0.0289000;0.0230000;0.0245100;3020000
20130211;000000;0.0225500;0.0280000;0.0225500;0.0274500;750000
20130212;000000;0.0279700;0.0285100;0.0263100;0.0263100;200000
20130213;000000;0.0268500;0.0278900;0.0256500;0.0267700;920000
20130214;000000;0.0272500;0.0272700;0.0271000;0.0271000;40000
20130215;000000;0.0267300;0.0283300;0.0267300;0.0278000;240000
20130218;000000;0.0272300;0.0278000;0.0261500;0.0272100;280000
20130219;000000;0.0266700;0.0277100;0.0177700;0.0277000;260000
20130220;000000;0.0265100;0.0288800;0.0260000;0.0271500;180000
20130221;000000;0.0251000;0.0280400;0.0251000;0.0278000;40000
20130222;000000;0.0278000;0.0278000;0.0260000;0.0265000;180000
20130225;000000;0.0278000;0.0278000;0.0274900;0.0274900;90000
20130227;000000;0.0265900;0.0281900;0.0265900;0.0277000;180000
20130228;000000;0.0270900;0.0281300;0.0197800;0.0270500;180000
20130301;000000;0.0270300;0.0270300;0.0207100;0.0250000;120000
20130304;000000;0.0250000;0.0280300;0.0220400;0.0231500;240000
20130305;000000;0.0212600;0.0275000;0.0212600;0.0230300;620000
20130306;000000;0.0230700;0.0249800;0.0183600;0.0220500;720000
