<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;12.2550000;12.5240000;11.8260000;12.0290000;11700
20130109;000000;12.4610000;12.5500000;12.1500000;12.4990000;103500
20130110;000000;12.5200000;12.7000000;12.4000000;12.4000000;3600
20130111;000000;12.5000000;12.5500000;12.3920000;12.3920000;24400
20130114;000000;12.7490000;12.7500000;12.5020000;12.5490000;31500
20130115;000000;12.5340000;12.6500000;12.0000000;12.4360000;39200
20130116;000000;12.5010000;12.5010000;12.1100000;12.3890000;1300
20130117;000000;12.3900000;12.5000000;12.2000000;12.5000000;5500
20130118;000000;12.2620000;12.5500000;12.1810000;12.4010000;15600
20130121;000000;12.1550000;12.5820000;12.1500000;12.5410000;20100
20130122;000000;12.2520000;12.2870000;12.0000000;12.2870000;35200
20130123;000000;12.3850000;12.3850000;12.2500000;12.3000000;3500
20130124;000000;12.1400000;12.1440000;12.1400000;12.1440000;700
20130125;000000;12.4830000;12.4990000;12.4830000;12.4990000;3700
20130128;000000;12.2920000;12.2920000;12.2900000;12.2910000;1700
20130129;000000;12.1400000;12.3000000;12.0000000;12.0000000;7400
20130130;000000;12.3580000;12.3580000;12.0760000;12.1500000;6000
20130131;000000;12.1310000;12.1500000;11.9070000;12.1100000;14400
20130201;000000;12.3810000;13.4000000;12.1390000;13.2990000;159800
20130204;000000;13.2000000;13.3000000;12.9510000;12.9510000;9200
20130205;000000;13.1860000;13.2990000;12.5000000;12.8140000;40700
20130206;000000;12.8430000;13.0280000;12.5000000;12.6000000;35900
20130207;000000;12.5010000;12.8610000;12.5010000;12.6390000;3600
20130208;000000;12.8930000;13.1800000;12.5080000;12.7990000;64000
20130211;000000;12.7900000;14.3200000;12.5650000;13.6900000;114400
20130212;000000;13.6500000;14.0000000;13.0500000;13.2000000;31500
20130213;000000;13.3230000;13.8400000;13.0000000;13.2000000;202000
20130214;000000;13.2480000;13.2480000;12.7810000;12.8000000;20800
20130215;000000;12.5410000;13.2000000;12.5010000;13.1980000;24500
20130218;000000;13.0100000;13.1490000;12.8500000;13.0000000;10400
20130219;000000;12.7800000;14.0000000;12.5030000;13.9980000;320500
20130220;000000;13.9750000;14.0000000;13.3030000;13.8170000;57200
20130221;000000;13.6940000;14.0500000;13.0990000;13.9930000;269500
20130222;000000;13.9990000;14.3490000;13.8090000;14.0190000;11300
20130225;000000;14.0250000;14.0250000;13.5100000;13.9460000;6800
20130226;000000;13.5010000;13.9720000;13.5000000;13.7770000;6200
20130227;000000;13.6010000;13.6820000;13.2510000;13.6770000;12500
20130228;000000;13.7910000;13.7910000;13.2500000;13.5220000;2300
20130301;000000;13.7910000;13.7910000;13.0000000;13.0530000;3600
20130304;000000;12.9910000;13.2000000;12.6620000;13.1000000;6300
20130305;000000;13.0430000;13.4430000;12.7510000;13.4430000;13500
20130306;000000;13.2440000;13.5610000;12.7770000;13.0000000;35900
20130307;000000;13.2310000;13.4780000;13.1990000;13.4780000;600
20130311;000000;12.9990000;13.3650000;12.5800000;12.9640000;153700
20130312;000000;12.8000000;13.1000000;12.8000000;13.1000000;12100
20130313;000000;12.7200000;12.9810000;12.7000000;12.9290000;8700
20130314;000000;12.7010000;13.1880000;12.5000000;13.1880000;24500
20130315;000000;12.8000000;13.1500000;12.8000000;13.1500000;34000
20130318;000000;12.8010000;13.0000000;12.8010000;12.9950000;12100
20130319;000000;12.6980000;12.6980000;12.4450000;12.4450000;1500
20130320;000000;12.9690000;12.9690000;12.5000000;12.8000000;39700
20130321;000000;12.6100000;12.9470000;12.6100000;12.8970000;1900
