<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6080.0000000;6080.0000000;5999.8000000;6025.0000000;78
20130109;000000;5999.9000000;6000.0000000;5950.2000000;6000.0000000;45
20130110;000000;5998.0000000;5998.0000000;5940.1000000;5940.7000000;40
20130111;000000;5940.0000000;5983.9000000;5940.0000000;5983.9000000;27
20130114;000000;5998.8000000;6058.9000000;5971.0000000;6032.7000000;336
20130115;000000;6000.1000000;6020.0000000;6000.0000000;6000.1000000;126
20130116;000000;6000.3000000;6098.5000000;6000.3000000;6069.0000000;73
20130117;000000;6030.1000000;6800.0000000;6030.1000000;6200.2000000;177
20130118;000000;6149.6000000;6349.9000000;6149.6000000;6270.0000000;127
20130121;000000;6222.1000000;6545.0000000;6222.1000000;6545.0000000;51
20130122;000000;6500.0000000;6562.6000000;6490.0000000;6562.6000000;46
20130123;000000;6517.2000000;6580.0000000;6500.2000000;6520.0000000;39
20130124;000000;6569.9000000;6569.9000000;6480.0000000;6499.6000000;72
20130125;000000;6480.1000000;6490.1000000;6060.0000000;6150.0000000;412
20130128;000000;6073.3000000;6369.3000000;6073.2000000;6204.8000000;252
20130129;000000;5550.0000000;6282.1000000;5550.0000000;6160.1000000;87
20130130;000000;6155.0000000;6219.7000000;6000.5000000;6146.5000000;46
20130131;000000;6100.2000000;6199.5000000;6100.0000000;6198.7000000;31
20130201;000000;6199.5000000;6290.0000000;6199.5000000;6228.3000000;311
20130204;000000;6191.8000000;6194.1000000;6004.0000000;6061.5000000;55
20130205;000000;6114.9000000;6199.7000000;6061.0000000;6199.7000000;104
20130206;000000;6167.1000000;6221.3000000;6159.8000000;6159.8000000;24
20130207;000000;6219.6000000;6220.2000000;6060.0000000;6109.9000000;41
20130208;000000;6100.1000000;6173.1000000;6060.4000000;6173.1000000;21
20130211;000000;6041.4000000;6172.8000000;6010.3000000;6132.1000000;55
20130212;000000;5967.9000000;6098.5000000;5950.0000000;6015.1000000;151
20130213;000000;6000.1000000;6033.0000000;6000.0000000;6033.0000000;45
20130214;000000;6079.7000000;6079.8000000;5878.4000000;6049.9000000;160
20130215;000000;6048.0000000;6048.0000000;5841.3000000;5905.1000000;113
20130218;000000;6000.0000000;6014.9000000;5967.1000000;6000.0000000;69
20130219;000000;5944.1000000;6006.0000000;5941.4000000;5981.0000000;34
20130220;000000;5985.9000000;6042.8000000;5952.2000000;5976.8000000;15
20130221;000000;5999.9000000;5999.9000000;5955.0000000;5999.8000000;58
20130222;000000;5999.6000000;6087.9000000;5970.2000000;5984.4000000;48
20130225;000000;5991.7000000;6002.9000000;5950.0000000;6002.9000000;39
20130226;000000;6004.0000000;6004.0000000;5900.1000000;5927.0000000;156
20130227;000000;5995.8000000;6462.7000000;5936.4000000;6079.9000000;203
20130228;000000;6079.1000000;6079.1000000;6040.0000000;6040.1000000;138
20130301;000000;6040.1000000;6040.1000000;5860.0000000;5950.0000000;69
20130304;000000;5910.1000000;5910.1000000;5900.0000000;5900.0000000;30
20130305;000000;5944.9000000;5944.9000000;5900.1000000;5920.0000000;23
20130306;000000;5901.0000000;5959.0000000;5900.0000000;5925.0000000;35
20130307;000000;5978.0000000;5978.0000000;5925.0000000;5931.9000000;101
20130311;000000;6059.0000000;6059.0000000;5900.2000000;5919.5000000;68
20130312;000000;5931.9000000;5933.2000000;5870.2000000;5900.0000000;77
20130313;000000;5897.1000000;5897.1000000;5510.0000000;5649.9000000;1773
20130314;000000;5600.0000000;5600.0000000;5499.0000000;5514.9000000;299
20130315;000000;5529.9000000;5565.0000000;5401.0000000;5529.8000000;93
20130318;000000;5401.1000000;5553.0000000;5401.1000000;5450.0000000;79
20130319;000000;5410.8000000;5525.0000000;5410.8000000;5502.5000000;66
20130320;000000;5537.9000000;5537.9000000;5450.0000000;5511.5000000;182
20130321;000000;5401.3000000;5501.8000000;5300.0000000;5300.0000000;169
20130322;000000;5300.1000000;5369.9000000;5285.0000000;5350.1000000;223
20130325;000000;5499.0000000;5549.9000000;5324.5000000;5389.6000000;49
20130326;000000;5211.4000000;5404.9000000;5211.4000000;5318.2000000;81
20130327;000000;5397.5000000;5419.9000000;5302.4000000;5360.0000000;153
20130328;000000;5408.8000000;5449.5000000;5305.1000000;5449.5000000;257
20130329;000000;5449.9000000;5549.9000000;5407.4000000;5500.0000000;129
20130401;000000;5548.6000000;5569.8000000;5548.6000000;5569.8000000;176
20130402;000000;5500.0000000;5502.8000000;5359.6000000;5460.0000000;35
20130403;000000;5401.1000000;5589.8000000;5401.1000000;5555.0000000;106
20130404;000000;5589.6000000;5639.9000000;5570.0000000;5575.1000000;95
20130405;000000;5649.7000000;5700.0000000;5550.0000000;5680.0000000;141
20130408;000000;5731.4000000;5793.8000000;5610.0000000;5610.0000000;50
20130409;000000;5666.6000000;5666.6000000;5658.3000000;5658.3000000;3
20130410;000000;5630.0000000;5762.0000000;5600.0000000;5602.0000000;111
20130411;000000;5588.8000000;5665.1000000;5588.8000000;5665.1000000;20
20130412;000000;5625.0000000;5625.0000000;5424.5000000;5499.7000000;121
20130415;000000;5456.6000000;5555.0000000;5360.1000000;5490.0000000;285
20130416;000000;5478.6000000;5479.0000000;5400.0000000;5405.2000000;151
20130417;000000;5400.0000000;5400.0000000;5349.3000000;5400.0000000;213
20130418;000000;5303.2000000;5499.0000000;5303.2000000;5499.0000000;32
20130419;000000;5369.6000000;5457.0000000;5012.0000000;5457.0000000;45
20130422;000000;5350.0000000;5360.0000000;5350.0000000;5360.0000000;8
20130423;000000;5250.0000000;5430.2000000;5250.0000000;5430.2000000;8
20130424;000000;5433.5000000;5499.3000000;5433.1000000;5433.2000000;17
20130425;000000;5498.0000000;5499.9000000;5401.7000000;5470.0000000;20
20130426;000000;5300.0000000;5470.0000000;5300.0000000;5385.3000000;51
20130429;000000;5469.8000000;5470.0000000;5393.9000000;5470.0000000;23
20130430;000000;5300.0000000;5505.0000000;5300.0000000;5432.3000000;91
20130502;000000;5430.3000000;5430.3000000;5410.0000000;5425.5000000;61
20130503;000000;5500.0000000;5500.0000000;5425.0000000;5430.0000000;35
20130506;000000;5430.0000000;5434.1000000;5353.4000000;5400.0000000;14
20130507;000000;5421.5000000;5470.3000000;5369.9000000;5448.5000000;30
20130508;000000;5314.5000000;5494.9000000;5314.5000000;5400.0000000;70
20130510;000000;5348.5000000;5579.7000000;5348.5000000;5424.5000000;22
20130513;000000;5202.8000000;5400.0000000;5202.8000000;5400.0000000;56
20130514;000000;5063.2000000;5524.0000000;5060.0000000;5332.3000000;161
20130515;000000;5353.1000000;5375.1000000;5325.0000000;5364.9000000;95
20130516;000000;5384.5000000;5388.9000000;5305.8000000;5376.9000000;12
20130517;000000;5357.3000000;5432.2000000;5357.3000000;5432.2000000;7
20130520;000000;5114.1000000;5370.0000000;5114.1000000;5226.3000000;87
20130521;000000;5324.4000000;5373.2000000;5324.4000000;5373.2000000;7
20130522;000000;5414.6000000;5499.9000000;5375.0000000;5499.0000000;269
20130523;000000;5405.0000000;5499.9000000;5405.0000000;5499.9000000;24
20130524;000000;5498.0000000;5498.0000000;5435.0000000;5450.0000000;20
20130527;000000;5457.9000000;5457.9000000;5324.1000000;5390.0000000;31
20130528;000000;5400.0000000;5430.0000000;5349.4000000;5400.0000000;70
20130529;000000;5399.9000000;5425.0000000;5398.0000000;5425.0000000;10
20130530;000000;5449.0000000;5449.0000000;5449.0000000;5449.0000000;5
20130531;000000;5389.0000000;5499.8000000;5389.0000000;5469.6000000;35
20130603;000000;5399.8000000;5399.8000000;5399.8000000;5399.8000000;12
20130604;000000;5433.0000000;5433.0000000;5400.0000000;5400.0000000;36
20130605;000000;5385.0000000;5402.0000000;5384.9000000;5402.0000000;10
20130606;000000;5384.9000000;5384.9000000;5300.4000000;5332.1000000;18
20130607;000000;5359.8000000;5384.8000000;5300.4000000;5384.8000000;56
20130610;000000;5330.5000000;5330.5000000;5330.5000000;5330.5000000;1
20130611;000000;5325.7000000;5343.9000000;5254.1000000;5343.9000000;7
20130613;000000;5349.8000000;5349.9000000;5250.0000000;5296.6000000;130
20130614;000000;5271.9000000;5341.0000000;5250.1000000;5296.8000000;38
20130617;000000;5330.0000000;5330.0000000;5284.3000000;5321.0000000;8
20130618;000000;5268.9000000;5349.8000000;5268.9000000;5309.8000000;72
