<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;1798.0000000;1820.7000000;1785.0000000;1785.0000000;19
20130109;000000;1774.4000000;1780.0000000;1767.0000000;1767.0000000;38
20130110;000000;1781.6000000;1781.6000000;1764.1000000;1764.1000000;101
20130111;000000;1777.6000000;1779.9000000;1766.0000000;1766.0000000;76
20130114;000000;1780.0000000;1788.7000000;1774.6000000;1774.6000000;412
20130115;000000;1789.4000000;1789.6000000;1778.0000000;1778.8000000;48
20130116;000000;1765.6000000;1840.0000000;1765.6000000;1802.0000000;1705
20130117;000000;1805.1000000;1887.8000000;1785.0000000;1811.7000000;6970
20130118;000000;1811.0000000;1839.8000000;1811.0000000;1835.0000000;168
20130121;000000;1858.0000000;1899.0000000;1840.0000000;1880.0000000;2391
20130122;000000;1852.1000000;1878.4000000;1841.1000000;1841.1000000;129
20130123;000000;1880.0000000;1880.1000000;1840.0000000;1842.0000000;569
20130124;000000;1869.6000000;1869.6000000;1840.0000000;1854.9000000;64
20130125;000000;1840.3000000;1854.3000000;1785.5000000;1800.0000000;546
20130128;000000;1800.8000000;1830.0000000;1800.0000000;1815.5000000;948
20130129;000000;1815.0000000;1817.0000000;1804.1000000;1808.1000000;22
20130130;000000;1814.9000000;1844.0000000;1814.9000000;1829.4000000;1887
20130131;000000;1809.2000000;1817.8000000;1800.0000000;1817.8000000;61
20130201;000000;1800.1000000;1839.9000000;1800.0000000;1839.8000000;156
20130204;000000;1830.4000000;1830.4000000;1805.8000000;1827.0000000;95
20130205;000000;1808.1000000;1848.8000000;1808.1000000;1833.0000000;271
20130206;000000;1830.0000000;1830.0000000;1829.1000000;1829.1000000;36
20130207;000000;1830.0000000;1837.9000000;1811.0000000;1837.9000000;34
20130208;000000;1820.0000000;1820.3000000;1814.9000000;1819.9000000;23
20130211;000000;1830.6000000;1830.6000000;1816.1000000;1829.7000000;46
20130212;000000;1800.2000000;1827.7000000;1800.0000000;1801.0000000;142
20130213;000000;1820.9000000;1821.0000000;1805.1000000;1814.2000000;191
20130214;000000;1813.7000000;1813.8000000;1785.1000000;1785.1000000;177
20130215;000000;1802.7000000;1802.7000000;1745.1000000;1777.2000000;322
20130218;000000;1751.1000000;1777.3000000;1750.5000000;1776.5000000;65
20130219;000000;1776.5000000;1818.9000000;1776.5000000;1815.0000000;221
20130220;000000;1816.0000000;1816.0000000;1798.0000000;1798.0000000;43
20130221;000000;1771.0000000;1786.0000000;1749.2000000;1750.0000000;85
20130222;000000;1779.8000000;1779.8000000;1750.2000000;1760.6000000;68
20130225;000000;1791.0000000;1799.9000000;1757.8000000;1781.5000000;43
20130226;000000;1789.7000000;1789.7000000;1760.1000000;1761.7000000;19
20130227;000000;1775.8000000;1815.8000000;1770.1000000;1770.1000000;198
20130228;000000;1791.0000000;1791.1000000;1701.5000000;1765.1000000;239
20130301;000000;1787.4000000;1787.4000000;1739.9000000;1757.2000000;102
20130304;000000;1757.3000000;1781.3000000;1757.3000000;1761.1000000;34
20130305;000000;1755.0000000;1779.9000000;1701.5000000;1777.6000000;339
20130306;000000;1742.1000000;1770.9000000;1731.0000000;1746.4000000;132
20130307;000000;1745.0000000;1767.0000000;1745.0000000;1762.7000000;49
20130311;000000;1766.9000000;1766.9000000;1766.9000000;1766.9000000;3
20130312;000000;1776.6000000;1776.9000000;1705.5000000;1735.0000000;534
20130313;000000;1723.1000000;1760.0000000;1640.0000000;1661.6000000;6938
20130314;000000;1679.8000000;1679.8000000;1620.0000000;1645.8000000;311
20130315;000000;1658.9000000;1670.0000000;1634.4000000;1646.1000000;438
20130318;000000;1646.5000000;1664.9000000;1630.1000000;1662.3000000;188
20130319;000000;1666.0000000;1679.2000000;1656.0000000;1656.0000000;280
20130320;000000;1655.1000000;1670.6000000;1650.0000000;1670.6000000;134
20130321;000000;1651.1000000;1674.3000000;1635.1000000;1655.7000000;305
20130322;000000;1665.9000000;1700.0000000;1655.0000000;1679.9000000;153
20130325;000000;1660.1000000;1670.1000000;1660.1000000;1670.0000000;45
20130326;000000;1650.0000000;1665.8000000;1620.0000000;1665.8000000;62
20130327;000000;1639.0000000;1690.0000000;1630.0000000;1690.0000000;151
20130328;000000;1631.4000000;1676.9000000;1631.4000000;1665.7000000;35
20130329;000000;1650.0000000;1675.7000000;1650.0000000;1675.7000000;3
20130401;000000;1670.9000000;1675.8000000;1658.1000000;1675.8000000;84
