<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2.5000000;2.5000000;2.5000000;2.5000000;1000
20130110;000000;2.8500000;2.8500000;2.8500000;2.8500000;1000
20130114;000000;2.8000000;2.8000000;2.8000000;2.8000000;3000
20130115;000000;2.8500000;2.8500000;2.8500000;2.8500000;5000
20130116;000000;3.0500000;3.0500000;3.0500000;3.0500000;5000
20130123;000000;3.0499000;3.1500000;3.0499000;3.1500000;106000
20130128;000000;3.0000000;3.0000000;2.9970000;2.9970000;99000
20130129;000000;2.9970000;2.9970000;2.9970000;2.9970000;4000
20130204;000000;3.0650000;3.0650000;3.0650000;3.0650000;4000
20130205;000000;2.8500000;2.8500000;2.8500000;2.8500000;1000
20130211;000000;3.2500000;3.2500000;3.2500000;3.2500000;131000
20130218;000000;3.0000000;3.0000000;3.0000000;3.0000000;10000
20130220;000000;3.4440000;3.4440000;3.3000000;3.3550000;19000
20130221;000000;3.2200000;3.2500000;3.0010000;3.0010000;15000
20130226;000000;3.3500000;4.3400000;3.3500000;4.3400000;2000
20130305;000000;4.9990000;5.2799000;4.9990000;5.2799000;2000
20130306;000000;3.3501000;6.0500000;3.2500000;5.9900000;460000
20130307;000000;6.0000000;6.0500000;6.0000000;6.0000000;164000
20130311;000000;6.0000000;6.0500000;6.0000000;6.0500000;28000
20130312;000000;6.0598000;6.0900000;6.0500000;6.0600000;86000
20130313;000000;6.0800000;6.0800000;6.0650000;6.0800000;42000
20130314;000000;6.0800000;6.1400000;6.0800000;6.1400000;6000
20130315;000000;6.1051000;6.1051000;6.1051000;6.1051000;26000
20130318;000000;6.0832000;6.0840000;6.0831000;6.0840000;115000
20130319;000000;6.0900000;6.0900000;6.0900000;6.0900000;5000
20130321;000000;6.1001000;6.1001000;6.1001000;6.1001000;20000
20130326;000000;6.1011000;6.1056000;6.1011000;6.1056000;63000
20130327;000000;6.1103000;6.1103000;6.1103000;6.1103000;2000
20130329;000000;6.1203000;6.1203000;6.1202000;6.1202000;9000
20130402;000000;6.1351000;6.1351000;6.1351000;6.1351000;34000
20130405;000000;6.1501000;6.1501000;6.1501000;6.1501000;20000
20130409;000000;6.1651000;6.1651000;6.1651000;6.1651000;5000
20130412;000000;6.1800000;6.1800000;6.1701000;6.1701000;18000
20130417;000000;6.2000000;6.2000000;6.2000000;6.2000000;60000
20130418;000000;6.2000000;6.2000000;6.2000000;6.2000000;5000
20130422;000000;6.2100000;6.2100000;6.2100000;6.2100000;10000
20130424;000000;6.2100000;6.2340000;6.2100000;6.2340000;63000
20130425;000000;6.2100000;6.2100000;6.2100000;6.2100000;4000
20130508;000000;6.3500000;6.3500000;6.3500000;6.3500000;429000
20130719;000000;2.7067000;2.7067000;2.7067000;2.7067000;3000
20130722;000000;2.3000000;2.5000000;2.3000000;2.5000000;5000
20130725;000000;3.0000000;3.0000000;3.0000000;3.0000000;2000
20130801;000000;2.0501000;2.5000000;2.0501000;2.5000000;2000
20130827;000000;2.1001000;2.1001000;2.1001000;2.1001000;1000
20130828;000000;2.0001000;2.0001000;2.0001000;2.0001000;1000
20131115;000000;1.8000000;1.8000000;1.8000000;1.8000000;1000
20131202;000000;2.5200000;2.5200000;2.5200000;2.5200000;1000
20131206;000000;3.5200000;3.5200000;3.5200000;3.5200000;1000
20131225;000000;2.1113000;2.1113000;2.1113000;2.1113000;2000
