<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6.6320000;6.8150000;6.6320000;6.7640000;900
20130109;000000;6.6210000;6.6600000;6.6210000;6.6600000;14800
20130110;000000;6.6260000;6.6310000;6.6260000;6.6300000;1600
20130111;000000;6.6990000;6.8000000;6.6990000;6.6990000;228600
20130114;000000;6.6630000;6.8000000;6.6450000;6.7000000;222700
20130115;000000;6.7000000;6.8000000;6.6820000;6.6980000;20800
20130116;000000;6.6670000;6.7000000;6.6100000;6.7000000;133600
20130117;000000;6.7000000;6.7900000;6.6110000;6.7730000;61600
20130118;000000;6.7990000;6.9700000;6.6510000;6.8980000;81000
20130121;000000;6.9990000;7.0000000;6.8000000;6.9900000;66000
20130122;000000;6.9010000;6.9990000;6.8200000;6.9900000;73800
20130123;000000;6.9990000;6.9990000;6.8210000;6.9490000;145300
20130124;000000;6.9710000;6.9710000;6.7910000;6.8000000;67100
20130125;000000;6.8100000;6.9380000;6.7500000;6.8000000;233000
20130128;000000;6.8100000;6.9000000;6.6600000;6.6720000;160400
20130129;000000;6.6610000;6.7490000;6.6000000;6.6000000;211300
20130130;000000;6.6500000;6.6500000;6.5120000;6.5200000;91300
20130131;000000;6.5030000;6.5030000;6.2650000;6.3360000;348900
20130201;000000;6.3610000;6.4000000;6.2500000;6.3970000;117100
20130204;000000;6.4590000;6.4800000;6.3340000;6.3990000;6700
20130205;000000;6.4260000;6.5500000;6.3320000;6.5500000;144800
20130206;000000;6.7960000;6.8370000;6.4110000;6.4600000;614700
20130207;000000;6.6000000;6.6000000;6.4000000;6.5790000;68900
20130208;000000;6.4990000;6.5980000;6.4000000;6.4820000;106200
20130211;000000;6.5000000;6.5000000;6.3800000;6.3800000;31700
20130212;000000;6.3710000;6.4670000;6.2500000;6.2990000;46700
20130213;000000;6.2990000;6.6000000;6.2700000;6.5000000;273200
20130214;000000;6.5470000;6.5700000;5.5000000;6.5000000;275300
20130215;000000;6.5370000;6.5370000;6.3500000;6.3810000;207600
20130218;000000;6.4760000;6.4760000;6.3430000;6.3900000;38800
20130219;000000;6.3980000;6.4000000;6.3520000;6.3980000;45100
20130220;000000;6.3600000;6.4000000;6.3000000;6.3970000;54000
20130221;000000;6.3020000;6.3500000;6.1600000;6.3500000;80800
20130222;000000;6.2550000;6.3600000;6.2010000;6.3570000;16300
20130225;000000;6.3600000;6.3900000;6.2380000;6.3820000;7000
20130226;000000;6.4760000;6.4760000;6.2310000;6.2970000;21600
20130227;000000;6.2680000;6.3000000;6.2300000;6.2300000;95200
20130228;000000;6.3280000;6.3280000;6.0910000;6.1990000;72600
20130301;000000;6.3390000;6.3390000;5.9990000;6.1990000;173800
20130304;000000;6.1510000;6.1890000;6.0120000;6.1890000;160800
20130305;000000;6.2090000;6.3270000;6.1000000;6.2500000;19400
20130306;000000;6.2010000;6.2800000;6.1820000;6.1820000;58100
20130307;000000;6.1510000;6.1890000;6.0990000;6.1730000;11900
20130311;000000;6.2300000;6.2940000;6.1100000;6.1800000;151200
20130312;000000;6.2290000;6.2290000;6.1520000;6.1690000;9700
20130313;000000;6.1000000;6.1300000;6.0600000;6.1270000;6800
20130314;000000;6.1490000;6.1920000;6.0510000;6.1920000;36400
20130315;000000;6.1920000;6.2720000;6.1300000;6.2000000;95100
20130318;000000;6.0820000;6.1500000;6.0100000;6.1080000;43800
20130319;000000;6.1490000;6.1490000;6.0610000;6.0610000;8400
20130320;000000;6.0350000;6.1190000;6.0350000;6.1190000;25100
20130321;000000;6.0990000;6.1300000;6.0360000;6.1280000;10000
20130322;000000;6.1200000;6.1200000;5.9810000;6.0140000;64300
20130325;000000;6.0020000;6.0680000;5.9010000;5.9970000;10200
20130326;000000;5.9000000;5.9500000;5.6500000;5.7990000;141100
20130327;000000;5.7900000;5.8440000;5.6000000;5.6960000;68300
20130328;000000;5.6240000;5.8100000;5.6000000;5.8100000;94500
20130329;000000;5.8700000;6.0970000;5.8500000;5.9490000;653400
20130401;000000;5.8610000;6.0170000;5.7000000;5.8500000;24900
20130402;000000;5.8990000;5.9000000;5.7500000;5.7520000;27100
20130403;000000;5.7100000;5.7770000;5.5000000;5.5250000;377900
20130404;000000;5.4650000;5.8240000;5.4600000;5.4600000;71100
20130405;000000;5.5020000;5.5540000;5.2690000;5.3240000;79300
20130408;000000;5.4190000;5.4490000;5.1830000;5.2800000;96400
20130409;000000;5.2000000;5.2300000;5.0000000;5.1000000;202900
20130410;000000;5.1700000;5.2490000;5.1000000;5.2490000;45400
20130411;000000;5.1700000;5.3000000;4.9000000;5.3000000;171700
20130412;000000;5.2490000;5.2490000;4.9600000;5.0020000;58000
