<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;575.0000000;600.0000000;570.0000000;572.5000000;9757
20130109;000000;573.5000000;578.4000000;570.0000000;576.8000000;2811
20130110;000000;572.1000000;581.0000000;572.0000000;576.6000000;8067
20130111;000000;581.0000000;602.8000000;579.0000000;596.2000000;31459
20130114;000000;600.0000000;626.0000000;598.0000000;625.8000000;38075
20130115;000000;625.3000000;664.0000000;619.0000000;662.7000000;53440
20130116;000000;660.0000000;678.5000000;659.4000000;660.1000000;19043
20130117;000000;659.6000000;664.1000000;632.5000000;660.0000000;8891
20130118;000000;662.5000000;669.2000000;657.3000000;668.0000000;11377
20130121;000000;667.5000000;674.5000000;656.0000000;659.9000000;8714
20130122;000000;656.7000000;661.1000000;643.3000000;649.6000000;7610
20130123;000000;646.0000000;657.0000000;637.3000000;641.6000000;15017
20130124;000000;639.0000000;639.0000000;630.0000000;637.0000000;8963
20130125;000000;638.0000000;653.0000000;637.5000000;652.0000000;5682
20130128;000000;651.0000000;680.0000000;644.0000000;678.8000000;22025
20130129;000000;674.9000000;698.4000000;662.0000000;692.5000000;18016
20130130;000000;693.5000000;709.8000000;684.0000000;693.9000000;40142
20130131;000000;693.0000000;709.9000000;689.0000000;706.3000000;31577
20130201;000000;706.0000000;715.0000000;696.3000000;701.9000000;23936
20130204;000000;700.1000000;717.0000000;696.4000000;715.0000000;18865
20130205;000000;710.0000000;725.0000000;690.0000000;720.0000000;27316
20130206;000000;719.9000000;724.9000000;694.5000000;694.9000000;15892
20130207;000000;692.4000000;692.4000000;671.0000000;677.4000000;8387
20130208;000000;681.8000000;681.8000000;673.1000000;677.5000000;8783
20130211;000000;678.4000000;678.5000000;670.1000000;671.1000000;8685
20130212;000000;664.4000000;671.2000000;633.0000000;666.9000000;13506
20130213;000000;669.0000000;699.8000000;666.9000000;685.0000000;23913
20130214;000000;685.0000000;685.1000000;660.6000000;672.8000000;29130
20130215;000000;666.0000000;695.8000000;651.5000000;691.9000000;28606
20130218;000000;685.3000000;698.0000000;677.1000000;684.0000000;14221
20130219;000000;680.0000000;680.0000000;661.5000000;673.0000000;9706
20130220;000000;689.5000000;689.5000000;660.0000000;661.0000000;11151
20130221;000000;658.1000000;660.9000000;648.0000000;651.8000000;18651
20130222;000000;650.0000000;654.9000000;648.4000000;653.0000000;6985
20130225;000000;652.1000000;667.8000000;648.1000000;660.9000000;8193
20130226;000000;659.7000000;659.7000000;645.2000000;653.8000000;9277
20130227;000000;656.0000000;663.8000000;648.0000000;651.0000000;4380
20130228;000000;660.0000000;675.0000000;652.1000000;664.9000000;8820
20130301;000000;660.1000000;665.0000000;646.0000000;662.9000000;7080
20130304;000000;658.9000000;666.0000000;646.1000000;651.9000000;3429
20130305;000000;654.7000000;660.0000000;635.1000000;646.0000000;10086
20130306;000000;650.0000000;662.3000000;646.3000000;654.9000000;29435
20130307;000000;656.0000000;657.4000000;650.0000000;651.3000000;4986
20130311;000000;651.3000000;660.8000000;650.2000000;660.8000000;9829
20130312;000000;661.0000000;664.8000000;654.6000000;662.5000000;6462
20130313;000000;660.3000000;667.8000000;648.7000000;650.0000000;10013
20130314;000000;650.0000000;660.0000000;646.5000000;652.9000000;6958
20130315;000000;656.0000000;656.0000000;631.0000000;631.1000000;17817
20130318;000000;629.6000000;629.6000000;601.4000000;607.3000000;19671
20130319;000000;603.6000000;607.9000000;594.5000000;595.1000000;17877
20130320;000000;600.5000000;600.5000000;580.1000000;590.5000000;20278
20130321;000000;590.1000000;600.7000000;580.5000000;598.9000000;6845
20130322;000000;593.2000000;599.8000000;582.5000000;594.8000000;3795
20130325;000000;595.8000000;599.9000000;571.1000000;577.0000000;6388
20130326;000000;576.0000000;588.9000000;555.0000000;586.0000000;14233
20130327;000000;585.2000000;590.0000000;557.6000000;580.2000000;21703
20130328;000000;582.9000000;585.6000000;564.0000000;584.0000000;9954
20130329;000000;585.2000000;585.3000000;576.0000000;577.0000000;3055
20130401;000000;579.0000000;582.0000000;570.0000000;578.0000000;30438
20130402;000000;573.7000000;582.0000000;564.3000000;572.1000000;1913
20130403;000000;574.9000000;594.3000000;562.5000000;580.4000000;5299
