<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;3.6700000;3.6700000;3.3000000;3.5930000;6000
20130109;000000;3.5320000;3.5320000;3.5320000;3.5320000;1000
20130111;000000;3.2081000;3.3990000;3.0565000;3.3380000;118000
20130114;000000;3.2516000;3.2690000;3.1551000;3.2690000;11000
20130115;000000;3.3000000;3.3299000;3.1500000;3.2200000;109000
20130116;000000;3.2933000;3.2933000;3.1203000;3.1975000;4000
20130117;000000;3.3033000;3.3033000;3.2900000;3.2900000;2000
20130118;000000;3.1900000;3.3868000;3.1900000;3.3868000;111000
20130121;000000;3.3932000;3.3932000;3.3932000;3.3932000;1000
20130122;000000;3.1901000;3.2989000;3.1901000;3.2989000;2000
20130124;000000;3.1105000;4.2995000;3.1005000;4.0000000;262000
20130125;000000;3.4500000;4.0000000;3.4000000;4.0000000;243000
20130128;000000;4.0000000;4.0000000;3.9500000;3.9500000;2000
20130129;000000;3.9000000;4.3000000;3.9000000;3.9999000;6000
20130130;000000;3.4000000;3.9936000;3.4000000;3.9936000;40000
20130131;000000;3.9998000;3.9998000;3.5812000;3.9100000;15000
20130201;000000;4.0000000;4.2390000;4.0000000;4.2390000;2000
20130204;000000;3.6240000;3.8504000;3.5300000;3.7853000;22000
20130205;000000;3.9000000;3.9900000;3.4500000;3.6840000;99000
20130206;000000;3.6513000;3.7484000;3.5499000;3.7484000;47000
20130207;000000;3.7263000;3.8908000;3.7263000;3.8908000;3000
20130208;000000;3.6500000;3.8872000;3.5076000;3.7947000;142000
20130211;000000;4.0000000;4.1900000;3.6518000;3.9900000;11000
20130212;000000;3.8999000;3.8999000;3.5440000;3.5500000;129000
20130213;000000;3.6500000;3.7320000;3.4000000;3.5000000;165000
20130214;000000;3.5944000;3.5944000;3.5944000;3.5944000;1000
20130215;000000;3.5647000;3.5647000;3.5500000;3.5500000;3000
20130218;000000;3.5000000;3.5999000;3.1548000;3.4999000;59000
20130219;000000;3.5526000;3.5526000;3.5526000;3.5526000;1000
20130220;000000;3.6285000;3.6285000;3.3000000;3.3000000;17000
20130221;000000;3.3000000;3.3993000;3.3000000;3.3993000;2000
20130222;000000;3.3661000;3.3661000;3.3661000;3.3661000;1000
20130225;000000;3.3000000;3.3827000;3.0501000;3.1997000;121000
20130226;000000;3.0257000;3.1278000;2.8555000;2.9999000;39000
20130227;000000;3.1990000;3.1990000;3.0000000;3.0000000;3000
20130228;000000;3.1698000;3.2500000;2.8334000;3.2500000;228000
20130301;000000;3.2990000;3.4699000;3.1000000;3.1000000;10000
20130304;000000;3.1500000;3.1500000;3.1500000;3.1500000;1000
20130305;000000;2.9011000;3.2497000;2.8495000;3.0499000;8000
20130306;000000;2.9009000;3.2468000;2.9000000;2.9000000;38000
20130307;000000;3.2457000;3.2457000;3.2457000;3.2457000;1000
20130311;000000;2.8527000;3.0795000;2.8526000;3.0000000;16000
20130312;000000;2.9197000;3.0099000;2.9197000;3.0099000;2000
20130313;000000;3.1826000;3.1826000;2.7710000;2.8500000;15000
20130314;000000;2.9172000;2.9172000;2.7518000;2.9160000;8000
20130315;000000;2.9160000;2.9160000;2.9160000;2.9160000;1000
20130318;000000;2.8000000;2.8500000;2.8000000;2.8500000;36000
20130319;000000;2.9899000;2.9899000;2.8500000;2.8500000;9000
20130320;000000;2.7472000;2.9000000;2.7472000;2.9000000;11000
20130321;000000;2.8500000;2.8500000;2.5798000;2.7500000;8000
20130322;000000;2.6575000;2.7301000;2.5753000;2.7301000;6000
20130327;000000;2.8142000;2.8142000;2.3754000;2.3754000;2000
20130328;000000;2.8000000;2.9842000;2.0300000;2.2498000;82000
20130329;000000;2.4713000;2.4713000;2.1005000;2.4558000;176000
20130401;000000;2.4499000;2.4500000;2.4490000;2.4500000;65000
20130402;000000;2.5499000;2.5499000;2.1973000;2.5477000;4000
20130403;000000;2.6706000;2.6706000;2.2015000;2.2501000;114000
20130404;000000;2.4182000;2.4182000;2.2500000;2.2500000;45000
20130405;000000;2.3999000;2.4897000;2.3999000;2.4897000;21000
20130408;000000;2.3001000;2.4872000;2.3000000;2.3993000;358000
20130411;000000;2.0072000;2.2494000;1.8900000;2.2494000;84000
20130412;000000;1.9296000;2.2322000;1.9296000;2.2322000;2000
20130415;000000;1.9208000;1.9998000;1.9150000;1.9998000;35000
20130416;000000;1.9590000;1.9600000;1.9589000;1.9600000;23000
20130418;000000;1.9000000;1.9000000;1.9000000;1.9000000;1000
20130423;000000;1.8952000;2.1995000;1.8905000;2.1995000;3000
20130424;000000;1.9003000;2.2992000;1.9003000;2.2992000;2000
20130425;000000;2.0999000;2.2000000;2.0999000;2.2000000;136000
20130426;000000;2.4000000;2.4000000;1.9642000;2.2797000;3000
