<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;10.5960000;10.8290000;10.5500000;10.7390000;22218200
20130109;000000;10.7390000;10.8400000;10.7100000;10.7560000;11291800
20130110;000000;10.8110000;11.1480000;10.7810000;11.0910000;32065700
20130111;000000;11.1030000;11.2070000;11.0100000;11.0790000;14333100
20130114;000000;11.1300000;11.3750000;11.1110000;11.3690000;26277100
20130115;000000;11.3000000;11.3440000;11.0620000;11.0990000;20639200
20130116;000000;11.1200000;11.2190000;11.0270000;11.1880000;13256700
20130117;000000;11.1560000;11.4100000;11.1500000;11.4000000;14538100
20130118;000000;11.5220000;11.5710000;11.4250000;11.4400000;13302000
20130121;000000;11.4200000;11.5300000;11.3310000;11.4330000;6433400
20130122;000000;11.4300000;11.5260000;11.2440000;11.2590000;12595900
20130123;000000;11.2810000;11.3440000;11.2600000;11.2940000;7701600
20130124;000000;11.2690000;11.2690000;11.0800000;11.1730000;10923800
20130125;000000;11.1450000;11.2400000;11.1040000;11.1520000;6929900
20130128;000000;11.1920000;11.3200000;11.1920000;11.2190000;7283000
20130129;000000;11.2050000;11.3170000;10.8800000;10.9130000;17273000
20130130;000000;11.0000000;11.0230000;10.6510000;10.7640000;28778400
20130131;000000;10.7100000;10.8100000;10.5500000;10.7910000;17595600
20130201;000000;10.8500000;10.8970000;10.6510000;10.6880000;8966100
20130204;000000;10.7390000;10.8400000;10.4000000;10.4990000;15840900
20130205;000000;10.4440000;10.6880000;10.4200000;10.6050000;12398600
20130206;000000;10.6670000;10.6930000;10.4520000;10.4760000;7574700
20130207;000000;10.5000000;10.5350000;10.3060000;10.3110000;13500900
20130208;000000;10.3200000;10.3600000;10.1510000;10.2120000;11560800
20130211;000000;10.2460000;10.2770000;10.1000000;10.1500000;6452300
20130212;000000;10.2500000;10.2600000;10.0600000;10.0690000;7917300
20130213;000000;10.1000000;10.4400000;10.0880000;10.4040000;13765400
20130214;000000;10.3780000;10.5400000;10.2540000;10.2660000;11160900
20130215;000000;10.2680000;10.3410000;10.1150000;10.2890000;5954000
20130218;000000;10.2900000;10.2900000;10.1200000;10.2340000;3018100
20130219;000000;10.2200000;10.3420000;10.1750000;10.3100000;4129900
20130220;000000;10.3490000;10.4470000;10.1970000;10.2130000;6625400
20130221;000000;10.1110000;10.1110000;9.9350000;9.9500000;13956200
20130222;000000;10.0030000;10.0360000;9.9500000;9.9700000;4448000
20130225;000000;10.0030000;10.1150000;9.9610000;10.0400000;4128100
20130226;000000;9.9400000;10.0350000;9.8940000;10.0000000;4853800
20130227;000000;10.0160000;10.0410000;9.9370000;9.9880000;3621100
20130228;000000;10.0800000;10.1190000;9.8530000;9.8840000;8354100
20130301;000000;9.8650000;9.8650000;9.6560000;9.6700000;10931700
20130304;000000;9.6000000;9.6220000;9.4270000;9.4890000;10954700
20130305;000000;9.5320000;9.5940000;9.4550000;9.5840000;7377500
20130306;000000;9.6300000;9.7800000;9.5930000;9.6900000;8073000
20130307;000000;9.7200000;9.7500000;9.4800000;9.5170000;5603100
20130311;000000;9.6180000;9.6700000;9.5550000;9.5600000;6209100
20130312;000000;9.5660000;9.5960000;9.5060000;9.5500000;4283500
20130313;000000;9.5020000;9.5900000;9.3870000;9.3880000;9327500
20130314;000000;9.3990000;9.4270000;9.2570000;9.3230000;7917800
20130315;000000;9.3700000;9.4240000;9.2250000;9.2540000;7925000
20130318;000000;9.1190000;9.1190000;9.0010000;9.0260000;14291400
20130319;000000;9.0410000;9.1190000;8.9350000;9.0600000;14327300
20130320;000000;9.0600000;9.0760000;8.8500000;8.8890000;16190800
20130321;000000;8.9170000;9.0300000;8.8020000;8.9000000;15665500
20130322;000000;8.8900000;8.9320000;8.7520000;8.7610000;8297000
20130325;000000;8.8380000;8.9390000;8.5790000;8.5810000;11449600
20130326;000000;8.6480000;8.6490000;8.0320000;8.2000000;24857200
20130327;000000;8.2600000;8.3480000;8.0750000;8.2250000;12208600
20130328;000000;8.2350000;8.3700000;8.1500000;8.2700000;6430000
20130329;000000;8.3310000;8.4800000;8.2870000;8.3590000;7580400
20130401;000000;8.3590000;8.3850000;8.2160000;8.2800000;4071400
20130402;000000;8.2800000;8.3250000;8.1640000;8.2110000;6585000
20130403;000000;8.3400000;8.3590000;7.8960000;7.8990000;15625700
20130404;000000;7.8550000;8.1620000;7.7700000;7.9190000;18087500
20130405;000000;7.8880000;8.0500000;7.7740000;7.8110000;11783400
20130408;000000;7.8510000;7.9850000;7.6030000;7.6700000;12581300
20130409;000000;7.7300000;7.8300000;7.5800000;7.6760000;21362400
20130410;000000;7.7750000;7.9200000;7.7100000;7.8630000;17047500
20130411;000000;7.9500000;8.0190000;7.4240000;7.5250000;27423700
20130412;000000;7.4990000;7.6100000;7.2410000;7.3190000;17884900
20130415;000000;7.3000000;7.3040000;6.7000000;6.8700000;25657700
20130416;000000;6.7850000;7.1410000;6.7220000;7.0000000;13493400
20130417;000000;7.0500000;7.0960000;6.8360000;6.9030000;13681600
20130418;000000;6.8900000;7.0500000;6.8350000;6.9200000;8864200
20130419;000000;6.9890000;7.0560000;6.9500000;7.0180000;10040100
20130422;000000;7.0770000;7.2700000;6.8900000;6.9150000;15102800
20130423;000000;6.9250000;7.2700000;6.7500000;6.9870000;23907500
20130424;000000;7.0700000;7.2990000;7.0550000;7.2600000;16491200
20130425;000000;7.3200000;7.4770000;7.2000000;7.3020000;20543900
20130426;000000;7.3410000;7.4940000;7.2460000;7.3250000;14419300
20130429;000000;7.3270000;7.4300000;7.2070000;7.2600000;5637200
20130430;000000;7.3100000;7.4800000;7.2610000;7.3300000;11498500
20130502;000000;7.2870000;7.4290000;7.2420000;7.3370000;6476000
20130503;000000;7.4100000;7.6930000;7.3130000;7.4680000;12953400
20130506;000000;7.5030000;7.6390000;7.4500000;7.5980000;13747600
20130507;000000;7.5980000;7.7890000;7.5150000;7.7020000;16487800
20130508;000000;7.7060000;7.9750000;7.5650000;7.9000000;16500400
20130510;000000;7.9150000;8.1500000;7.8510000;7.8810000;6761300
20130513;000000;7.8980000;7.8980000;7.6120000;7.6650000;9518000
20130514;000000;7.6650000;7.8450000;7.5230000;7.5710000;12021000
20130515;000000;7.6460000;7.7390000;7.4600000;7.4920000;10980700
20130516;000000;7.5500000;7.5660000;7.2600000;7.2880000;9423900
20130517;000000;7.2910000;7.5390000;7.2200000;7.4940000;6789600
20130520;000000;7.5410000;7.6950000;7.5110000;7.5440000;4205800
20130521;000000;7.5630000;7.7900000;7.4730000;7.6860000;6901600
20130522;000000;7.7070000;7.9470000;7.6790000;7.8660000;7567700
20130523;000000;7.6750000;7.7000000;7.4400000;7.4590000;6246000
20130524;000000;7.5090000;7.5340000;7.3200000;7.3500000;5063600
20130527;000000;7.3990000;7.5890000;7.3660000;7.4420000;3853900
20130528;000000;7.5120000;7.6650000;7.4630000;7.5460000;6518300
20130529;000000;7.6000000;7.6260000;7.3700000;7.3960000;9469700
20130530;000000;7.3920000;7.4950000;7.2740000;7.3370000;4806200
20130531;000000;7.4000000;7.4850000;7.1600000;7.2300000;7811700
20130603;000000;7.1580000;7.2220000;7.0700000;7.1460000;5311100
20130604;000000;7.2160000;7.3540000;7.1900000;7.3220000;4720900
20130605;000000;7.2810000;7.3490000;7.2010000;7.2460000;6597800
20130606;000000;7.2010000;7.3240000;7.1250000;7.3100000;9143400
20130607;000000;7.3270000;7.4280000;7.2180000;7.3800000;14709700
20130610;000000;7.3910000;7.4720000;7.3520000;7.4190000;5389200
20130611;000000;7.3800000;7.5000000;7.3000000;7.3510000;8637500
20130613;000000;7.2530000;7.3050000;7.1590000;7.2850000;7003600
20130614;000000;7.4600000;7.4700000;7.2300000;7.2850000;9270200
20130617;000000;7.2890000;7.4060000;7.2250000;7.2750000;5694500
20130618;000000;7.3110000;7.4350000;7.2500000;7.3930000;4645200
20130619;000000;7.3590000;7.4200000;7.2800000;7.3460000;4494200
20130620;000000;7.2620000;7.2800000;7.1120000;7.2170000;6412600
20130621;000000;7.1600000;7.3850000;7.1600000;7.3090000;5377800
20130624;000000;7.3010000;7.4320000;7.2760000;7.3970000;9135700
20130625;000000;7.3990000;7.6200000;7.3990000;7.5260000;9145700
20130626;000000;7.5890000;7.7300000;7.4550000;7.6740000;6829600
20130627;000000;7.7010000;7.7600000;7.4600000;7.4790000;5050400
20130628;000000;7.5010000;7.6460000;7.4290000;7.5500000;4373500
20130701;000000;7.5500000;7.6780000;7.5320000;7.6090000;3704900
20130702;000000;7.6480000;7.7500000;7.5770000;7.7090000;3626700
20130703;000000;7.6880000;7.7590000;7.6010000;7.7500000;3757200
20130704;000000;7.7100000;7.8480000;7.7100000;7.8270000;3265300
20130705;000000;7.8710000;7.9100000;7.7450000;7.8070000;7245500
20130708;000000;7.8180000;7.8360000;7.6740000;7.6950000;3813600
20130709;000000;7.7100000;7.7190000;7.6050000;7.6500000;2344000
20130710;000000;7.6370000;7.6770000;7.5700000;7.6130000;2021200
20130711;000000;7.6560000;7.8980000;7.6560000;7.8950000;6110000
20130712;000000;7.8870000;8.0250000;7.8620000;7.9200000;8314400
20130715;000000;7.9760000;8.1290000;7.9000000;7.9990000;9638300
20130716;000000;8.0000000;8.2000000;7.9680000;8.0800000;6382800
20130717;000000;8.0750000;8.4210000;8.0310000;8.3680000;15985700
20130718;000000;8.3710000;8.6940000;8.2200000;8.2770000;21877700
20130719;000000;8.2760000;8.4800000;8.1640000;8.3950000;11805600
20130722;000000;8.4800000;8.5600000;8.2550000;8.2980000;9325800
20130723;000000;8.3400000;8.4450000;8.2760000;8.3440000;8621600
20130724;000000;8.2940000;8.3500000;8.1810000;8.2010000;5021100
20130725;000000;8.1650000;8.2440000;8.0670000;8.0890000;5827800
20130726;000000;8.1200000;8.1500000;7.9710000;7.9760000;6307700
20130729;000000;8.0000000;8.0700000;7.9550000;8.0300000;2534100
20130730;000000;8.0440000;8.1930000;7.9700000;8.0020000;8574500
20130731;000000;8.0080000;8.0540000;7.6950000;7.6950000;9460500
20130801;000000;7.7400000;7.9270000;7.7340000;7.8800000;8871100
20130802;000000;7.9500000;8.0030000;7.8400000;7.8580000;5757400
20130805;000000;7.8960000;8.0880000;7.7830000;7.9970000;10636600
20130806;000000;7.9500000;8.0700000;7.8850000;7.8990000;4613900
20130807;000000;7.8410000;7.9920000;7.7810000;7.9180000;5213300
20130808;000000;7.9550000;8.0180000;7.8940000;8.0020000;3802900
20130809;000000;8.0260000;8.3200000;7.9890000;8.3070000;13698400
20130812;000000;8.3300000;8.4290000;8.2560000;8.3750000;6375300
20130813;000000;8.4200000;8.5480000;8.3450000;8.4710000;9103100
20130814;000000;8.4860000;8.6250000;8.3410000;8.5980000;10613400
20130815;000000;8.5570000;8.5880000;8.2850000;8.3480000;13370400
20130816;000000;8.3500000;8.4400000;8.3010000;8.3550000;7341000
20130819;000000;8.3070000;8.4020000;8.2250000;8.2820000;5166700
20130820;000000;8.2400000;8.2440000;8.0520000;8.1200000;4726500
20130821;000000;8.1180000;8.4000000;8.0900000;8.1680000;4493800
20130822;000000;8.1480000;8.3970000;8.1100000;8.3760000;4662900
20130823;000000;8.3980000;8.4700000;8.3590000;8.4610000;6793500
20130826;000000;8.4990000;8.5580000;8.3500000;8.3800000;3051700
20130827;000000;8.3010000;8.3580000;8.2300000;8.3410000;4721800
20130828;000000;8.3230000;8.3230000;8.1510000;8.2010000;4636700
20130829;000000;8.2490000;8.3470000;8.0800000;8.1370000;4770100
20130830;000000;8.1730000;8.2090000;7.9680000;8.0290000;4348100
20130902;000000;7.9220000;8.1890000;7.8400000;8.0080000;1965900
20130903;000000;8.0870000;8.1570000;7.9630000;8.0190000;4658100
20130904;000000;8.0420000;8.0420000;7.9730000;8.0070000;1952500
20130905;000000;8.0200000;8.2470000;8.0200000;8.2450000;6040400
20130906;000000;8.2450000;8.4500000;8.1940000;8.2080000;8138300
20130909;000000;8.2580000;8.4310000;8.2360000;8.3200000;6756000
20130910;000000;8.3400000;8.5280000;8.3400000;8.4310000;9483400
20130911;000000;8.4420000;8.5190000;8.3500000;8.3650000;5798700
20130912;000000;8.3950000;8.4380000;8.3150000;8.4050000;6197200
20130913;000000;8.3900000;8.4200000;8.2120000;8.2350000;6683500
20130916;000000;8.3140000;8.4120000;8.2680000;8.3740000;5054100
20130917;000000;8.3500000;8.3860000;8.2210000;8.3860000;3896400
20130918;000000;8.3890000;8.4700000;8.3610000;8.3920000;5297700
20130919;000000;8.4990000;8.6590000;8.3500000;8.3830000;11915400
20130920;000000;8.3430000;8.4260000;8.3110000;8.3240000;4540600
20130923;000000;8.3070000;8.4430000;8.2220000;8.2350000;4948700
20130924;000000;8.2350000;8.3800000;8.2100000;8.2640000;5325700
20130925;000000;8.3040000;8.3700000;8.2590000;8.3360000;6806900
20130926;000000;8.3470000;8.3960000;8.2620000;8.2810000;3343200
20130927;000000;8.2900000;8.3500000;7.9100000;8.0170000;14750300
20130930;000000;7.9200000;8.0200000;7.8800000;7.9280000;7193600
20131001;000000;7.9660000;8.0920000;7.9050000;7.9350000;6502000
20131002;000000;7.9470000;8.0600000;7.9010000;7.9460000;4068100
20131003;000000;7.9340000;8.0040000;7.9030000;7.9400000;5124100
20131004;000000;7.9190000;7.9660000;7.8210000;7.9580000;4276600
20131007;000000;7.9040000;7.9750000;7.8820000;7.9490000;2033900
20131008;000000;7.9490000;8.1100000;7.9490000;8.0970000;7824100
20131009;000000;8.0500000;8.1400000;7.9610000;8.0160000;4725300
20131010;000000;8.0490000;8.1390000;8.0350000;8.0910000;4879100
20131011;000000;8.1200000;8.2150000;8.0910000;8.1180000;4435600
20131014;000000;8.0910000;8.1110000;8.0500000;8.0620000;2004800
20131015;000000;8.1000000;8.1800000;8.0790000;8.1640000;6610300
20131016;000000;8.1500000;8.3390000;8.1080000;8.3250000;12697100
20131017;000000;8.3300000;8.4000000;8.2160000;8.2440000;7737500
20131018;000000;8.2860000;8.4500000;8.2770000;8.3520000;7396400
20131021;000000;8.3820000;8.4400000;8.3100000;8.3500000;4456600
20131022;000000;8.3460000;8.4440000;8.2610000;8.3790000;6550500
20131023;000000;8.3400000;8.3690000;8.2820000;8.3000000;5045800
20131024;000000;8.3220000;8.3500000;8.2010000;8.2200000;5065800
20131025;000000;8.2030000;8.2350000;8.1210000;8.1610000;4040200
20131028;000000;8.2020000;8.2830000;8.1000000;8.1450000;5039500
20131029;000000;8.1500000;8.1920000;8.1090000;8.1270000;2861000
20131030;000000;8.1510000;8.2000000;8.1310000;8.1570000;3476300
20131031;000000;8.1330000;8.1350000;7.9090000;7.9250000;10595900
20131101;000000;7.9200000;7.9740000;7.9000000;7.9140000;5218600
