<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130128;000000;4.0000000;4.0000000;4.0000000;4.0000000;1000
20130218;000000;3.8000000;3.8000000;3.8000000;3.8000000;1000
20130306;000000;3.6000000;3.6000000;2.5010000;3.4000000;7000
20130307;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20130311;000000;3.4995000;3.7000000;3.4000000;3.4000000;4000
20130313;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20130315;000000;3.3333000;3.5000000;3.3333000;3.5000000;2000
20130318;000000;3.7000000;4.1000000;3.7000000;3.9999000;4000
20130910;000000;3.5000000;3.5000000;3.5000000;3.5000000;1000
20131218;000000;3.5000000;3.5000000;3.5000000;3.5000000;24000
