<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;363.0100000;370.4400000;363.0100000;370.3800000;140
20130109;000000;369.9900000;370.1500000;369.9900000;370.1500000;250
20130110;000000;366.0000000;367.5200000;362.3100000;367.5200000;1480
20130111;000000;368.0000000;368.0000000;361.1000000;361.1000000;1180
20130114;000000;361.0400000;365.7600000;357.0000000;365.7600000;3370
20130115;000000;365.7600000;374.4700000;365.0000000;374.4700000;2770
20130116;000000;372.4700000;382.4700000;372.4700000;380.0300000;3590
20130117;000000;380.0000000;383.4600000;379.0000000;379.0000000;970
20130118;000000;365.1200000;383.4600000;365.1200000;377.0000000;240
20130121;000000;374.9900000;385.0000000;374.9900000;380.0000000;4030
20130122;000000;381.0000000;381.0000000;366.0000000;375.0000000;1010
20130123;000000;371.0000000;382.8000000;368.0000000;382.8000000;450
20130124;000000;375.9700000;377.0900000;371.1400000;377.0900000;80
20130125;000000;377.0000000;377.0000000;368.0000000;374.7500000;1780
20130128;000000;374.8200000;377.0000000;372.0000000;377.0000000;570
20130129;000000;379.9700000;382.5000000;379.9700000;380.0000000;1530
20130130;000000;383.4700000;393.9800000;383.0100000;383.1000000;1460
20130131;000000;380.9400000;380.9400000;375.0000000;379.9800000;1750
20130201;000000;379.9900000;384.7900000;375.4300000;381.7800000;2850
20130204;000000;383.9900000;384.0000000;377.2400000;377.2400000;180
20130205;000000;376.0300000;385.0000000;375.0000000;384.6000000;1580
20130206;000000;384.7100000;400.0000000;384.7000000;390.0000000;2330
20130207;000000;394.9000000;397.9000000;394.9000000;396.0000000;30
20130208;000000;395.9900000;400.0000000;393.1200000;398.7300000;2990
20130211;000000;424.9800000;424.9800000;389.9900000;389.9900000;6160
20130212;000000;405.0000000;405.0000000;375.0000000;386.0000000;9480
20130213;000000;388.8300000;389.7200000;380.0000000;384.4200000;2070
20130214;000000;399.9700000;399.9700000;385.0500000;385.0500000;140
20130215;000000;386.0500000;393.9900000;386.0000000;389.9700000;1380
20130218;000000;393.9100000;393.9200000;385.0000000;392.0000000;250
20130219;000000;391.9800000;392.0000000;390.0000000;392.0000000;250
20130220;000000;393.9100000;413.2500000;389.9900000;395.2700000;2940
20130221;000000;395.2000000;395.2000000;382.0100000;385.0000000;1260
20130222;000000;385.0700000;390.0000000;380.0000000;390.0000000;1000
20130225;000000;385.0100000;395.0000000;385.0100000;392.0000000;710
20130226;000000;395.0000000;399.0000000;395.0000000;395.0200000;2270
20130227;000000;399.9700000;409.9500000;393.5100000;409.9500000;9250
20130228;000000;405.0000000;426.0000000;399.9900000;407.0600000;11390
20130301;000000;407.0800000;413.8000000;390.0000000;409.0000000;4570
20130304;000000;391.0400000;413.7500000;391.0400000;406.8500000;5850
20130305;000000;406.7900000;410.0000000;403.0100000;410.0000000;1960
20130306;000000;419.9900000;419.9900000;412.5100000;419.9500000;2990
20130307;000000;421.0000000;429.9800000;410.0000000;412.0000000;4180
20130311;000000;419.9600000;428.9000000;414.0000000;423.9900000;1080
20130312;000000;420.0100000;423.5000000;418.0200000;421.0000000;3400
20130313;000000;420.1900000;424.8900000;417.3800000;424.8900000;1090
20130314;000000;424.0000000;428.0000000;410.0000000;419.2600000;2220
20130315;000000;423.8900000;423.8900000;416.3800000;417.0000000;900
20130318;000000;410.0100000;414.9000000;410.0000000;410.0000000;1210
20130319;000000;407.0200000;407.0200000;403.0000000;405.0000000;840
20130320;000000;402.5000000;405.0000000;400.2500000;401.0000000;1140
20130321;000000;416.8500000;416.8500000;405.0000000;405.0000000;120
20130322;000000;397.0100000;404.9300000;375.0000000;386.9700000;3500
20130325;000000;387.5100000;395.0500000;385.5000000;395.0500000;430
20130326;000000;390.9000000;390.9000000;360.0000000;380.0000000;16200
20130327;000000;380.0100000;380.0100000;356.0200000;367.9900000;890
20130328;000000;368.0000000;374.9700000;360.0000000;368.9700000;1880
20130329;000000;374.9300000;374.9300000;366.5000000;369.9600000;220
20130401;000000;369.9600000;380.0000000;369.9600000;380.0000000;6210
20130402;000000;385.0000000;385.0000000;373.9800000;373.9800000;1330
20130403;000000;377.7400000;377.7400000;365.0000000;365.0000000;1750
20130404;000000;365.0200000;365.0200000;364.9900000;365.0000000;530
20130405;000000;365.0200000;365.0300000;364.9900000;364.9900000;570
20130408;000000;365.0100000;378.3500000;365.0000000;378.3500000;110
20130409;000000;379.8700000;379.8700000;377.9500000;378.9900000;230
20130410;000000;380.0000000;386.0000000;365.0400000;379.9800000;360
20130411;000000;378.1000000;378.1000000;365.6200000;365.6900000;490
20130412;000000;371.0600000;371.0600000;361.0000000;370.9800000;1030
20130415;000000;366.0400000;366.0400000;350.0000000;359.9900000;940
20130416;000000;350.1000000;359.9200000;338.0000000;346.9100000;2050
20130417;000000;330.8100000;359.7700000;330.8100000;350.0000000;170
20130418;000000;335.0300000;369.8800000;320.1200000;369.8800000;3490
20130419;000000;332.3700000;355.5000000;331.6600000;350.0000000;1370
20130422;000000;369.5100000;369.5100000;346.0000000;346.0000000;20
20130423;000000;358.9900000;359.0000000;351.0000000;359.0000000;310
20130424;000000;358.9900000;379.9300000;358.9900000;375.0000000;3040
20130425;000000;399.9600000;399.9600000;375.3000000;377.0000000;2380
20130426;000000;376.0100000;376.0100000;372.3000000;372.3000000;500
20130429;000000;370.0000000;370.0000000;370.0000000;370.0000000;20
20130430;000000;379.7900000;379.7900000;360.0700000;378.5600000;290
20130502;000000;360.0700000;379.6000000;330.0100000;356.1200000;240
20130503;000000;365.0000000;369.9800000;365.0000000;369.9800000;30
20130506;000000;345.0700000;377.7700000;345.0700000;359.4900000;760
20130507;000000;359.3500000;399.9500000;350.0100000;391.3300000;6960
20130508;000000;400.0000000;414.8000000;393.0000000;403.4600000;13950
20130510;000000;407.0000000;409.9000000;402.0200000;402.0200000;1700
20130513;000000;340.0000000;369.9900000;333.0000000;350.0000000;10530
20130514;000000;351.1000000;399.9900000;330.0000000;364.0000000;25840
20130515;000000;369.8900000;385.0000000;365.0100000;383.9900000;15630
20130516;000000;377.0000000;385.0000000;373.0000000;375.1300000;4120
20130517;000000;375.1800000;385.0000000;365.0200000;370.9900000;2140
20130520;000000;375.9900000;383.9500000;375.9900000;383.9400000;2860
20130521;000000;393.0000000;393.0000000;376.8100000;384.9300000;2900
20130522;000000;378.5100000;397.9800000;378.5000000;386.0100000;850
20130523;000000;382.5000000;393.9000000;370.0000000;380.7900000;3570
20130524;000000;377.0000000;384.9800000;376.9900000;384.5700000;3170
20130527;000000;378.4000000;385.0000000;371.1800000;379.9700000;3190
