<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;741.9000000;755.0000000;727.3000000;748.0000000;10080
20130109;000000;753.5000000;758.0000000;750.3000000;756.8000000;3320
20130110;000000;758.0000000;766.8000000;747.9000000;760.0000000;17960
20130111;000000;767.9000000;770.1000000;750.1000000;754.9000000;15020
20130114;000000;750.1000000;760.0000000;750.0000000;755.1000000;9160
20130115;000000;752.5000000;763.0000000;752.5000000;755.2000000;3750
20130116;000000;758.4000000;776.0000000;757.3000000;768.3000000;9250
20130117;000000;772.9000000;819.9000000;772.0000000;803.0000000;18630
20130118;000000;802.0000000;807.0000000;781.0000000;790.0000000;45430
20130121;000000;791.9000000;799.8000000;787.0000000;798.0000000;4960
20130122;000000;794.2000000;799.3000000;790.7000000;792.4000000;6050
20130123;000000;797.4000000;815.0000000;797.4000000;810.0000000;33500
20130124;000000;800.0000000;827.8000000;799.8000000;822.3000000;7780
20130125;000000;822.5000000;854.9000000;813.5000000;818.0000000;24400
20130128;000000;818.0000000;824.0000000;813.0000000;813.2000000;6600
20130129;000000;813.2000000;813.2000000;804.5000000;805.1000000;4040
20130130;000000;807.1000000;812.4000000;801.2000000;806.2000000;6350
20130131;000000;803.3000000;818.0000000;794.1000000;811.8000000;7260
20130201;000000;811.8000000;849.9000000;805.9000000;830.0000000;20930
20130204;000000;838.5000000;851.0000000;825.3000000;847.0000000;51640
20130205;000000;845.1000000;852.4000000;840.0000000;845.0000000;20000
20130206;000000;850.7000000;850.7000000;845.0000000;850.0000000;7770
20130207;000000;840.0000000;847.5000000;830.3000000;847.5000000;8120
20130208;000000;849.8000000;862.0000000;838.8000000;846.3000000;12800
20130211;000000;846.3000000;853.1000000;838.9000000;848.4000000;4970
20130212;000000;848.4000000;849.0000000;845.0000000;845.5000000;1090
20130213;000000;848.0000000;856.0000000;840.5000000;848.5000000;3290
20130214;000000;844.3000000;849.9000000;832.9000000;833.6000000;3700
20130215;000000;828.6000000;835.2000000;822.0000000;829.6000000;7470
20130218;000000;830.1000000;830.1000000;819.7000000;825.1000000;4580
20130219;000000;824.0000000;831.2000000;817.9000000;829.4000000;5860
20130220;000000;825.2000000;840.0000000;822.1000000;824.0000000;3990
20130221;000000;816.1000000;829.6000000;804.8000000;811.9000000;4170
20130222;000000;805.1000000;829.0000000;805.1000000;825.0000000;5050
20130225;000000;826.3000000;828.0000000;815.1000000;820.0000000;1040
20130226;000000;818.0000000;818.0000000;809.0000000;815.4000000;2150
20130227;000000;815.0000000;840.0000000;811.5000000;834.4000000;8140
20130228;000000;845.0000000;874.3000000;842.6000000;864.0000000;24310
20130301;000000;863.7000000;924.5000000;857.0000000;893.6000000;28580
20130304;000000;900.0000000;900.4000000;852.8000000;857.3000000;5170
20130305;000000;860.0000000;875.0000000;852.7000000;866.0000000;4420
20130306;000000;879.9000000;896.9000000;867.3000000;895.0000000;3160
20130307;000000;898.0000000;914.9000000;893.2000000;910.3000000;2270
20130311;000000;926.7000000;954.8000000;916.1000000;943.5000000;18920
20130312;000000;950.0000000;979.0000000;940.1000000;944.8000000;11860
20130313;000000;959.8000000;959.8000000;906.0000000;923.0000000;17430
20130314;000000;923.1000000;951.0000000;923.0000000;934.8000000;9470
20130315;000000;946.0000000;966.7000000;930.1000000;951.4000000;13390
20130318;000000;951.0000000;957.7000000;925.3000000;955.0000000;5050
20130319;000000;946.9000000;959.2000000;915.1000000;918.8000000;11000
20130320;000000;916.0000000;934.4000000;890.0000000;934.4000000;3840
20130321;000000;940.9000000;940.9000000;910.8000000;914.0000000;7840
20130322;000000;910.2000000;910.8000000;887.2000000;895.2000000;5320
20130325;000000;901.6000000;921.5000000;883.0000000;907.0000000;10220
20130326;000000;913.3000000;931.0000000;899.4000000;929.9000000;17810
20130327;000000;927.3000000;968.8000000;925.2000000;954.7000000;19010
20130328;000000;955.0000000;965.8000000;941.1000000;963.4000000;3920
20130329;000000;963.3000000;994.0000000;947.2000000;962.0000000;6550
20130401;000000;965.0000000;985.0000000;960.0000000;968.4000000;4210
20130402;000000;972.0000000;972.3000000;953.0000000;961.0000000;6970
20130403;000000;952.1000000;965.0000000;950.6000000;957.4000000;3390
20130404;000000;951.1000000;960.4000000;942.7000000;943.0000000;13490
20130405;000000;953.9000000;958.0000000;840.5000000;870.0000000;44900
20130408;000000;857.5000000;880.0000000;855.0000000;868.7000000;11300
20130409;000000;877.4000000;925.0000000;871.0000000;906.6000000;11260
20130410;000000;900.2000000;925.0000000;900.2000000;915.4000000;7300
20130411;000000;920.2000000;922.0000000;862.9000000;905.0000000;5590
20130412;000000;902.1000000;935.9000000;902.0000000;925.5000000;2950
20130415;000000;924.9000000;925.5000000;900.1000000;900.1000000;4730
20130416;000000;900.2000000;900.2000000;878.8000000;880.6000000;10250
20130417;000000;888.6000000;897.2000000;875.0000000;888.2000000;4280
20130418;000000;904.9000000;904.9000000;881.5000000;900.0000000;2280
20130419;000000;900.0000000;905.9000000;880.7000000;883.0000000;2000
20130422;000000;891.0000000;931.2000000;891.0000000;907.2000000;11380
20130423;000000;915.9000000;925.0000000;894.0000000;894.0000000;4280
20130424;000000;893.1000000;915.0000000;892.5000000;905.0000000;1720
20130425;000000;921.8000000;921.8000000;881.2000000;895.0000000;4870
20130426;000000;889.3000000;920.0000000;889.3000000;920.0000000;5710
20130429;000000;913.2000000;944.7000000;900.0000000;935.0000000;11950
20130430;000000;923.8000000;950.5000000;921.7000000;949.3000000;2530
20130502;000000;951.0000000;982.0000000;951.0000000;963.4000000;6090
20130503;000000;954.4000000;986.9000000;954.4000000;961.0000000;1210
20130506;000000;969.4000000;970.0000000;954.8000000;954.8000000;500
20130507;000000;952.5000000;990.0000000;952.5000000;988.8000000;5180
20130508;000000;988.0000000;996.0000000;970.1000000;970.1000000;3110
20130510;000000;987.5000000;1006.8000000;970.0000000;989.3000000;2040
20130513;000000;990.7000000;1000.1000000;977.7000000;993.5000000;5410
20130514;000000;990.0000000;1087.1000000;990.0000000;1040.0000000;11940
20130515;000000;1059.2000000;1100.0000000;1028.7000000;1035.0000000;44480
20130516;000000;1030.0000000;1049.4000000;983.2000000;997.3000000;25710
20130517;000000;977.0000000;1050.0000000;977.0000000;1016.2000000;17670
20130520;000000;1045.3000000;1049.1000000;1019.0000000;1039.2000000;6070
20130521;000000;1038.9000000;1080.0000000;1018.0000000;1064.5000000;12030
20130522;000000;1017.0000000;1063.2000000;995.8000000;1053.1000000;17680
20130523;000000;1045.0000000;1070.4000000;1020.0000000;1027.0000000;14310
