<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;4935.8000000;5120.5000000;4935.8000000;4983.7000000;96840
20130109;000000;4980.0000000;5015.0000000;4890.0000000;4899.0000000;42538
20130110;000000;4905.0000000;4959.3000000;4880.0000000;4950.0000000;72638
20130111;000000;4965.0000000;5009.3000000;4939.5000000;4939.9000000;75072
20130114;000000;4945.0000000;5139.8000000;4945.0000000;5118.9000000;73636
20130115;000000;5076.4000000;5150.0000000;5040.3000000;5110.0000000;42075
20130116;000000;5134.1000000;5500.0000000;5111.5000000;5359.6000000;94067
20130117;000000;5374.9000000;5475.0000000;5322.5000000;5472.0000000;55873
20130118;000000;5491.0000000;5635.5000000;5423.0000000;5635.5000000;79070
20130121;000000;5619.9000000;5749.8000000;5615.0000000;5660.0000000;50405
20130122;000000;5686.0000000;5706.4000000;5475.9000000;5510.0000000;106491
20130123;000000;5519.9000000;5780.0000000;5511.3000000;5760.0000000;113629
20130124;000000;5724.1000000;5739.5000000;5621.2000000;5702.9000000;75039
20130125;000000;5709.9000000;5780.0000000;5678.0000000;5678.5000000;52328
20130128;000000;5697.0000000;5702.9000000;5621.0000000;5646.2000000;39482
20130129;000000;5630.0000000;5691.5000000;5564.8000000;5582.0000000;32243
20130130;000000;5585.0000000;5630.0000000;5569.8000000;5600.0000000;59415
20130131;000000;5580.0000000;5672.1000000;5530.0000000;5640.0000000;64404
20130201;000000;5656.1000000;5849.9000000;5640.1000000;5818.0000000;98110
20130204;000000;5841.4000000;5888.9000000;5785.0000000;5819.2000000;108883
20130205;000000;5799.9000000;5846.0000000;5732.3000000;5770.0000000;144161
20130206;000000;5807.7000000;5837.7000000;5773.2000000;5808.3000000;90283
20130207;000000;5724.1000000;5907.2000000;5720.0000000;5825.1000000;103043
20130208;000000;5831.4000000;5844.6000000;5761.1000000;5797.9000000;64976
20130211;000000;5780.1000000;5799.8000000;5745.0000000;5770.0000000;42196
20130212;000000;5770.1000000;5843.1000000;5737.6000000;5829.7000000;64959
20130213;000000;5841.0000000;5888.0000000;5812.1000000;5861.8000000;132014
20130214;000000;5860.0000000;5879.8000000;5801.0000000;5821.0000000;54664
20130215;000000;5815.5000000;5850.0000000;5780.0000000;5833.4000000;52670
20130218;000000;5834.0000000;5847.9000000;5800.5000000;5832.0000000;20687
20130219;000000;5832.0000000;5870.0000000;5828.9000000;5860.0000000;45006
20130220;000000;5860.0000000;5886.9000000;5850.0000000;5863.1000000;47608
20130221;000000;5860.0000000;5860.0000000;5742.5000000;5763.0000000;112094
20130222;000000;5795.9000000;5822.7000000;5761.6000000;5780.0000000;44971
20130225;000000;5780.0000000;5791.5000000;5650.0000000;5713.5000000;62213
20130226;000000;5680.0000000;5712.8000000;5612.7000000;5630.0000000;32446
20130227;000000;5640.7000000;5680.0000000;5616.4000000;5665.0000000;54498
20130228;000000;5670.0000000;5710.9000000;5635.1000000;5704.8000000;62296
20130301;000000;5680.1000000;5731.4000000;5625.0000000;5679.9000000;45956
20130304;000000;5679.9000000;5731.3000000;5656.0000000;5700.2000000;34102
20130305;000000;5700.0000000;5760.0000000;5690.0000000;5750.0000000;45880
20130306;000000;5750.0000000;5850.0000000;5737.6000000;5850.0000000;27771
20130307;000000;5846.9000000;5988.6000000;5821.0000000;5955.0000000;37191
20130311;000000;5985.0000000;6159.0000000;5766.1000000;5813.2000000;71188
20130312;000000;5813.2000000;5900.0000000;5722.8000000;5842.0000000;55965
20130313;000000;5830.0000000;5919.9000000;5801.1000000;5875.3000000;47827
20130314;000000;5890.0000000;6119.4000000;5800.0000000;6050.0000000;109052
20130315;000000;6082.0000000;6105.0000000;5970.5000000;6089.0000000;136455
20130318;000000;6030.5000000;6058.7000000;5870.0000000;5996.6000000;69015
20130319;000000;6019.0000000;6083.1000000;5881.0000000;5881.0000000;32192
20130320;000000;5791.5000000;6048.6000000;5760.0000000;5981.1000000;47855
20130321;000000;6005.0000000;6040.0000000;5855.1000000;5870.0000000;21717
20130322;000000;5871.0000000;5895.7000000;5702.4000000;5765.0000000;34697
20130325;000000;5790.0000000;5859.4000000;5607.0000000;5726.0000000;40933
20130326;000000;5680.0000000;5750.0000000;5607.0000000;5644.2000000;42140
20130327;000000;5651.1000000;5708.8000000;5498.0000000;5600.0000000;71956
